,gene function,organism,nador_2_counts,phylum,class,order,family,oualidia_2_counts,oualidia_1_counts,nador_1_counts
3044,NupC family protein,Psychroflexus torquis ATCC 700755,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,2.47
3049,O-acetylhomoserine (thiol)-lyase,Psychroflexus torquis ATCC 700755,14.85,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,12.0,10.0,13.17
3056,O-acetylhomoserine sulfhydrylase,Croceibacter atlanticus HTCC2559,15.77,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,7.45
3067,O-methyltransferase family protein,Croceibacter atlanticus HTCC2559,1.6,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,4.02
3070,O-succinylbenzoate synthase,Gramella forsetii KT0803,6.02,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,5.03
3095,Outer membrane lipoprotein carrier protein,Psychroflexus torquis ATCC 700755,1.65,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,2.55
3098,Oxidoreductase,Kordia algicida OT-1,3.25,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,,4.17
3122,PKD domain-containing protein,Flavobacterium johnsoniae UW101,2.55,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,3.0,2.0,3.24
3125,PSP1 domain protein,Capnocytophaga ochracea DSM 7271,4.87,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,1.0,4.19
3135,Peptidase M1 membrane alanine aminopeptidase,Capnocytophaga ochracea DSM 7271,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,
3137,Peptidase M23,Capnocytophaga ochracea DSM 7271,1.66,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,2.4
3145,Peptide chain release factor 2,Leeuwenhoekiella blandensis MED217,5.78,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,2.0,5.78
3146,Peptide methionine sulfoxide reductase,Robiginitalea biformata HTCC2501,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,1.0,0.0
3214,Prephenate dehydrogenase,Maribacter sp. HTCC2170,7.34,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,2.0,10.8
3215,Prephenate dehydrogenase,Polaribacter irgensii 23-P,2.46,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.65
3227,Protease-associated PA,Psychroflexus torquis ATCC 700755,3.29,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,1.0,2.47
3256,Quinolinate synthetase,Flavobacteriaceae bacterium 3519-10,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
3266,RNA methyltransferas,Capnocytophaga ochracea DSM 7271,1.57,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,2.0,4.94
3268,RNA methyltransferas,Flavobacteriaceae bacterium 3519-10,2.43,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.68
3269,RNA methyltransferas,Riemerella anatipestifer DSM 15868,1.66,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.72
3285,RNA polymerase ECF-type sigma factor,Flavobacterium psychrophilum JIP02/86,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
3286,RNA polymerase ECF-type sigma factor,Gramella forsetii KT0803,4.2,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,3.0,4.0,6.53
3325,RNA polymerase sigma-70 factor,Polaribacter sp. MED152,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
3364,RecF protein,Capnocytophaga gingivalis ATCC 33624,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,
3380,Ribonuclease HII,Flavobacteriaceae bacterium 3519-10,1.71,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,
3384,Ribose-phosphate pyrophosphokinase,Flavobacteriaceae bacterium 3519-10,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,1.0,1.63
3386,Ribosomal RNA small subunit methyltransferase G,Flavobacteriaceae bacterium 3519-10,1.59,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,1.7
3400,Rrf2-like transcriptional regulator protein,Zunongwangia profunda SM-A87,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
3430,S-adenosylmethionine synthetase,Polaribacter sp. MED152,14.5,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,5.0,4.0,17.18
3469,SSS family solute/sodium (Na+) symporter,Flavobacterium johnsoniae UW101,6.61,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,4.0,3.0,10.48
3486,Secreted protein containing N-terminal Zinc-dependent carboxypeptidase related domain,Kordia algicida OT-1,5.86,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,3.32
3511,Signal recognition particl,Flavobacteriaceae bacterium 3519-10,1.58,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,1.59
3524,SpoOJ regulator protein,Kordia algicida OT-1,6.38,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,4.02
3525,SpoU rRNA methylase,Polaribacter sp. MED152,2.47,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,2.55
3527,SpoU rRNA methylase family protein,Polaribacter sp. MED152,3.25,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,4.13
3533,SsrA-binding protein,Croceibacter atlanticus HTCC2559,3.36,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,
3535,SsrA-binding protein,Flavobacterium psychrophilum JIP02/86,4.1,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,3.11
3547,Succinyl-CoA synthetas,Dokdonia donghaensis MED134,11.62,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,3.0,3.0,13.07
3556,Superoxide dismutase,Capnocytophaga ochracea DSM 7271,3.18,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,3.34
3560,SusD/RagB family protein,Gramella forsetii KT0803,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.6
3572,TPR repeat-containing protein,Maribacter sp. HTCC2170,1.68,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,2.0,2.55
3573,TPR-like protein,Psychroflexus torquis ATCC 700755,1.57,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,1.0,1.62
3606,TetR family transcriptional regulator,Flavobacterium psychrophilum JIP02/86,1.72,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,2.39
3624,TonB system biopolymer transport component,Psychroflexus torquis ATCC 700755,7.37,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,5.64
3629,TonB-dependent outer membrane receptor,Gramella forsetii KT0803,2.44,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,1.0,1.69
3630,TonB-dependent outer membrane receptor,Zunongwangia profunda SM-A87,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
3631,TonB-dependent outer membrane receptorprecursor,Flavobacterium psychrophilum JIP02/86,1.74,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,1.62
3638,TonB-dependent receptor,Croceibacter atlanticus HTCC2559,1.66,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,,2.52
3652,TonB-dependent receptor plug,Capnocytophaga ochracea DSM 7271,1.71,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,
3658,TonB-dependent siderophore receptor,Polaribacter irgensii 23-P,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
3671,Transcriptional regulator,Leeuwenhoekiella blandensis MED217,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,
3682,Trehalose/maltose hydrolase (phosphorylase),Croceibacter atlanticus HTCC2559,9.76,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,
3683,Trehalose/maltose hydrolase (phosphorylase),Kordia algicida OT-1,3.83,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,6.55
3694,TrmH family tRNA/rRNA methyltransferase,Zunongwangia profunda SM-A87,2.52,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,3.29
3730,UDP-3-O-[3-hydroxymyristoyl,Psychroflexus torquis ATCC 700755,2.6,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,2.38
3745,UDP-N-acetylenolpyruvoylglucosamine reductase,Zunongwangia profunda SM-A87,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,,1.68
3779,UDP-N-acetylmuramate--L-alanine ligase,Leeuwenhoekiella blandensis MED217,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.68
3781,UDP-N-acetylmuramate--L-alanine ligase,Maribacter sp. HTCC2170,4.92,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,,4.02
3796,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase,Gramella forsetii KT0803,4.26,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,3.24
3800,UDP-N-acetylmuramoylalanine--D-glutamate ligase,Zunongwangia profunda SM-A87,14.06,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,14.18
3818,UDP-glucose 4-epimerase,Croceibacter atlanticus HTCC2559,5.69,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,2.52
3828,UDP-glucose dehydrogenase,Gramella forsetii KT0803,10.06,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,3.0,1.0,12.87
3831,UDP-glucose/GDP-mannose dehydrogenase family protein,Leeuwenhoekiella blandensis MED217,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,
3835,UDP-glucuronate decarboxylase,Maribacter sp. HTCC2170,5.01,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,2.0,2.49
3847,UTP-hexose-1-phosphate uridylyltransferase,Chryseobacterium gleum ATCC 35910,1.65,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,1.68
3850,Undecaprenyl pyrophosphate synthase,Robiginitalea biformata HTCC2501,5.74,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,1.0,5.03
3882,Xaa-Pro aminopeptidase family enzyme,Maribacter sp. HTCC2170,7.11,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,3.0,11.24
3883,Xaa-Pro dipeptidyl-peptidase,Flavobacterium psychrophilum JIP02/86,4.96,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,4.0,3.0,
3912,Zn-dependent alcohol dehydrogenase,Maribacter sp. HTCC2170,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
3969,acetyl-CoA C-acyltransferase,Polaribacter sp. MED152,5.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,2.0,3.28
3996,acetyl-CoA carboxylas,Capnocytophaga gingivalis ATCC 33624,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,2.0,0.0
4025,acetyl-CoA carboxylase carboxyl transferase subunit beta,Polaribacter sp. MED152,4.89,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,1.0,2.46
4031,acetyl-CoA carboxylase subunit alpha,Maribacter sp. HTCC2170,11.39,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,3.0,3.0,7.44
4056,acetylornithine aminotransferase,Flavobacteriaceae bacterium 3519-10,1.71,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.66
4131,acyl-CoA dehydrogenase,Polaribacter sp. MED152,3.98,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,6.55
4194,addiction module toxi,Riemerella anatipestifer DSM 15868,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,0.0
4197,adenine phosphoribosyltransferase,Dokdonia donghaensis MED134,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
4220,adenylosuccinate lyase,Capnocytophaga gingivalis ATCC 33624,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,
4243,adenylylsulfate reductase,Psychroflexus torquis ATCC 700755,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.57
4258,alanine dehydrogenase,Leeuwenhoekiella blandensis MED217,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
4302,aldehyde dehydrogenase,Riemerella anatipestifer DSM 15868,3.24,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,,
4359,alpha amylas,Robiginitalea biformata HTCC2501,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,2.0,0.0
4361,alpha amylase catalytic region,Capnocytophaga ochracea DSM 7271,1.5,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,2.0,2.45
4364,alpha-,Capnocytophaga ochracea DSM 7271,1.62,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.64
4386,alpha/beta fold hydrolase,Gramella forsetii KT0803,10.55,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,3.0,3.0,11.42
4429,amidohydrolase family protein,Gramella forsetii KT0803,2.48,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.53
4437,amidophosphoribosyltransferase,Capnocytophaga ochracea F0287,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
4452,amino acid adenylation domain-containing protein,Flavobacterium johnsoniae UW101,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
4469,aminodeoxychorismate lyase family protein,Zunongwangia profunda SM-A87,3.1,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,,5.12
4477,aminopeptidas,Zunongwangia profunda SM-A87,4.23,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,4.93
4534,ammonium transporter,Psychroflexus torquis ATCC 700755,9.14,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,5.74
4562,anthranilate synthase component I,Gramella forsetii KT0803,6.52,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,4.0,5.0,6.49
4574,anthranilate synthase component II,Dokdonia donghaensis MED134,2.38,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.58
4597,arginine decarboxylase,Flavobacterium psychrophilum JIP02/86,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,1.0,0.0
4632,arginyl-tRNA synthetase,Riemerella anatipestifer DSM 15868,2.49,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,0.0
4639,aromatic-L-amino-acid decarboxylase,Maribacter sp. HTCC2170,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.65
4643,aryl-sulphate sulphohydrolase,Maribacter sp. HTCC2170,7.62,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,5.02
4663,asparaginyl-tRNA synthetase,Capnocytophaga ochracea DSM 7271,13.96,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,2.0,17.23
4665,asparaginyl-tRNA synthetase,Flavobacterium johnsoniae UW101,6.54,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,2.0,
4667,asparaginyl-tRNA synthetase,Leeuwenhoekiella blandensis MED217,9.63,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,3.0,7.42
4669,aspartate alpha-decarboxylase,Gramella forsetii KT0803,3.88,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,2.49
4706,aspartate-semialdehyde dehydrogenase,Flavobacterium johnsoniae UW101,19.76,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,4.0,2.0,19.85
4721,aspartyl-tRNA synthetase,Riemerella anatipestifer DSM 15868,3.3,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,3.28
4761,base excision DNA repair protei,Capnocytophaga gingivalis ATCC 33624,1.62,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.64
4778,beta-N-acetylglucosaminidase,Robiginitalea biformata HTCC2501,2.53,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,5.54
4795,beta-ketoadipate enol-lactone hydrolase,Maribacter sp. HTCC2170,8.06,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,9.76
4860,bifunctional molybdenum cofactor biosynthesis protein MoaC/MogA,Gramella forsetii KT0803,4.2,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,2.0,4.99
4891,bifunctional riboflavin biosynthesis protein RibD,Gramella forsetii KT0803,7.13,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,2.0,5.04
4923,biotin carboxylase,Gramella forsetii KT0803,4.03,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,3.0,17.0,4.07
4957,branched-chain amino acid aminotransferase,Croceibacter atlanticus HTCC2559,5.02,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,1.0,6.68
4964,branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase family protein,Flavobacterium psychrophilum JIP02/86,1.61,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,3.32
4967,butyryl-CoA dehydrogenase,Robiginitalea biformata HTCC2501,8.32,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,8.07
4999,carbamoyl-phosphate synthas,Polaribacter sp. MED152,11.55,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,4.0,4.0,6.47
5007,carbamoyl-phosphate synthase large subunit,Maribacter sp. HTCC2170,48.92,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,9.0,10.0,
5072,cation-transporting ATPas,Croceibacter atlanticus HTCC2559,7.09,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,2.0,8.34
5079,cell division ATP-binding protein FtsE,Flavobacterium psychrophilum JIP02/86,4.16,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,4.07
5084,cell division inhibitor,Maribacter sp. HTCC2170,1.67,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,3.24
5095,cell division protein FtsA,Polaribacter sp. MED152,5.75,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,8.19
5109,cell division protein FtsX,Flavobacterium psychrophilum JIP02/86,3.31,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,3.32
5110,cell division protein FtsX,Psychroflexus torquis ATCC 700755,1.69,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,2.52
5134,cell wall associated biofilm protein,Croceibacter atlanticus HTCC2559,7.54,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,5.0,4.0,10.3
5137,cell wall surface anchor family protein,Psychroflexus torquis ATCC 700755,1.58,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,2.0,
5144,chaperone ClpB,Zunongwangia profunda SM-A87,6.53,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,4.91
5150,chaperone protein DnaJ,Maribacter sp. HTCC2170,8.36,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,8.0,6.0,8.29
5212,chondroitin AC/alginate lyase domain-containing protein,Gramella forsetii KT0803,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,
5239,chromosome partitioning ATPase,Flavobacterium johnsoniae UW101,6.69,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,1.0,
5267,citrate synthase,Leeuwenhoekiella blandensis MED217,2.45,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,2.48
5270,citrate synthase,Robiginitalea biformata HTCC2501,18.92,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,,17.14
5327,cold shock protein,Psychroflexus torquis ATCC 700755,4.89,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,4.13
5360,conserved hypothetical protein,Chryseobacterium gleum ATCC 35910,1.64,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,1.0,1.61
5371,conserved hypothetical protein,Polaribacter sp. MED152,19.47,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,11.0,14.0,15.22
5404,copper-transporting ATPas,Zunongwangia profunda SM-A87,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,
5449,cystathionine beta-synthase,Kordia algicida OT-1,4.17,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,5.88
5454,cystathionine gamma-synthase,Flavobacterium johnsoniae UW101,4.1,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,5.0,5.0,3.97
5498,cytidylate kinase,Flavobacterium psychrophilum JIP02/86,5.08,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,,4.88
5504,cytochrome,Psychroflexus torquis ATCC 700755,7.4,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,
5532,cytochrome c family protein,Flavobacterium psychrophilum JIP02/86,8.08,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,3.0,4.0,6.63
5541,cytochrome c oxidas,Polaribacter sp. MED152,6.33,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,4.0,4.0,11.52
5544,cytochrome c oxidase assembly factor (CtaA) + protoheme IXfarnesyltransferase (CtaB),Croceibacter atlanticus HTCC2559,4.04,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,4.9
5580,cytochrome oxidase assembly protein,Robiginitalea biformata HTCC2501,4.21,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,7.32
5593,dGTPase,Psychroflexus torquis ATCC 700755,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.63
5601,dTDP-D-glucose,Leeuwenhoekiella blandensis MED217,4.98,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,4.98
5623,dctM-like transporter,Zunongwangia profunda SM-A87,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,1.62
5645,demethylmenaquinone methyltransferase,Maribacter sp. HTCC2170,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
5689,diaminopimelate decarboxylase,Polaribacter irgensii 23-P,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
5735,dihydrolipoamide dehydrogenase,Leeuwenhoekiella blandensis MED217,4.98,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,2.0,6.51
5736,dihydrolipoamide dehydrogenase,Maribacter sp. HTCC2170,10.72,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,3.0,1.0,12.35
5745,dihydrolipoyllysine-residue acetyltransferase component of pyruvatedehydrogenase complex,Maribacter sp. HTCC2170,8.09,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,5.0,4.0,10.81
5754,dihydroorotase,Chryseobacterium gleum ATCC 35910,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,1.58
5767,dihydroorotate dehydrogenase 2,Flavobacterium psychrophilum JIP02/86,12.15,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,12.22
5804,dipeptidyl aminopeptidase IV,Kordia algicida OT-1,3.31,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,3.21
5823,dtdp-glucose,Riemerella anatipestifer DSM 15868,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,2.4
5835,electron transfer flavoprotei,Croceibacter atlanticus HTCC2559,7.39,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,2.0,8.18
5843,electron transfer flavoprotein beta-chain,Psychroflexus torquis ATCC 700755,35.1,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,7.0,1.0,25.55
5844,electron transfer flavoprotein beta-subunit,Flavobacterium johnsoniae UW101,5.76,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,5.02
5864,elongation factor EF-2,Polaribacter irgensii 23-P,7.33,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,6.49
5883,elongation factor Ts,Maribacter sp. HTCC2170,13.99,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,16.35
5955,enoyl-[acyl-carrier-protein,Capnocytophaga ochracea F0287,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
5974,excinuclease AB,Leeuwenhoekiella blandensis MED217,6.64,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,1.0,10.74
5980,excinuclease AB,Riemerella anatipestifer DSM 15868,1.67,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,3.42
6027,exodeoxyribonuclease,Zunongwangia profunda SM-A87,5.11,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,0.0
6043,exopolyphosphatase,Flavobacterium psychrophilum JIP02/86,3.24,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,5.83
6071,family 3 glycosyl hydrolase/beta-lactamase fusion protein,Gramella forsetii KT0803,16.19,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,1.0,16.27
