function,nador_lagoon_1,nador_lagoon_2,oualidia_lagoon_1,oualidia_lagoon_2
"Cobyrinic acid A,C-diamide synthase",96,79,6,7
Coenzyme A disulfide reductase,1,3,0,0
"Coenzyme B synthesis from 2-oxoglutarate: steps 4, 7, 8, 11, and 12 [small subunit]",3,1,0,0
"Coenzyme B synthesis from 2-oxoglutarate: steps 5, 9, and 13",0,1,0,0
Coenzyme F(420)H(2) dehydrogenase (methanophenazine) subunit FpoL,1,0,0,0
Coenzyme F(420)H(2) dehydrogenase (methanophenazine) subunit FpoN,0,1,0,0
Coenzyme F420-0:L-glutamate ligase,20,18,0,0
Coenzyme F420-dependent oxidoreductase,1,0,2,0
"Coenzyme F420-reducing hydrogenase, alpha subunit",1,1,0,0
"Coenzyme F420-reducing hydrogenase, beta subunit",1,2,3,3
Coenzyme PQQ synthesis protein A,2,2,0,0
Coenzyme PQQ synthesis protein B,12,8,2,2
Coenzyme PQQ synthesis protein C,15,14,11,11
Coenzyme PQQ synthesis protein D,2,1,8,7
Coenzyme PQQ synthesis protein E,14,15,7,9
Coenzyme PQQ synthesis protein F (EC 3.4.99.-),0,1,0,0
Coenzyme gamma-F420-2:L-glutamate ligase,1,1,0,0
"Cof protein, HD superfamily hydrolase",0,0,2,2
Colanic acid biosynthesis acetyltransferase WcaF (EC 2.3.1.-),5,2,1,0
Colanic acid biosynthesis glycosyl transferase WcaA,0,0,3,3
Colanic acid biosynthesis glycosyl transferase WcaE,8,9,1,0
Colanic acid biosynthesis glycosyl transferase WcaL,0,1,1,0
Colanic acid biosynthsis UDP-glucose lipid carrier transferase WcaJ,0,0,1,2
Colanic acid biosysnthesis glycosyl transferase WcaI,2,1,1,1
Colanic acid biosysnthesis protein WcaK,0,0,0,1
Cold shock protein CspA,94,87,28,32
Cold shock protein CspB,15,9,4,4
Cold shock protein CspC,20,31,17,16
Cold shock protein CspD,1,1,3,7
Cold shock protein CspE,21,13,8,7
Cold shock protein CspG,50,45,21,17
Cold-shock DEAD-box protein A,355,323,126,123
Colicin I receptor precursor,6,1,1,1
Colicin V production protein,54,46,14,15
Collagen alpha 1(I) chain precursor,11,7,5,5
Collagen-like surface protein,8,5,5,6
ComF operon protein C,0,1,0,0
ComM-related protein,91,80,30,25
"Competence protein F homolog, phosphoribosyltransferase domain",16,16,7,4
Competence/damage-inducible protein CinA,161,140,30,29
Conjugative transfer ATP binding protein,0,0,1,1
Conjugative transfer protein TrbB,3,3,2,2
Conjugative transfer protein TrbD,1,1,0,0
Conjugative transfer protein TrbE,2,2,0,0
Conjugative transfer protein TrbG,0,0,1,1
Conjugative transfer protein TrbJ,4,2,0,0
Conjugative transfer protein TrbL,4,4,0,0
Conjugative transposon protein TraG,0,0,2,2
Conjugative transposon protein TraI,0,0,3,2
Conjugative transposon protein TraJ,0,0,1,2
Conjugative transposon protein TraM,0,0,2,0
Conserved NnrU/NnuR ortholog membrane enzyme,34,24,2,2
Conserved hypothetical protein probably involved in assimilatory sulfate reduction,11,16,3,3
Conserved protein IgrD,1,0,0,0
Conserved protein YcjX with nucleoside triphosphate hydrolase domain,0,0,1,1
Conserved uncharacterized protein CreA,0,0,2,0
CopG protein,54,58,2,1
Copper chaperone,0,0,2,0
Copper homeostasis protein CutE,47,38,11,8
"Copper metallochaperone, bacterial analog of Cox17 protein",24,31,11,8
Copper resistance protein D,13,13,10,14
Copper sensory histidine kinase CpxA,1,2,2,1
Copper tolerance protein,15,9,3,2
Copper-containing nitrite reductase (EC 1.7.2.1),7,6,7,8
Copper-sensing two-component system response regulator CpxR,3,5,6,4
Copper-sensing two-component system response regulator CusR,0,0,1,0
Copper-translocating P-type ATPase (EC 3.6.3.4),303,270,141,130
"Coproporphyrinogen III oxidase, aerobic (EC 1.3.3.3)",425,395,92,88
"Coproporphyrinogen III oxidase, oxygen-independent (EC 1.3.99.22)",28,23,34,32
"Coupling protein VirD4, ATPase required for T-DNA transfer",6,5,4,2
"CpeR homolog, phycoerythrin linker-proteins region",15,14,0,0
Creatinase (EC 3.5.3.3),148,144,45,38
Creatinine amidohydrolase (EC 3.5.2.10),62,47,7,7
Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4),108,101,33,32
Crotonobetaine carnitine-CoA ligase (EC 6.3.2.-),3,2,1,1
Crotonobetainyl-CoA dehydrogenase (EC 1.3.99.-),2,7,0,0
"Crotonyl-CoA carboxylase/reductase, ethylmalonyl-CoA producing",71,56,8,6
Cryptochrome,171,168,39,36
Cu(I)-responsive transcriptional regulator,17,16,1,3
Curli production assembly/transport component CsgG,25,37,16,13
"Cyanate ABC transporter, ATP-binding protein",6,1,2,2
"Cyanate ABC transporter, permease protein",4,5,3,2
"Cyanate ABC transporter, substrate binding protein",10,11,3,4
Cyanate hydratase (EC 4.2.1.104),27,29,1,1
"Cyanide insensitive terminal oxidase, subunit II",1,1,0,0
"Cyanobacteria-specific RpoD-like sigma factor, type-1",61,59,0,0
"Cyanobacteria-specific RpoD-like sigma factor, type-12",16,11,0,0
"Cyanobacteria-specific RpoD-like sigma factor, type-13",20,21,0,0
"Cyanobacteria-specific RpoD-like sigma factor, type-14",23,13,0,0
"Cyanobacteria-specific RpoD-like sigma factor, type-15",1,0,0,0
"Cyanobacteria-specific RpoD-like sigma factor, type-2",1,1,0,0
"Cyanobacteria-specific RpoD-like sigma factor, type-4",0,1,0,0
"Cyanobacteria-specific RpoD-like sigma factor, type-6",54,40,0,0
"Cyanobacteria-specific RpoD-like sigma factor, type-7",9,4,0,0
Cyanoglobin,0,0,1,0
Cyanophycin synthase (EC 6.3.2.29)(EC 6.3.2.30),17,16,13,16
Cyanophycin synthase II,1,1,2,2
Cyanophycinase (EC 3.4.15.6),1,2,3,3
Cyanophycinase 2 (EC 3.4.15.6),1,0,0,0
Cyclic AMP receptor protein,8,7,5,4
"Cyclic beta-1,2-glucan synthase (EC 2.4.1.-)",1,0,4,4
Cyclohexadienyl dehydratase (EC 4.2.1.51)(EC 4.2.1.91),75,80,18,17
Cyclohexadienyl dehydrogenase (EC 1.3.1.12)(EC 1.3.1.43),152,126,44,42
Cyclomaltodextrin glucanotransferase (EC 2.4.1.19),14,11,1,2
"Cyclopropane-fatty-acyl-phospholipid synthase 1, CmaA1 (EC 2.1.1.79)",1,0,0,0
"Cyclopropane-fatty-acyl-phospholipid synthase-like protein, clusters with FIG005069",16,12,8,11
Cys regulon transcriptional activator CysB,22,27,10,13
Cystathionine beta-lyase (EC 4.4.1.8),141,126,34,31
Cystathionine beta-synthase (EC 4.2.1.22),195,162,37,36
Cystathionine gamma-lyase (EC 4.4.1.1),236,240,44,45
Cystathionine gamma-synthase (EC 2.5.1.48),93,88,22,15
Cystathionine gamma-synthase (EC 2.5.1.48) fungal type,21,16,0,0
Cysteine desulfurase (EC 2.8.1.7),919,866,209,197
"Cysteine desulfurase (EC 2.8.1.7), IscS subfamily",52,39,13,18
"Cysteine desulfurase (EC 2.8.1.7), NifS subfamily",0,1,1,1
"Cysteine desulfurase (EC 2.8.1.7), SufS subfamily",62,60,13,11
"Cysteine desulfurase CsdA-CsdE (EC 2.8.1.7), main protein CsdA",11,8,2,1
"Cysteine desulfurase CsdA-CsdE, sulfur acceptor protein CsdE",2,1,0,0
Cysteine synthase (EC 2.5.1.47),345,338,116,93
Cysteine synthase A (EC 2.5.1.47),2,1,1,1
Cysteine synthase B (EC 2.5.1.47),70,73,27,31
Cysteinyl-tRNA synthetase (EC 6.1.1.16),593,524,169,159
"Cysteinyl-tRNA synthetase (EC 6.1.1.16), mitochondrial",1,1,1,2
"Cystine ABC transporter, ATP-binding protein",2,1,1,2
"Cystine ABC transporter, periplasmic cystine-binding protein FliY",0,1,0,0
Cytidine deaminase (EC 3.5.4.5),55,39,15,16
Cytidylate kinase (EC 2.7.4.14),149,129,42,41
Cytochrome C1 heme lyase CCHL (EC 4.4.1.17),1,1,0,0
Cytochrome C550 (Soluble cytochrome C),2,2,2,2
Cytochrome C551 peroxidase (EC 1.11.1.5),2,3,3,3
Cytochrome C553 (soluble cytochrome f),27,26,2,2
Cytochrome O ubiquinol oxidase subunit I (EC 1.10.3.-),1,0,14,12
Cytochrome O ubiquinol oxidase subunit II (EC 1.10.3.-),0,0,2,2
Cytochrome O ubiquinol oxidase subunit III (EC 1.10.3.-),1,1,2,1
Cytochrome b559 alpha chain (PsbE),23,22,4,6
Cytochrome b559 beta chain (PsbF),13,16,3,4
Cytochrome b6-f complex iron-sulfur subunit PetC1 (Rieske iron sulfur protein EC 1.10.99.1),19,13,1,2
Cytochrome b6-f complex subunit IV (PetD),40,35,20,19
Cytochrome b6-f complex subunit V (PetG),5,8,2,2
Cytochrome b6-f complex subunit VII (PetM),7,4,0,0
Cytochrome b6-f complex subunit VIII (PetN),4,1,0,0
"Cytochrome b6-f complex subunit, apocytochrome f",53,54,48,37
"Cytochrome b6-f complex subunit, cytochrome b6",45,47,35,29
Cytochrome c heme lyase subunit CcmF,241,224,79,70
Cytochrome c heme lyase subunit CcmH,7,6,1,3
Cytochrome c heme lyase subunit CcmL,43,32,15,14
"Cytochrome c nitrite reductase, small subunit NrfH",0,1,0,0
Cytochrome c oxidase (B(O/a)3-type) chain I (EC 1.9.3.1),6,5,1,2
Cytochrome c oxidase (B(O/a)3-type) chain II (EC 1.9.3.1),0,1,0,0
Cytochrome c oxidase polypeptide I (EC 1.9.3.1),867,863,316,306
Cytochrome c oxidase polypeptide II (EC 1.9.3.1),398,350,160,138
Cytochrome c oxidase polypeptide III (EC 1.9.3.1),310,280,178,179
Cytochrome c oxidase subunit CcoN (EC 1.9.3.1),40,40,57,56
Cytochrome c oxidase subunit CcoO (EC 1.9.3.1),17,22,31,26
Cytochrome c oxidase subunit CcoP (EC 1.9.3.1),9,6,27,25
Cytochrome c oxidase subunit CcoQ (EC 1.9.3.1),2,2,1,1
Cytochrome c-type biogenesis protein CcdA (DsbD analog),88,67,40,28
"Cytochrome c-type biogenesis protein CcmC, putative heme lyase for CcmE",164,141,50,45
"Cytochrome c-type biogenesis protein CcmD, interacts with CcmCE",9,2,3,3
"Cytochrome c-type biogenesis protein CcmE, heme chaperone",87,85,22,27
"Cytochrome c-type biogenesis protein CcmG/DsbE, thiol:disulfide oxidoreductase",75,77,10,9
Cytochrome c-type biogenesis protein Ccs1/ResB,67,61,52,47
Cytochrome c-type biogenesis protein CcsA/ResC,66,66,69,58
"Cytochrome c-type biogenesis protein DsbD, protein-disulfide reductase (EC 1.8.1.8)",142,136,40,33
Cytochrome c-type biogenesis protein ResA,2,1,1,1
"Cytochrome c-type heme lyase subunit nrfE, nitrite reductase complex assembly",3,9,2,2
Cytochrome c-type protein NapC,5,6,1,1
Cytochrome c2,28,23,2,2
Cytochrome c4,55,44,17,11
Cytochrome c551 peroxidase (EC 1.11.1.5),7,6,6,4
Cytochrome c551/c552,9,8,3,2
Cytochrome c552,0,0,2,2
Cytochrome c552 precursor (EC 1.7.2.2),2,1,3,3
Cytochrome c553,1,1,3,0
Cytochrome cd1 nitrite reductase (EC:1.7.2.1),0,0,3,3
Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-),24,21,36,36
Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-),8,12,21,23
"Cytochrome oxidase biogenesis protein Cox11-CtaG, copper delivery to Cox1",134,120,36,39
"Cytochrome oxidase biogenesis protein Sco1/SenC/PrrC, putative copper metallochaperone",127,115,16,17
"Cytochrome oxidase biogenesis protein Surf1, facilitates heme A insertion",31,24,6,2
Cytoplasmic alpha-amylase (EC 3.2.1.1),4,4,1,1
Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-),350,323,142,145
Cytoplasmic copper homeostasis protein cutC,9,12,0,1
"Cytoplasmic, CoA-independent, aldehyde dehydrogenase (EC 1.2.1.3)",0,0,0,1
Cytosine deaminase (EC 3.5.4.1),42,40,4,3
Cytosine/purine/uracil/thiamine/allantoin permease family protein,83,82,21,20
Cytosol aminopeptidase PepA (EC 3.4.11.1),445,409,153,150
Cytosolic Fe-S cluster assembling factor NBP35,5,6,3,3
"D,D-heptose 7-phosphate kinase",13,13,3,3
D-2-hydroxyglutarate dehydrogenase,100,81,30,27
D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95),952,891,333,318
D-Lactate dehydrogenase (EC 1.1.2.5),50,44,5,2
"D-Lactate dehydrogenase, cytochrome c-dependent (EC 1.1.2.4)",65,63,15,16
"D-Ornithine 4,5-aminomutase E subunit (EC 5.4.3.5)",2,1,1,1
"D-Ornithine 4,5-aminomutase S subunit (EC 5.4.3.5)",2,1,0,0
"D-Ribose 1,5-phosphomutase (EC 5.4.2.7)",10,6,6,5
D-alanine aminotransferase (EC 2.6.1.21),54,57,43,39
D-alanine--D-alanine ligase (EC 6.3.2.4),186,175,66,67
D-alanine--D-alanine ligase A (EC 6.3.2.4),1,1,1,3
D-alanine--D-alanine ligase B (EC 6.3.2.4),31,23,7,9
D-alanyl transfer protein DltB,0,0,1,1
D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4),327,330,108,89
"D-allose ABC transporter, ATPase component",0,3,0,2
D-allose-6-phosphate isomerase (EC 5.3.1.-),0,1,0,0
D-amino acid dehydrogenase (EC 1.4.99.1) family protein in hydroxy-L-proline catabolic cluster,11,12,3,2
D-amino acid dehydrogenase small subunit (EC 1.4.99.1),245,238,50,46
D-arabino-3-hexulose 6-phosphate formaldehyde lyase,8,6,1,1
D-beta-hydroxybutyrate dehydrogenase (EC 1.1.1.30),118,117,43,41
D-beta-hydroxybutyrate permease,7,8,1,2
D-cysteine desulfhydrase (EC 4.4.1.15),0,1,1,0
D-erythrose-4-phosphate dehydrogenase (EC 1.2.1.72),30,21,9,6
D-galactonate transporter,2,3,2,3
D-glycerate 2-kinase (EC 2.7.1.-),47,41,9,9
"D-glycerate 3-kinase (EC 2.7.1.31), plant type",86,79,12,9
D-glycerate transporter (predicted),15,10,2,0
"D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase (EC 3.1.1.-)",13,15,2,2
D-glycero-D-manno-heptose 1-phosphate guanosyltransferase,31,33,11,7
D-glycero-beta-D-manno-heptose 7-phosphate kinase,73,66,33,32
D-hydantoinase (EC 3.5.2.2),16,13,0,0
D-lactate dehydrogenase (EC 1.1.1.28),5,7,9,12
D-malic enzyme (EC 1.1.1.83),82,71,19,33
D-mannonate oxidoreductase (EC 1.1.1.57),31,24,15,14
D-mannose isomerase (EC 5.3.1.7),7,7,3,2
D-serine/D-alanine/glycine transporter,0,0,1,0
D-tagatose 3-epimerase (EC 5.3.1.-),9,8,3,1
D-tyrosyl-tRNA(Tyr) deacylase,72,76,23,20
D-xylose 1-dehydrogenase (EC 1.1.1.175),7,8,0,0
D-xylose proton-symporter XylE,77,65,15,14
D-xylose transport ATP-binding protein XylG,58,49,16,16
D-xylose-specific 1-epimerase (mutarotase),1,0,3,2
DHA-specific EI component,2,2,1,2
DHA-specific phosphocarrier protein HPr,1,2,0,0
DMSP breakdown hydrolase protein,66,69,23,24
DMSP demethylase EC 2.1.2.10,388,367,77,61
DMSP demthylase transcriptional regulator,17,15,3,3
"DNA adenine methyltransferase, phage-associated",2,1,7,6
DNA gyrase subunit A (EC 5.99.1.3),1280,1193,360,327
DNA gyrase subunit B (EC 5.99.1.3),987,901,364,307
DNA helicase (EC 3.6.1.-),205,206,64,60
"DNA helicase (EC 3.6.1.-), phage-associated",33,35,1,3
DNA helicase IV,6,13,3,2
"DNA helicase loader, phage-associated",1,2,1,1
"DNA helicase, phage-associated",407,389,107,98
DNA ligase (EC 6.5.1.2),610,561,189,175
"DNA ligase, phage-associated",64,60,56,51
"DNA maturase, phage-associated",439,452,34,28
"DNA methyl transferase, phage-associated",0,1,1,0
DNA mismatch repair protein MutL,317,278,98,88
DNA mismatch repair protein MutS,585,507,171,153
DNA packaging,25,23,13,11
DNA polymerase I (EC 2.7.7.7),1213,1115,388,357
DNA polymerase II (EC 2.7.7.7),46,44,9,10
DNA polymerase III alpha subunit (EC 2.7.7.7),1748,1620,627,553
DNA polymerase III beta subunit (EC 2.7.7.7),435,400,115,120
DNA polymerase III chi subunit (EC 2.7.7.7),5,2,4,3
DNA polymerase III delta prime subunit (EC 2.7.7.7),112,100,28,29
DNA polymerase III delta subunit (EC 2.7.7.7),60,55,21,22
DNA polymerase III epsilon subunit (EC 2.7.7.7),222,227,72,71
DNA polymerase III subunits gamma and tau (EC 2.7.7.7),495,466,152,134
DNA polymerase IV (EC 2.7.7.7),213,211,69,54
DNA polymerase X family,3,4,5,1
"DNA polymerase sliding clamp, phage-associated",24,32,0,0
"DNA polymerase, phage-associated",102,80,44,33
DNA polymerase-like protein PA0670,31,26,2,0
DNA primase (EC 2.7.7.-),544,508,166,141
DNA primase large subunit (EC 2.7.7.-),0,0,2,2
DNA recombination and repair protein RecF,190,168,37,36
DNA recombination and repair protein RecO,109,106,20,23
DNA recombination protein RmuC,292,280,123,116
DNA recombination-dependent growth factor C,3,3,4,3
DNA repair and recombination protein RadA,1,1,1,1
DNA repair and recombination protein RadB,1,1,0,0
DNA repair exonuclease family protein YhaO,0,1,5,5
DNA repair protein RAD51,1,1,5,4
DNA repair protein RadA,294,274,134,111
DNA repair protein RadC,44,45,30,31
DNA repair protein RecN,295,242,65,51
DNA replication helicase protein MCM,4,3,9,6
DNA replication protein DnaC,1,1,0,0
"DNA replication protein, phage-associated",1,1,0,0
DNA sulfur modification protein DndB,3,3,3,3
DNA sulfur modification protein DndD,8,5,0,0
DNA sulfur modification protein DndE,0,1,0,0
DNA topoisomerase I (EC 5.99.1.2),1052,1031,379,350
"DNA topoisomerase I, eukaryotic-type (EC 5.99.1.2)",2,3,1,3
DNA topoisomerase IB (poxvirus type) (EC 5.99.1.2),0,0,1,1
DNA topoisomerase II (EC 5.99.1.3),45,37,53,51
DNA topoisomerase III (EC 5.99.1.2),21,17,24,27
"DNA topoisomerase III, Bacteroidales-type (EC 5.99.1.2)",1,1,0,0
"DNA topoisomerase III, Burkholderia type (EC 5.99.1.2)",11,14,7,2
"DNA topoisomerase III, TraE-type (EC 5.99.1.2)",3,3,0,0
DNA topoisomerase V,9,10,1,1
DNA topoisomerase VI subunit A (EC 5.99.1.3),3,2,0,0
DNA topoisomerase VI subunit B (EC 5.99.1.3),3,4,5,3
"DNA topoisomerase, phage-associated",19,14,14,10
DNA-3-methyladenine glycosylase (EC 3.2.2.20),53,57,37,39
DNA-3-methyladenine glycosylase II (EC 3.2.2.21),29,22,3,1
DNA-binding domain of ModE,1,0,5,5
DNA-binding heavy metal response regulator,8,6,4,3
DNA-binding protein Fis,4,3,7,3
DNA-binding protein H-NS,5,4,1,1
DNA-binding protein HBsu,10,3,1,1
DNA-binding protein HU,122,133,36,30
DNA-binding protein HU-alpha,3,2,2,1
DNA-binding response regulator ChvI,114,113,35,29
DNA-binding response regulator ResD,5,6,0,2
DNA-cytosine methyltransferase (EC 2.1.1.37),90,81,28,29
DNA-damage-inducible protein J,0,0,6,5
DNA-directed RNA polymerase I 36 kDa polypeptide (EC 2.7.7.6),0,0,1,1
DNA-directed RNA polymerase I largest subunit (EC 2.7.7.6),1,3,6,4
DNA-directed RNA polymerase I second largest subunit (EC 2.7.7.6),1,1,9,9
DNA-directed RNA polymerase II 45 kDa polypeptide (EC 2.7.7.6),0,0,1,1
DNA-directed RNA polymerase II largest subunit (EC 2.7.7.6),14,15,19,22
DNA-directed RNA polymerase II second largest subunit (EC 2.7.7.6),22,17,42,40
DNA-directed RNA polymerase III largest subunit (EC 2.7.7.6),2,3,14,13
DNA-directed RNA polymerase III second largest subunit (EC 2.7.7.6),12,8,10,8
DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6),484,476,166,146
"DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6), chloroplast",1,1,2,1
DNA-directed RNA polymerase alpha subunit domain,8,4,1,0
DNA-directed RNA polymerase beta subunit (EC 2.7.7.6),1852,1730,786,705
"DNA-directed RNA polymerase beta subunit (EC 2.7.7.6), chloroplast",6,6,4,4
DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6),1730,1673,751,682
DNA-directed RNA polymerase delta (= beta'') subunit (EC 2.7.7.6),228,205,79,75
"DNA-directed RNA polymerase delta (= beta'') subunit (EC 2.7.7.6), chloroplast",13,9,8,8
DNA-directed RNA polymerase delta subunit (EC 2.7.7.6),1,0,1,0
DNA-directed RNA polymerase gamma subunit (EC 2.7.7.6),102,98,49,43
"DNA-directed RNA polymerase gamma subunit (EC 2.7.7.6), chloroplast",26,28,34,24
DNA-directed RNA polymerase omega subunit (EC 2.7.7.6),142,133,45,40
"DNA-directed RNA polymerase specialized sigma subunit, sigma24-like",1,11,4,5
DNA-directed RNA polymerase subunit A (EC 2.7.7.6),2,0,0,0
DNA-directed RNA polymerase subunit A' (EC 2.7.7.6),15,14,4,5
DNA-directed RNA polymerase subunit A'' (EC 2.7.7.6),0,0,3,9
DNA-directed RNA polymerase subunit B (EC 2.7.7.6),16,18,12,14
DNA-directed RNA polymerase subunit B' (EC 2.7.7.6),8,8,8,16
DNA-directed RNA polymerase subunit B'' (EC 2.7.7.6),1,1,0,0
DNA-directed RNA polymerase subunit E' (EC 2.7.7.6),2,1,1,0
DNA-directed RNA polymerase subunit N (EC 2.7.7.6),1,1,0,0
DNA-directed RNA polymerases I and III 40 kDa polypeptide (EC 2.7.7.6),1,1,3,1
"DNA-directed RNA polymerases I, II, and III 15 kDa polypeptide (EC 2.7.7.6)",1,1,3,2
"DNA-directed RNA polymerases I, II, and III 27 kDa polypeptide (EC 2.7.7.6)",0,1,5,2
DNA/RNA-binding protein Alba,0,1,0,0
DUF1022 domain-containing protein,76,79,12,11
DUF1794,5,4,5,7
DUF447 family protein,0,0,1,1
"Deacetylases, including yeast histone deacetylase and acetoin utilization protein",133,112,51,42
"Death on curing protein, Doc toxin",11,15,8,8
Deblocking aminopeptidase (EC 3.4.11.-),4,5,8,5
"DedA family protein, putative",22,18,3,3
DedA protein,3,1,6,6
Dehydrodolichyl diphosphate synthase (EC 2.5.1.-),0,0,1,1
"Dehydrosqualene desaturase (EC 1.14.99.-) (Diapophytoene desaturase) (4,4'-diapophytoene desaturase)",0,0,1,1
Delta 1-piperideine-2-carboxylate reductase (EC 1.5.1.21),4,9,1,0
Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12),248,237,87,77
DeoR-type transcriptional regulator YihW,1,0,0,0
Deoxyadenosine kinase (EC 2.7.1.76),63,65,10,11
Deoxycytidine triphosphate deaminase (EC 3.5.4.13),280,261,86,66
Deoxycytidylate 5-hydroxymethyltransferase (EC 2.1.2.8),17,11,5,5
Deoxyguanosine kinase (EC 2.7.1.113),69,70,10,11
Deoxyhypusine synthase,234,234,124,119
Deoxyribodipyrimidine photolyase (EC 4.1.99.3),679,618,209,185
"Deoxyribodipyrimidine photolyase, single-strand-specific",10,10,3,3
"Deoxyribodipyrimidine photolyase, type II (EC 4.1.99.3)",25,33,8,11
Deoxyribonuclease TatD,25,13,5,3
Deoxyribose-phosphate aldolase (EC 4.1.2.4),107,90,64,52
Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23),213,196,76,68
Dephospho-CoA kinase (EC 2.7.1.24),103,104,29,24
Dethiobiotin synthetase (EC 6.3.3.3),32,34,7,5
DgcA Dimethylglycine demethylase subunit A,3,2,1,1
DgcB Dimethylglycine demethylase subunit B,0,1,0,0
Di-/tripeptide transporter,159,151,52,43
Di/tripeptide permease DtpA,4,5,0,0
Di/tripeptide permease DtpT,24,23,5,5
Di/tripeptide permease YbgH,2,2,0,0
Di/tripeptide permease YjdL,48,48,11,11
Diacylglycerol kinase (EC 2.7.1.107),31,25,10,7
Diaminobutyrate-pyruvate aminotransferase (EC 2.6.1.46),2,2,16,11
Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26),7,6,0,0
Diaminopimelate decarboxylase (EC 4.1.1.20),464,443,170,161
Diaminopimelate epimerase (EC 5.1.1.7),233,219,80,75
Digeranylgeranylglycerophospholipid reductase,1,1,1,1
"Dihydroaeruginoate synthetase PchE, non-ribosomal peptide synthetase modules",0,1,3,1
Dihydrodipicolinate reductase (EC 1.3.1.26),262,237,70,52
Dihydrodipicolinate synthase (EC 4.2.1.52),315,271,139,119
Dihydroflavonol-4-reductase (EC 1.1.1.219),14,11,3,4
Dihydrofolate reductase (EC 1.5.1.3),68,63,25,26
"Dihydrofolate reductase, phage-associated",1,0,0,0
Dihydrofolate synthase (EC 6.3.2.12),124,113,31,29
Dihydrolipoamide acetyltransferase component (E2) of acetoin dehydrogenase complex (EC 2.3.1.-),5,4,1,0
Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12),539,487,232,230
Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168),161,140,61,62
Dihydrolipoamide dehydrogenase (EC 1.8.1.4),264,248,93,81
Dihydrolipoamide dehydrogenase of 2-oxoglutarate dehydrogenase (EC 1.8.1.4),527,466,159,150
Dihydrolipoamide dehydrogenase of acetoin dehydrogenase (EC 1.8.1.4),7,4,0,0
Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4),69,60,43,33
Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4),126,102,58,53
Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61),529,518,175,155
Dihydroneopterin aldolase (EC 4.1.2.25),136,121,21,14
Dihydroneopterin triphosphate epimerase,2,4,2,3
Dihydroneopterin triphosphate pyrophosphohydrolase type 2 (nudB),3,1,1,1
Dihydroorotase (EC 3.5.2.3),722,696,231,203
Dihydroorotate dehydrogenase (EC 1.3.3.1),371,328,103,96
Dihydroorotate dehydrogenase electron transfer subunit (EC 1.3.3.1),5,2,1,0
"Dihydroorotate dehydrogenase, catalytic subunit (EC 1.3.3.1)",38,31,8,5
Dihydropteridine reductase (EC 1.5.1.34),11,14,14,18
Dihydropteroate synthase (EC 2.5.1.15),235,228,88,74
Dihydropyrimidinase (EC 3.5.2.2),64,61,8,9
Dihydropyrimidine dehydrogenase [NADP+] (EC 1.3.1.2),33,29,9,7
Dihydroxy-acid dehydratase (EC 4.2.1.9),945,917,288,264
Dihydroxyacetone kinase family protein,1,3,0,0
"Dihydroxyacetone kinase, ATP-dependent (EC 2.7.1.29)",3,4,7,6
Dimeric dUTPase (EC 3.6.1.23),14,14,2,2
Dimethyladenosine transferase (EC 2.1.1.-),240,207,83,71
Dimethylallyltransferase (EC 2.5.1.1),256,237,46,48
Dimethylglycine N-methyltransferase,5,9,0,0
Dimethylglycine dehydrogenase (EC 1.5.99.2),259,254,94,89
Dimethylsulfoniopropionate (DMSP) acyl CoA transferase DddD,1,1,1,1
Dimethylsulfoniopropionate (DSMP) lyase DddL,6,3,0,0
DinG family ATP-dependent helicase CPE1197,1,0,1,1
DinG family ATP-dependent helicase YoaA,49,44,27,26
Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2),134,127,44,43
Dipeptide transport ATP-binding protein DppF (TC 3.A.1.5.2),27,33,12,9
Dipeptide transport system permease protein DppB (TC 3.A.1.5.2),150,140,25,22
Dipeptide transport system permease protein DppC (TC 3.A.1.5.2),168,147,34,28
"Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)",86,89,27,30
Dipeptidyl carboxypeptidase Dcp (EC 3.4.15.5),211,204,52,58
Diphosphomevalonate decarboxylase (EC 4.1.1.33),45,48,5,4
"Dissimilatory sulfite reductase (desulfoviridin), alpha and beta subunits",1,1,0,0
