level3,nador_lagoon_1,nador_lagoon_2,oualidia_lagoon_1,oualidia_lagoon_2
Melibiose_Utilization,5,6,0,0
Menaquinone_Biosynthesis_via_Futalosine_--_gjo,152,137,40,42
Menaquinone_and_Phylloquinone_Biosynthesis,445,386,158,130
Mercuric_reductase,18,15,24,17
Mercury_resistance_operon,5,4,1,0
Metallocarboxypeptidases_(EC_3.4.17.-),436,430,116,92
Metalloendopeptidases_(EC_3.4.24.-),26,19,12,12
Methanogenesis,20,15,5,3
Methanogenesis_from_methylated_compounds,46,52,3,3
Methanogenesis_strays,3,3,3,2
Methanopterin_biosynthesis2,6,5,2,2
Methicillin_resistance_in_Staphylococci,263,231,51,37
Methionine_Biosynthesis,3206,2948,1334,1180
Methionine_Degradation,70,63,26,24
Methionine_Salvage,325,292,139,142
Methylcitrate_cycle,178,175,81,84
Methylglyoxal_Metabolism,1455,1391,475,424
Methylthiotransferases,235,221,40,32
MexE-MexF-OprN_Multidrug_Efflux_System,16,17,10,9
Molybdenum_cofactor_biosynthesis,1307,1185,404,354
Molybdopterin_cytosine_dinucleotide,24,18,7,1
Muconate_lactonizing_enzyme_family,5,3,0,0
MukBEF_Chromosome_Condensation,0,0,2,2
Multi-subunit_cation_antiporter,59,42,49,39
Multidrug_Resistance_Efflux_Pumps,1418,1269,661,606
Multidrug_efflux_pump_in_Campylobacter_jejuni_(CmeABC_operon),14,13,12,9
Multiple_Antibiotic_Resistance_MAR_locus,0,1,0,0
Murein_Hydrolases,801,726,217,190
Murein_hydrolase_regulation_and_cell_death,21,17,37,25
N-Acetyl-Galactosamine_and_Galactosamine_Utilization,194,178,68,53
N-heterocyclic_aromatic_compound_degradation,194,175,61,53
N-linked_Glycosylation_in_Bacteria,129,113,17,16
NADPH:quinone_oxidoreductase_2,0,0,4,4
NAD_and_NADP_cofactor_biosynthesis_global,1431,1277,464,435
NAD_regulation,481,457,154,122
Na(+)-translocating_NADH-quinone_oxidoreductase_and_rnf-like_group_of_electron_transport_complexes,1160,1020,322,310
Na+_translocating_decarboxylases_and_related_biotin-dependent_enzymes,52,46,18,14
Naphtalene_and_antracene_degradation,145,134,31,29
Natural_DNA_Transformation_in_Vibrio,3,1,1,1
"NhaA,_NhaD_and_Sodium-dependent_phosphate_transporters",165,150,58,48
NiFe_hydrogenase_maturation,56,49,22,21
Niacin-Choline_transport_and_metabolism,568,550,115,104
Nitrate_and_nitrite_ammonification,228,216,120,109
Nitric_oxide_synthase,286,234,56,48
Nitrilase,1,2,1,0
Nitrogen_fixation,22,26,14,13
Nitrosative_stress,20,21,20,13
Nonhomologous_End-Joining_in_Bacteria,1,2,1,0
Nonribosomal_peptide_synthetases_(NRPS)_in_Frankia_sp._Ccl3,0,1,0,0
Novel_non-oxidative_pathway_of_Uracil_catabolism,139,118,48,46
Nucleoid-associated_proteins_in_Bacteria,5,4,1,1
Nucleolar_protein_complex,17,16,41,34
Nucleoside_Catabolism_cluster,384,348,197,174
Nucleoside_triphosphate_pyrophosphohydrolase_MazG,183,167,47,47
Nudix_proteins_(nucleoside_triphosphate_hydrolases),323,298,125,115
NusA-TFII_Cluster,799,756,257,234
O-Methyl_Phosphoramidate_Capsule_Modification_in_Campylobacter,10,10,3,0
O-antigen_capsule_important_for_environmental_persistence,1,0,0,0
Octadecanoids,1,0,2,1
Omega-amidase,79,71,11,9
Omega_peptidases_(EC_3.4.19.-),97,85,22,16
One-carbon_metabolism_by_tetrahydropterines,4,4,0,0
Orphan_regulatory_proteins,49,45,38,26
Osmoregulation,49,46,30,27
Osmotic_stress_cluster,12,10,5,3
Outer_membrane,360,330,85,77
Oxidative_stress,313,306,100,95
Oxygen_and_light_sensor_PpaA-PpsR,39,39,10,12
P38_MAP_kinase_pathways,0,1,2,3
PA0057_cluster,1,1,0,0
PFGI-1-like_cluster_1,1,1,0,0
PROSC,2952,2856,952,888
P_uptake_(cyanobacteria),67,61,23,32
Paerucumarin_Biosynthesis,1,1,0,0
Pentose_phosphate_pathway,1557,1458,429,376
Peptide_methionine_sulfoxide_reductase,2,2,4,3
Peptidoglycan_Biosynthesis,2242,2104,630,590
Peptidoglycan_Crosslinking_of_Peptide_Stems,1,0,0,0
Peptidoglycan_biosynthesis--gjo,765,689,266,213
Peptidyl-prolyl_cis-trans_isomerase,99,91,43,43
Peripheral_Glucose_Catabolism_Pathways,2,0,1,1
Periplasmic-Binding-Protein-Dependent_Transport_System_for_&#945;-Glucosides,263,219,83,71
Periplasmic_Acid_Stress_Response_in_Enterobacteria,0,0,1,0
Periplasmic_Stress_Response,310,295,110,104
Periplasmic_disulfide_interchange,251,250,46,36
Perosamine_Synthesis_Vibrio,319,305,108,93
Persister_Cells,121,134,29,20
Pertussis_toxin,5,5,0,0
Petrobactin-mediated_iron_uptake_system,3,1,0,0
Phage_DNA_synthesis,161,127,85,69
Phage_Dual_Exonuclease_Exclusion,1,1,3,3
Phage_baseplate_proteins,173,161,24,21
Phage_capsid_proteins,1012,929,174,179
Phage_entry_and_exit,340,305,51,60
Phage_integration_and_excision,909,822,217,186
Phage_neck_proteins,251,222,42,26
Phage_nin_genes_-_N-independent_survival,1,0,0,0
Phage_packaging_machinery,827,788,252,220
Phage_regulation_of_gene_expression,20,16,16,13
Phage_replication,1638,1584,327,287
Phage_shock_protein_(psp)_operon,65,63,20,20
Phage_tail_fiber_proteins,424,374,215,200
Phage_tail_proteins_2,429,389,111,116
"Phd-Doc,_YdcE-YdcD_toxin-antitoxin_(programmed_cell_death)_systems",22,25,16,16
Phenazine_biosynthesis,21,23,9,3
Phenol_hydroxylase,6,10,4,4
Phenylacetyl-CoA_catabolic_pathway_(core),436,386,142,135
Phenylalanine_and_Tyrosine_Branches_from_Chorismate,515,500,113,104
Phenylpropanoid_compound_degradation,206,175,33,36
Phenylpropionate_Degradation,1,2,0,0
PhoR-PhoB_two-component_regulatory_system,646,623,140,145
Phosphate-binding_DING_proteins,14,9,2,1
Phosphate_metabolism,3115,2925,996,967
Phosphoenolpyruvate_phosphomutase,19,16,10,11
Phosphoglycerate_transport_system,3,0,1,1
Phospholipid_and_Fatty_acid_biosynthesis_related_cluster,8,7,17,15
Phosphonate_metabolism,31,27,2,2
Phosphonoalanine_utilization,1,1,1,1
Phosphorylcholine_incorporation_in_LPS,16,11,15,17
Photorespiration_(oxidative_C2_cycle),1456,1376,492,436
Photosystem_I,625,561,307,283
Photosystem_II,1438,1287,299,282
Photosystem_II-type_photosynthetic_reaction_center,260,247,34,39
Phycobilisome,710,612,2,2
Phytosterol_biosynthesis,0,0,1,0
Plasmid-encoded_T-DNA_transfer,73,65,10,9
Plasmid_replication,220,227,113,106
Plastoquinone_Biosynthesis,253,224,39,33
Poly-gamma-glutamate_biosynthesis,2,3,6,6
Polyadenylation_bacterial,163,138,31,27
Polyadenylation_specificity_factor,5,6,6,5
Polyamine_Metabolism,562,516,207,205
Polyhydroxybutyrate_metabolism,569,526,200,193
Polyprenyl_Diphosphate_Biosynthesis,71,65,12,10
Polyunsaturated_Fatty_Acids_synthesis,1,1,4,6
Possible_Ammonia_conversion_cluster,284,245,80,68
Potassium_homeostasis,1341,1254,386,352
Predicted_carbohydrate_hydrolases,24,23,10,16
Predicted_secretion_system_W_clustering_with_cell_division_proteins,49,59,11,6
Predicted_secretion_system_X,0,0,2,1
Programmed_frameshift,154,147,51,52
"Proline,_4-hydroxyproline_uptake_and_utilization",198,205,78,74
Proline_Synthesis,270,273,87,80
Propanediol_utilization,33,26,29,27
Prophage_lysogenic_conversion_modules,29,27,3,3
Propionate-CoA_to_Succinate_Module,1097,1088,555,550
Propionyl-CoA_to_Succinyl-CoA_Module,673,585,218,201
Proteasome_archaeal,10,9,7,6
Proteasome_bacterial,2119,1975,820,764
Proteasome_eukaryotic,27,23,82,79
Proteasome_subunit_alpha_archaeal_cluster,8,7,5,5
Protection_from_Reactive_Oxygen_Species,366,327,171,164
Protein_Acetylation_and_Deacetylation_in_Bacteria,2140,2028,901,820
Protein_chaperones,2432,2212,960,910
Protein_degradation,527,486,160,160
"Proteolysis_in_bacteria,_ATP-dependent",2158,2013,993,860
Proteorhodopsin,295,281,98,78
Protocatechuate_branch_of_beta-ketoadipate_pathway,278,248,51,44
Proton-dependent_Peptide_Transporters,235,227,68,59
Pseudaminic_Acid_Biosynthesis,44,38,8,8
Pseudouridine_catabolism,17,24,13,10
Pterin_biosynthesis,171,152,16,19
Pterin_carbinolamine_dehydratase,92,95,51,43
Pterin_metabolism,105,96,20,13
Pterin_metabolism_3,228,223,82,69
Purine_Utilization,714,675,251,221
Purine_conversions,3854,3633,1290,1192
Purine_nucleotide_synthesis_regulator,0,1,1,0
Putative_TldE-TldD_proteolytic_complex,12,10,3,0
Putative_diaminopropionate_ammonia-lyase_cluster,87,64,14,13
Putative_hemin_transporter,1,1,0,0
Putative_sugar_ABC_transporter_(ytf_cluster),0,0,2,1
Putative_sulfate_assimilation_cluster,7,4,0,0
Putrescine_utilization_pathways,124,100,83,72
Pyridoxin(Vitamin_B6)_Degradation_Pathway,6,8,2,0
Pyridoxin_(Vitamin_B6)_Biosynthesis,1343,1267,480,466
Pyrimidine_utilization,154,119,29,26
Pyrroloquinoline_Quinone_biosynthesis,85,74,29,26
Pyrrolysine,1,2,0,0
Pyruvate:ferredoxin_oxidoreductase,64,50,40,30
Pyruvate_Alanine_Serine_Interconversions,662,637,254,238
"Pyruvate_metabolism_I:_anaplerotic_reactions,_PEP",1783,1656,796,743
"Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate",483,390,207,183
Queuosine-Archaeosine_Biosynthesis,1078,980,255,244
Quinate_degradation,185,168,52,42
Quinone_oxidoreductase_family,181,147,69,66
Quorum-sensing_in_Vibrio,2,1,4,3
Quorum_Sensing:_Autoinducer-2_Synthesis,681,648,251,233
Quorum_sensing_in_Yersinia,6,5,2,2
RNA_3'-terminal_phosphate_cyclase,1,0,4,4
RNA_methylation,409,363,129,131
RNA_modification_and_chromosome_partitioning_cluster,1,3,0,0
RNA_modification_cluster,123,109,25,20
RNA_polymerase_I,2,5,21,16
RNA_polymerase_II,37,33,65,65
RNA_polymerase_III,15,12,27,22
RNA_polymerase_III_initiation_factors,5,7,2,2
RNA_polymerase_II_initiation_factors,9,7,11,8
RNA_polymerase_archaeal,45,43,28,44
RNA_polymerase_archaeal_initiation_factors,9,5,2,2
RNA_polymerase_bacterial,3921,3710,1667,1505
RNA_polymerase_chloroplast,46,44,48,37
"RNA_processing_and_degradation,_bacterial",1051,954,326,297
RNA_pseudouridine_syntheses,519,467,150,144
Rcs_phosphorelay_signal_transduction_pathway,16,7,0,0
Recycling_of_Peptidoglycan_Amino_Acids,465,425,133,135
Recycling_of_Peptidoglycan_Amino_Sugars,260,221,62,58
Redox-dependent_regulation_of_nucleus_processes,85,64,41,31
Regulation_of_Oxidative_Stress_Response,908,821,304,291
Regulatory_Intramembrane_Proteolysis_Pathways,7,6,19,19
Release_of_Dimethyl_Sulfide_(DMS)_from_Dimethylsulfoniopropionate_(DMSP),7,4,1,1
Resistance_to_Vancomycin,17,11,2,2
Resistance_to_chromium_compounds,49,35,17,14
Resistance_to_fluoroquinolones,1759,1677,541,494
Respiratory_Complex_I,3215,2956,1529,1447
Respiratory_dehydrogenases_1,1140,1058,348,323
Restriction-Modification_System,213,197,258,157
Rhamnolipids_in_Pseudomonas,2,2,0,0
Rhamnose_containing_glycans,788,728,251,226
"Riboflavin,_FMN_and_FAD_metabolism",406,371,141,138
Ribonuclease_H,194,187,74,83
Ribonucleotide_reductase_cluster,2871,2727,1809,1644
Ribonucleotide_reduction,1275,1165,343,302
Ribosomal_protein_S12p_Asp_methylthiotransferase,264,247,55,58
Ribosomal_protein_S5p_acylation,276,257,153,138
Ribosome_LSU_bacterial,5418,5187,2159,1991
Ribosome_LSU_chloroplast,45,43,62,59
Ribosome_LSU_eukaryotic_and_archaeal,39,32,66,60
Ribosome_LSU_mitochondrial,1,1,10,11
Ribosome_SSU_bacterial,3351,3102,1357,1218
Ribosome_SSU_chloroplast,19,22,64,59
Ribosome_SSU_eukaryotic_and_archaeal,28,21,64,60
Ribosome_SSU_mitochondrial,0,0,6,6
Ribosome_activity_modulation,73,74,30,25
Ribosome_biogenesis_archaeal,4,4,6,3
Ribosome_biogenesis_bacterial,447,422,136,135
Rrf2_family_transcriptional_regulators,104,88,21,20
Rubrerythrin,653,623,249,235
RuvABC_plus_a_hypothetical,339,314,122,118
Salicylate_and_gentisate_catabolism,8,7,6,4
Salicylate_ester_degradation,62,59,9,6
Salicylic_acid_biosynthesis1,34,26,1,0
Scaffold_proteins_for_[4Fe-4S]_cluster_assembly_(MRP_family),1026,984,357,337
Selenocysteine_metabolism,260,230,67,59
Selenoprotein_O,345,306,143,143
SeqA_and_Co-occurring_Genes,183,161,56,60
Serine-glyoxylate_cycle,4828,4463,1624,1521
Serine_Biosynthesis,338,308,134,113
Serine_endopeptidase_(EC_3.4.21.-),177,171,44,36
Serotype_determining_Capsular_polysaccharide_biosynthesis_in_Staphylococcus,14,14,7,5
Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes,132,107,37,28
Shikimate_kinase_containing_cluster,128,122,42,33
Sialic_Acid_Metabolism,1605,1461,505,449
Siderophore_Achromobactin,0,0,1,1
Siderophore_Enterobactin,0,0,1,0
Siderophore_Pyoverdine,9,8,6,5
Siderophore_Yersiniabactin_Biosynthesis,1,1,5,1
Siderophore_[Alcaligin-like],0,0,1,1
Siderophore_assembly_kit,36,26,8,9
Siderophore_pyochelin,2,1,3,1
SigmaB_stress_responce_regulation,114,108,31,28
Signal_transduction_module_[RsbQ_hydrolase_-_PAS_domain],0,0,1,1
Single-Rhodanese-domain_proteins,339,321,109,85
Soluble_cytochromes_and_functionally_related_electron_carriers,305,276,77,64
Soluble_methane_monooxygenase_(sMMO),0,0,1,1
Sortase,1,1,2,4
Sphingolipid_biosynthesis,2,2,7,7
Spliceosome,8,9,49,57
Spore_Coat,1,1,1,1
Spore_Core_Dehydration,8,8,14,9
Spore_germination,2,2,4,3
Sporulation-associated_proteins_with_broader_functions,2,2,0,2
Sporulation-related_Hypotheticals,589,540,177,165
Sporulation_Cluster,743,683,252,214
Sporulation_draft,0,1,1,1
Sporulation_gene_orphans,3,1,3,2
Staphylococcal_accessory_gene_regulator_system,0,1,0,0
Staphylococcal_pathogenicity_islands_SaPI,1305,1280,714,635
Staphylococcal_phi-Mu50B-like_prophages,662,674,286,273
Staphylococcus_Two-component_and_Pore-forming_Cytolysins,0,0,0,1
Steroid_sulfates,4,1,3,1
Streptococcal_Mga_Regulon,146,133,41,41
Streptococcus_agalactiae_virulome,307,299,66,66
Streptococcus_pyogenes_Virulome,63,65,21,21
Streptococcus_pyogenes_recombinatorial_zone,178,170,56,45
Streptolysin_S_Biosynthesis_and_Transport,2,3,1,0
"Stringent_Response,_(p)ppGpp_metabolism",191,185,44,40
Succinate_dehydrogenase,633,577,221,206
Sucrose-specific_PTS,23,23,12,10
Sucrose_utilization,232,214,84,73
Sucrose_utilization_Shewanella,7,8,8,6
Sugar_utilization_in_Thermotogales,2360,2177,664,597
Sulfatases_and_sulfatase_modifying_factor_1,313,282,79,60
Sulfate_reduction-associated_complexes,25,23,17,17
Sulfur_oxidation,807,707,202,186
Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster,0,1,4,4
Synechocystis_experimental,249,217,29,30
Synthesis_of_osmoregulated_periplasmic_glucans,11,15,14,14
T7-like_phage_core_proteins,115,86,120,113
TCA_Cycle,2525,2424,975,896
Taurine_Utilization,206,207,67,59
Teichoic_and_lipoteichoic_acids_biosynthesis,94,85,38,28
Teichuronic_acid_biosynthesis,631,575,163,147
Terminal_AA3-600_quinol_oxidase,2,2,0,0
Terminal_cytochrome_C_oxidases,1577,1536,709,684
Terminal_cytochrome_O_ubiquinol_oxidase,1,0,14,12
Terminal_cytochrome_d_ubiquinol_oxidases,67,65,38,36
Terminal_cytochrome_oxidases,58,50,53,51
Tetrathionate_respiration,8,8,8,8
The_Chv_regulatory_system_of_Alphaproteobacteria,295,283,79,73
The_mdtABCD_multidrug_resistance_cluster,111,87,15,19
"Thermosome,_archaeal",2,2,1,3
Thiamin_biosynthesis,518,465,152,144
Thioredoxin-disulfide_reductase,41,40,92,80
Threonine_and_Homoserine_Biosynthesis,889,799,276,265
Threonine_degradation,578,562,240,228
Tn552,3,2,4,3
Tocopherol_Biosynthesis,11,15,10,11
Tolerance_to_colicin_E2,2,2,12,6
Toluene_4-monooxygenase_(T4MO),3,3,0,0
Toluene_degradation,24,21,6,3
Ton_and_Tol_transport_systems,3004,2717,949,832
Toxin-antitoxin_replicon_stabilization_systems,0,0,3,2
Toxin-antitoxin_systems_(other_than_RelBE_and_MazEF),33,32,26,24
"Transcription_elongation_factors,_archaeal",0,1,0,0
Transcription_factors_bacterial,1472,1379,535,488
Transcription_factors_cyanobacterial_RpoD-like_sigma_factors,185,150,0,0
"Transcription_initiation,_bacterial_sigma_factors",226,225,81,56
Translation_elongation_factor_G_family,14,12,17,20
Translation_elongation_factors_bacterial,1185,1137,476,449
Translation_elongation_factors_eukaryotic_and_archaeal,295,270,94,89
Translation_initiation_factors_bacterial,366,357,151,145
Translation_initiation_factors_eukaryotic_and_archaeal,85,72,62,50
Translation_termination_factors_bacterial,657,630,197,195
Transport_of_Iron,476,428,143,128
Transport_of_Manganese,298,286,92,75
Transport_of_Molybdenum,1,0,5,5
Transport_of_Nickel_and_Cobalt,86,75,8,6
Transport_of_Zinc,194,169,48,49
Trehalose_Biosynthesis,221,217,95,94
Trehalose_Uptake_and_Utilization,76,68,16,15
Triacylglycerol_metabolism,18,10,15,10
Tricarballylate_Utilization,99,83,14,10
Tricarboxylate_transport_system,848,806,241,216
Tryptophan_catabolism,145,146,64,62
Tryptophan_synthesis,534,474,247,215
Twin-arginine_translocation_system,415,362,100,85
Two-component_Response_Regulator_of_Virulence_ResDE,5,6,1,2
Two-component_regulatory_systems_in_Campylobacter,2,3,3,3
Two_cell_division_clusters_relating_to_chromosome_partitioning,1207,1172,387,363
Two_partner_secretion_pathway_(TPS),0,2,0,1
"Type_4_conjugative_transfer_system,_IncI1_type",7,8,4,3
Type_III_secretion_system,4,7,1,2
Type_III_secretion_systems,3,2,4,3
Type_I_Restriction-Modification,160,148,112,97
Type_I_protein_secretion_systems,11,11,7,4
Type_I_secretion_system_for_aggregation,31,33,9,12
Type_VI_secretion_systems,37,26,32,31
Type_Vc_secretion_systems,5,5,1,1
UDP-N-acetylmuramate_from_Fructose-6-phosphate_Biosynthesis,655,592,225,193
USS-DB-1,1,1,0,2
USS-DB-6,8,5,4,4
USS-DB-7,22,13,31,28
Ubiquinone_Biosynthesis,474,415,106,98
Ubiquinone_Menaquinone-cytochrome_c_reductase_complexes,811,774,414,399
Uncharacterized_sugar_kinase_cluster_(ygc),4,4,0,0
Universal_GTPases,4142,3825,1689,1574
Universal_stress_protein_family,23,19,12,8
Unknown_carbohydrate_utilization_(_cluster_Ydj_),289,277,91,83
Unknown_carbohydrate_utilization_(_cluster_Yeg_),22,19,9,5
Unknown_oligosaccharide_utilization_Sde_1396,3,5,2,2
Unknown_sugar_utilization_(cluster_yphABCDEFG),3,3,1,1
Unspecified_monosaccharide_transport_cluster,24,29,12,13
Uptake_of_selenate_and_selenite,421,395,83,76
Uracil-DNA_glycosylase,191,188,38,37
Urea_carboxylase_and_Allophanate_hydrolase_cluster,58,55,32,36
Urea_decomposition,604,566,91,78
Urease_subunits,157,140,14,16
Utilization_of_glutathione_as_a_sulphur_source,104,95,26,23
V-Type_ATP_synthase,28,28,45,42
VC0266,20,20,3,2
Valine_degradation,1095,981,368,340
Vibrio_Core_Oligosaccharide_Biosynthesis,200,196,35,38
Vibrio_Polysaccharide_(VPS)_Biosynthesis,31,30,14,14
Vibrio_pathogenicity_island,1,0,0,1
Vir-like_type_4_secretion_system,8,7,5,4
WhiB_and_WhiB-type_regulatory_proteins_,25,21,10,10
Widespread_colonization_island,132,142,58,48
Wyeosine-MimG_Biosynthesis,77,67,26,22
Xanthine_Metabolism_in_Bacteria,1,1,0,0
Xanthosine_utilization_(xap_region),3,3,0,0
Xylose_utilization,408,355,120,92
YaaA,137,109,21,22
YbbK,70,49,36,29
Ycd_cluster_(_putative_2-hydroxyacid_dehydrogenase_),1,1,0,0
YcfH,241,224,59,62
YeiH,5,7,5,4
Yfa_cluster,1,0,0,0
YgfZ,2638,2387,943,847
YgfZ-Iron,398,363,144,138
YggW,530,498,158,130
YgjD_and_YeaZ,70,60,21,13
YjbEFGH_Locus_Involved_in_Exopolysaccharide_Production,4,2,0,0
YjeE,192,167,76,68
YrdC-YciO-Sua5_protein_family,110,100,78,74
ZZ_gjo_need_homes,1755,1677,520,472
Zinc_regulated_enzymes,395,379,109,81
Zinc_resistance,56,61,24,13
beta-glucuronide_utilization,12,14,4,3
cAMP_signaling_in_bacteria,255,226,113,100
carbazol_degradation_cluster,45,27,3,2
coenzyme_M_biosynthesis,100,94,34,27
dTDP-rhamnose_synthesis,742,672,228,222
eukaryotic_rRNA_modification_and_related_functions,92,80,7,7
mcm5s2U_biosynthesis_in_tRNA,4,3,8,8
methanopterin_biosynthesis,1,0,0,0
mnm5U34_biosynthesis_bacteria,1145,1077,393,338
mycolic_acid_synthesis,300,282,94,90
n-Phenylalkanoic_acid_degradation,1810,1684,558,501
p-Aminobenzoyl-Glutamate_Utilization,34,29,9,7
p-Hydroxybenzoate_degradation,51,51,6,5
p-cymene_degradation,2,0,0,0
pH_adaptation_potassium_efflux_system,1,1,6,6
pVir_Plasmid_of_Campylobacter,1092,1068,388,360
polyprenyl_synthesis,87,89,29,24
pyrimidine_conversions,1808,1629,676,586
r1t-like_streptococcal_phages,8511,7954,974,843
rRNA_modification_Archaea,4,7,11,10
rRNA_modification_Bacteria,421,375,119,105
rRNAs,212,176,98,98
riboflavin_to_FAD,641,567,183,160
tRNA-dependent_amino_acid_transfers,2,2,0,0
tRNA-methylthiotransferase_containing_cluster,775,706,228,235
"tRNA_aminoacylation,_Ala",59,42,4,3
"tRNA_aminoacylation,_Arg",574,515,184,184
"tRNA_aminoacylation,_Asp_and_Asn",644,619,253,229
"tRNA_aminoacylation,_Cys",1,1,1,2
"tRNA_aminoacylation,_Glu_and_Gln",696,609,195,181
"tRNA_aminoacylation,_Gly",1103,993,339,307
"tRNA_aminoacylation,_His",541,497,196,180
"tRNA_aminoacylation,_Ile",0,1,2,0
"tRNA_aminoacylation,_Leu",1363,1340,465,427
"tRNA_aminoacylation,_Lys",741,668,282,233
"tRNA_aminoacylation,_Met",737,635,253,233
"tRNA_aminoacylation,_Phe",1442,1316,467,412
"tRNA_aminoacylation,_Pro",666,638,264,243
"tRNA_aminoacylation,_Thr",922,885,391,342
"tRNA_aminoacylation,_Trp",516,481,209,195
"tRNA_aminoacylation,_Tyr",525,521,160,174
"tRNA_aminoacylation,_Val",1218,1105,420,362
tRNA_modification_Archaea,975,900,311,306
tRNA_modification_Bacteria,2431,2249,668,602
tRNA_modification_yeast_cytoplasmic,293,233,71,73
tRNA_modification_yeast_mitochondrial,323,331,135,128
tRNA_processing,297,299,104,94
tRNA_splicing,4,4,3,4
tRNAmodification_position_34,46,37,14,13
tRNAs,0,0,1,1
trimethylamine_N-oxide_(TMAO)_reductase,45,44,9,7
