level1	level2	level3	function	nador_lagoon_1	nador_lagoon_2	oualidia_lagoon_1	oualidia_lagoon_2
Respiration	NULL	Biogenesis_of_cytochrome_c_oxidases	Copper metallochaperone, bacterial analog of Cox17 protein	24	31	11	8
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper_homeostasis	Copper resistance protein D	13	13	10	14
Regulation and Cell signaling	NULL	Orphan_regulatory_proteins	Copper sensory histidine kinase CpxA	1	2	2	1
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper_homeostasis	Copper tolerance protein	15	9	3	2
Nitrogen Metabolism	NULL	Denitrification	Copper-containing nitrite reductase (EC 1.7.2.1)	7	6	7	8
Regulation and Cell signaling	NULL	Orphan_regulatory_proteins	Copper-sensing two-component system response regulator CpxR	3	5	6	4
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium_resistance	Copper-sensing two-component system response regulator CusR	0	0	1	0
Clustering-based subsystems	NULL	CBSS-196620.1.peg.2477	Copper-translocating P-type ATPase (EC 3.6.3.4)	303	270	141	130
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme_and_Siroheme_Biosynthesis	Coproporphyrinogen III oxidase, aerobic (EC 1.3.3.3)	425	395	92	88
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme_and_Siroheme_Biosynthesis	Coproporphyrinogen III oxidase, oxygen-independent (EC 1.3.99.22)	28	23	34	32
Phages, Prophages, Transposable elements, Plasmids	Plasmid related functions	Plasmid-encoded_T-DNA_transfer	Coupling protein VirD4, ATPase required for T-DNA transfer	6	5	4	2
Photosynthesis	Light-harvesting complexes	Phycobilisome	CpeR homolog, phycoerythrin linker-proteins region	15	14	0	0
Amino Acids and Derivatives	NULL	Creatine_and_Creatinine_Degradation	Creatinase (EC 3.5.3.3)	148	144	45	38
Miscellaneous	Plant-Prokaryote DOE project	COG0523	Creatinine amidohydrolase (EC 3.5.2.10)	62	47	7	7
DNA Metabolism	DNA replication	DNA-replication	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)	108	101	33	32
Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Carnitine_Metabolism_in_Microorganisms	Crotonobetaine carnitine-CoA ligase (EC 6.3.2.-)	3	2	1	1
Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Carnitine_Metabolism_in_Microorganisms	Crotonobetainyl-CoA dehydrogenase (EC 1.3.99.-)	2	7	0	0
Carbohydrates	Central carbohydrate metabolism	Ethylmalonyl-CoA_pathway_of_C2_assimilation	Crotonyl-CoA carboxylase/reductase, ethylmalonyl-CoA producing	71	56	8	6
Miscellaneous	Plant-Prokaryote DOE project	COG3380_COG2907	Cryptochrome	171	168	39	36
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper_homeostasis	Cu(I)-responsive transcriptional regulator	17	16	1	3
Membrane Transport	Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	Curli_production	Curli production assembly/transport component CsgG	25	37	16	13
Nitrogen Metabolism	NULL	Cyanate_hydrolysis	Cyanate ABC transporter, ATP-binding protein	6	1	2	2
Nitrogen Metabolism	NULL	Cyanate_hydrolysis	Cyanate ABC transporter, permease protein	4	5	3	2
Nitrogen Metabolism	NULL	Cyanate_hydrolysis	Cyanate ABC transporter, substrate binding protein	10	11	3	4
Nitrogen Metabolism	NULL	Cyanate_hydrolysis	Cyanate hydratase (EC 4.2.1.104)	27	29	1	1
Virulence, Disease and Defense	NULL	Bacterial_cyanide_production_and_tolerance_mechanisms	Cyanide insensitive terminal oxidase, subunit II	1	1	0	0
RNA Metabolism	Transcription	Transcription_factors_cyanobacterial_RpoD-like_sigma_factors	Cyanobacteria-specific RpoD-like sigma factor, type-1	61	59	0	0
RNA Metabolism	Transcription	Transcription_factors_cyanobacterial_RpoD-like_sigma_factors	Cyanobacteria-specific RpoD-like sigma factor, type-12	16	11	0	0
RNA Metabolism	Transcription	Transcription_factors_cyanobacterial_RpoD-like_sigma_factors	Cyanobacteria-specific RpoD-like sigma factor, type-13	20	21	0	0
RNA Metabolism	Transcription	Transcription_factors_cyanobacterial_RpoD-like_sigma_factors	Cyanobacteria-specific RpoD-like sigma factor, type-14	23	13	0	0
RNA Metabolism	Transcription	Transcription_factors_cyanobacterial_RpoD-like_sigma_factors	Cyanobacteria-specific RpoD-like sigma factor, type-15	1	0	0	0
RNA Metabolism	Transcription	Transcription_factors_cyanobacterial_RpoD-like_sigma_factors	Cyanobacteria-specific RpoD-like sigma factor, type-2	1	1	0	0
RNA Metabolism	Transcription	Transcription_factors_cyanobacterial_RpoD-like_sigma_factors	Cyanobacteria-specific RpoD-like sigma factor, type-4	0	1	0	0
RNA Metabolism	Transcription	Transcription_factors_cyanobacterial_RpoD-like_sigma_factors	Cyanobacteria-specific RpoD-like sigma factor, type-6	54	40	0	0
RNA Metabolism	Transcription	Transcription_factors_cyanobacterial_RpoD-like_sigma_factors	Cyanobacteria-specific RpoD-like sigma factor, type-7	9	4	0	0
Stress Response	NULL	Bacterial_hemoglobins	Cyanoglobin	0	0	1	0
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Cyanophycin_Metabolism	Cyanophycin synthase (EC 6.3.2.29)(EC 6.3.2.30)	17	16	13	16
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Cyanophycin_Metabolism	Cyanophycin synthase II	1	1	2	2
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Cyanophycin_Metabolism	Cyanophycinase (EC 3.4.15.6)	1	2	3	3
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Cyanophycin_Metabolism	Cyanophycinase 2 (EC 3.4.15.6)	1	0	0	0
Regulation and Cell signaling	NULL	cAMP_signaling_in_bacteria	Cyclic AMP receptor protein	8	7	5	4
Stress Response	Osmotic stress	Synthesis_of_osmoregulated_periplasmic_glucans	Cyclic beta-1,2-glucan synthase (EC 2.4.1.-)	1	0	4	4
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Phenylalanine_and_Tyrosine_Branches_from_Chorismate	Cyclohexadienyl dehydratase (EC 4.2.1.51)(EC 4.2.1.91)	75	80	18	17
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate_Synthesis	Cyclohexadienyl dehydrogenase (EC 1.3.1.12)(EC 1.3.1.43)	152	126	44	42
Carbohydrates	Polysaccharides	Alpha-Amylase_locus_in_Streptocococcus	Cyclomaltodextrin glucanotransferase (EC 2.4.1.19)	14	11	1	2
Cell Wall and Capsule	Cell wall of Mycobacteria	mycolic_acid_synthesis	Cyclopropane-fatty-acyl-phospholipid synthase 1, CmaA1 (EC 2.1.1.79)	1	0	0	0
Clustering-based subsystems	NULL	CBSS-291331.3.peg.3674	Cyclopropane-fatty-acyl-phospholipid synthase-like protein, clusters with FIG005069	16	12	8	11
Regulation and Cell signaling	NULL	DNA-binding_regulatory_proteins,_strays	Cys regulon transcriptional activator CysB	22	27	10	13
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Cystathionine beta-lyase (EC 4.4.1.8)	141	126	34	31
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Cysteine_Biosynthesis	Cystathionine beta-synthase (EC 4.2.1.22)	195	162	37	36
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Cysteine_Biosynthesis	Cystathionine gamma-lyase (EC 4.4.1.1)	236	240	44	45
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Cystathionine gamma-synthase (EC 2.5.1.48)	93	88	22	15
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	YgfZ	Cystathionine gamma-synthase (EC 2.5.1.48) fungal type	21	16	0	0
RNA Metabolism	RNA processing and modification	tRNA_modification_Bacteria	Cysteine desulfurase (EC 2.8.1.7)	919	866	209	197
RNA Metabolism	RNA processing and modification	tRNA_modification_Archaea	Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	52	39	13	18
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	Cysteine desulfurase (EC 2.8.1.7), NifS subfamily	0	1	1	1
RNA Metabolism	RNA processing and modification	tRNA_modification_Archaea	Cysteine desulfurase (EC 2.8.1.7), SufS subfamily	62	60	13	11
RNA Metabolism	RNA processing and modification	mnm5U34_biosynthesis_bacteria	Cysteine desulfurase CsdA-CsdE (EC 2.8.1.7), main protein CsdA	11	8	2	1
Miscellaneous	Plant-Prokaryote DOE project	Iron-sulfur_cluster_assembly	Cysteine desulfurase CsdA-CsdE, sulfur acceptor protein CsdE	2	1	0	0
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Cysteine_Biosynthesis	Cysteine synthase (EC 2.5.1.47)	345	338	116	93
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Cysteine_Biosynthesis	Cysteine synthase A (EC 2.5.1.47)	2	1	1	1
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Cysteine_Biosynthesis	Cysteine synthase B (EC 2.5.1.47)	70	73	27	31
Miscellaneous	Plant-Prokaryote DOE project	Conserved_gene_cluster_possibly_involved_in_RNA_metabolism	Cysteinyl-tRNA synthetase (EC 6.1.1.16)	593	524	169	159
Protein Metabolism	Protein biosynthesis	tRNA_aminoacylation,_Cys	Cysteinyl-tRNA synthetase (EC 6.1.1.16), mitochondrial	1	1	1	2
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Adaptation_to_d-cysteine	Cystine ABC transporter, ATP-binding protein	2	1	1	2
Sulfur Metabolism	Organic sulfur assimilation	L-Cystine_Uptake_and_Metabolism	Cystine ABC transporter, periplasmic cystine-binding protein FliY	0	1	0	0
Nucleosides and Nucleotides	Pyrimidines	pyrimidine_conversions	Cytidine deaminase (EC 3.5.4.5)	55	39	15	16
Nucleosides and Nucleotides	Pyrimidines	pyrimidine_conversions	Cytidylate kinase (EC 2.7.4.14)	149	129	42	41
Respiration	NULL	Biogenesis_of_c-type_cytochromes	Cytochrome C1 heme lyase CCHL (EC 4.4.1.17)	1	1	0	0
Respiration	NULL	Soluble_cytochromes_and_functionally_related_electron_carriers	Cytochrome C550 (Soluble cytochrome C)	2	2	2	2
Virulence, Disease and Defense	NULL	C_jejuni_colonization_of_chick_caeca	Cytochrome C551 peroxidase (EC 1.11.1.5)	2	3	3	3
Respiration	NULL	Soluble_cytochromes_and_functionally_related_electron_carriers	Cytochrome C553 (soluble cytochrome f)	27	26	2	2
Respiration	Electron accepting reactions	Terminal_cytochrome_O_ubiquinol_oxidase	Cytochrome O ubiquinol oxidase subunit I (EC 1.10.3.-)	1	0	14	12
Respiration	Electron accepting reactions	Terminal_cytochrome_oxidases	Cytochrome O ubiquinol oxidase subunit II (EC 1.10.3.-)	0	0	2	2
Respiration	Electron accepting reactions	Terminal_cytochrome_oxidases	Cytochrome O ubiquinol oxidase subunit III (EC 1.10.3.-)	1	1	2	1
Photosynthesis	Electron transport and photophosphorylation	Photosystem_II	Cytochrome b559 alpha chain (PsbE)	23	22	4	6
Photosynthesis	Electron transport and photophosphorylation	Photosystem_II	Cytochrome b559 beta chain (PsbF)	13	16	3	4
Respiration	NULL	Cytochrome_B6-F_complex	Cytochrome b6-f complex iron-sulfur subunit PetC1 (Rieske iron sulfur protein EC 1.10.99.1)	19	13	1	2
Respiration	NULL	Cytochrome_B6-F_complex	Cytochrome b6-f complex subunit IV (PetD)	40	35	20	19
Respiration	NULL	Cytochrome_B6-F_complex	Cytochrome b6-f complex subunit V (PetG)	5	8	2	2
Respiration	NULL	Cytochrome_B6-F_complex	Cytochrome b6-f complex subunit VII (PetM)	7	4	0	0
Respiration	NULL	Cytochrome_B6-F_complex	Cytochrome b6-f complex subunit VIII (PetN)	4	1	0	0
Miscellaneous	Plant-Prokaryote DOE project	At1g54520	Cytochrome b6-f complex subunit, apocytochrome f	53	54	48	37
Respiration	NULL	Cytochrome_B6-F_complex	Cytochrome b6-f complex subunit, cytochrome b6	45	47	35	29
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper_homeostasis	Cytochrome c heme lyase subunit CcmF	241	224	79	70
Respiration	NULL	Biogenesis_of_c-type_cytochromes	Cytochrome c heme lyase subunit CcmH	7	6	1	3
Respiration	NULL	Biogenesis_of_c-type_cytochromes	Cytochrome c heme lyase subunit CcmL	43	32	15	14
Nitrogen Metabolism	NULL	Nitrate_and_nitrite_ammonification	Cytochrome c nitrite reductase, small subunit NrfH	0	1	0	0
Respiration	Electron accepting reactions	Terminal_cytochrome_C_oxidases	Cytochrome c oxidase (B(O/a)3-type) chain I (EC 1.9.3.1)	6	5	1	2
Respiration	Electron accepting reactions	Terminal_cytochrome_C_oxidases	Cytochrome c oxidase (B(O/a)3-type) chain II (EC 1.9.3.1)	0	1	0	0
Respiration	Electron accepting reactions	Terminal_cytochrome_C_oxidases	Cytochrome c oxidase polypeptide I (EC 1.9.3.1)	867	863	316	306
Clustering-based subsystems	NULL	CBSS-316057.3.peg.563	Cytochrome c oxidase polypeptide II (EC 1.9.3.1)	398	350	160	138
Respiration	Electron accepting reactions	Terminal_cytochrome_C_oxidases	Cytochrome c oxidase polypeptide III (EC 1.9.3.1)	310	280	178	179
Respiration	Electron accepting reactions	Terminal_cytochrome_C_oxidases	Cytochrome c oxidase subunit CcoN (EC 1.9.3.1)	40	40	57	56
Respiration	Electron accepting reactions	Terminal_cytochrome_C_oxidases	Cytochrome c oxidase subunit CcoO (EC 1.9.3.1)	17	22	31	26
Respiration	Electron accepting reactions	Terminal_cytochrome_C_oxidases	Cytochrome c oxidase subunit CcoP (EC 1.9.3.1)	9	6	27	25
Respiration	Electron accepting reactions	Terminal_cytochrome_C_oxidases	Cytochrome c oxidase subunit CcoQ (EC 1.9.3.1)	2	2	1	1
Protein Metabolism	Protein folding	Periplasmic_disulfide_interchange	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	88	67	40	28
Respiration	NULL	Biogenesis_of_c-type_cytochromes	Cytochrome c-type biogenesis protein CcmC, putative heme lyase for CcmE	164	141	50	45
Respiration	NULL	Biogenesis_of_c-type_cytochromes	Cytochrome c-type biogenesis protein CcmD, interacts with CcmCE	9	2	3	3
Respiration	NULL	Biogenesis_of_c-type_cytochromes	Cytochrome c-type biogenesis protein CcmE, heme chaperone	87	85	22	27
Respiration	NULL	Biogenesis_of_c-type_cytochromes	Cytochrome c-type biogenesis protein CcmG/DsbE, thiol:disulfide oxidoreductase	75	77	10	9
Respiration	NULL	Biogenesis_of_c-type_cytochromes	Cytochrome c-type biogenesis protein Ccs1/ResB	67	61	52	47
Respiration	NULL	Biogenesis_of_c-type_cytochromes	Cytochrome c-type biogenesis protein CcsA/ResC	66	66	69	58
Respiration	NULL	Biogenesis_of_c-type_cytochromes	Cytochrome c-type biogenesis protein DsbD, protein-disulfide reductase (EC 1.8.1.8)	142	136	40	33
Respiration	NULL	Biogenesis_of_c-type_cytochromes	Cytochrome c-type biogenesis protein ResA	2	1	1	1
Nitrogen Metabolism	NULL	Nitrate_and_nitrite_ammonification	Cytochrome c-type heme lyase subunit nrfE, nitrite reductase complex assembly	3	9	2	2
Nitrogen Metabolism	NULL	Nitrate_and_nitrite_ammonification	Cytochrome c-type protein NapC	5	6	1	1
Respiration	NULL	Soluble_cytochromes_and_functionally_related_electron_carriers	Cytochrome c2	28	23	2	2
Respiration	NULL	Soluble_cytochromes_and_functionally_related_electron_carriers	Cytochrome c4	55	44	17	11
Stress Response	Oxidative stress	Protection_from_Reactive_Oxygen_Species	Cytochrome c551 peroxidase (EC 1.11.1.5)	7	6	6	4
Respiration	NULL	Soluble_cytochromes_and_functionally_related_electron_carriers	Cytochrome c551/c552	9	8	3	2
Respiration	NULL	Soluble_cytochromes_and_functionally_related_electron_carriers	Cytochrome c552	0	0	2	2
Respiration	NULL	Soluble_cytochromes_and_functionally_related_electron_carriers	Cytochrome c552 precursor (EC 1.7.2.2)	2	1	3	3
Respiration	NULL	Soluble_cytochromes_and_functionally_related_electron_carriers	Cytochrome c553	1	1	3	0
Nitrogen Metabolism	NULL	Denitrification	Cytochrome cd1 nitrite reductase (EC:1.7.2.1)	0	0	3	3
Respiration	Electron accepting reactions	Terminal_cytochrome_oxidases	Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-)	24	21	36	36
Clustering-based subsystems	NULL	Bacterial_RNA-metabolizing_Zn-dependent_hydrolases	Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)	8	12	21	23
Clustering-based subsystems	NULL	CBSS-316057.3.peg.563	Cytochrome oxidase biogenesis protein Cox11-CtaG, copper delivery to Cox1	134	120	36	39
Respiration	NULL	Biogenesis_of_cytochrome_c_oxidases	Cytochrome oxidase biogenesis protein Sco1/SenC/PrrC, putative copper metallochaperone	127	115	16	17
Respiration	NULL	Biogenesis_of_cytochrome_c_oxidases	Cytochrome oxidase biogenesis protein Surf1, facilitates heme A insertion	31	24	6	2
Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization	Cytoplasmic alpha-amylase (EC 3.2.1.1)	4	4	1	1
Clustering-based subsystems	NULL	Bacterial_Cell_Division	Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	350	323	142	145
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper_homeostasis:_copper_tolerance	Cytoplasmic copper homeostasis protein cutC	9	12	0	1
Phages, Prophages, Transposable elements, Plasmids	Pathogenicity islands	Vibrio_pathogenicity_island	Cytoplasmic, CoA-independent, aldehyde dehydrogenase (EC 1.2.1.3)	0	0	0	1
Clustering-based subsystems	Translation	CBSS-326442.4.peg.1852	Cytosine deaminase (EC 3.5.4.1)	42	40	4	3
Nucleosides and Nucleotides	Purines	Purine_Utilization	Cytosine/purine/uracil/thiamine/allantoin permease family protein	83	82	21	20
Protein Metabolism	Protein degradation	Aminopeptidases_(EC_3.4.11.-)	Cytosol aminopeptidase PepA (EC 3.4.11.1)	445	409	153	150
Miscellaneous	Plant-Prokaryote DOE project	Scaffold_proteins_for_[4Fe-4S]_cluster_assembly_(MRP_family)	Cytosolic Fe-S cluster assembling factor NBP35	5	6	3	3
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Capsular_heptose_biosynthesis	D,D-heptose 7-phosphate kinase	13	13	3	3
Miscellaneous	Plant-Prokaryote DOE project	COG0277	D-2-hydroxyglutarate dehydrogenase	100	81	30	27
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	952	891	333	318
Respiration	Electron donating reactions	Respiratory_dehydrogenases_1	D-Lactate dehydrogenase (EC 1.1.2.5)	50	44	5	2
Carbohydrates	Central carbohydrate metabolism	Glycolate,_glyoxylate_interconversions	D-Lactate dehydrogenase, cytochrome c-dependent (EC 1.1.2.4)	65	63	15	16
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Anaerobic_Oxidative_Degradation_of_L-Ornithine	D-Ornithine 4,5-aminomutase E subunit (EC 5.4.3.5)	2	1	1	1
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Anaerobic_Oxidative_Degradation_of_L-Ornithine	D-Ornithine 4,5-aminomutase S subunit (EC 5.4.3.5)	2	1	0	0
Clustering-based subsystems	NULL	Nucleoside_Catabolism_cluster	D-Ribose 1,5-phosphomutase (EC 5.4.2.7)	10	6	6	5
Carbohydrates	Central carbohydrate metabolism	Pyruvate_Alanine_Serine_Interconversions	D-alanine aminotransferase (EC 2.6.1.21)	54	57	43	39
Cell Wall and Capsule	NULL	Peptidoglycan_Biosynthesis	D-alanine--D-alanine ligase (EC 6.3.2.4)	186	175	66	67
Cell Wall and Capsule	NULL	Peptidoglycan_biosynthesis--gjo	D-alanine--D-alanine ligase A (EC 6.3.2.4)	1	1	1	3
Cell Wall and Capsule	NULL	Peptidoglycan_biosynthesis--gjo	D-alanine--D-alanine ligase B (EC 6.3.2.4)	31	23	7	9
Cell Wall and Capsule	Gram-Positive cell wall components	D-Alanyl_Lipoteichoic_Acid_Biosynthesis	D-alanyl transfer protein DltB	0	0	1	1
Protein Metabolism	Protein degradation	Metallocarboxypeptidases_(EC_3.4.17.-)	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	327	330	108	89
Carbohydrates	Monosaccharides	D-allose_utilization	D-allose ABC transporter, ATPase component	0	3	0	2
Carbohydrates	Monosaccharides	D-allose_utilization	D-allose-6-phosphate isomerase (EC 5.3.1.-)	0	1	0	0
Respiration	Electron donating reactions	Respiratory_dehydrogenases_1	D-amino acid dehydrogenase (EC 1.4.99.1) family protein in hydroxy-L-proline catabolic cluster	11	12	3	2
Respiration	Electron donating reactions	Respiratory_dehydrogenases_1	D-amino acid dehydrogenase small subunit (EC 1.4.99.1)	245	238	50	46
Carbohydrates	One-carbon Metabolism	Formaldehyde_assimilation:_Ribulose_monophosphate_pathway	D-arabino-3-hexulose 6-phosphate formaldehyde lyase	8	6	1	1
Fatty Acids, Lipids, and Isoprenoids	NULL	Polyhydroxybutyrate_metabolism	D-beta-hydroxybutyrate dehydrogenase (EC 1.1.1.30)	118	117	43	41
Fatty Acids, Lipids, and Isoprenoids	NULL	Polyhydroxybutyrate_metabolism	D-beta-hydroxybutyrate permease	7	8	1	2
Miscellaneous	Plant-Prokaryote DOE project	Experimental-COG2515	D-cysteine desulfhydrase (EC 4.4.1.15)	0	1	1	0
Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxin_(Vitamin_B6)_Biosynthesis	D-erythrose-4-phosphate dehydrogenase (EC 1.2.1.72)	30	21	9	6
Carbohydrates	Monosaccharides	D-galactonate_catabolism	D-galactonate transporter	2	3	2	3
Carbohydrates	Organic acids	Glycerate_metabolism	D-glycerate 2-kinase (EC 2.7.1.-)	47	41	9	9
Carbohydrates	Organic acids	Glycerate_metabolism	D-glycerate 3-kinase (EC 2.7.1.31), plant type	86	79	12	9
Carbohydrates	Monosaccharides	D-galactarate,_D-glucarate_and_D-glycerate_catabolism	D-glycerate transporter (predicted)	15	10	2	0
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Capsular_heptose_biosynthesis	D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase (EC 3.1.1.-)	13	15	2	2
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Capsular_heptose_biosynthesis	D-glycero-D-manno-heptose 1-phosphate guanosyltransferase	31	33	11	7
Cell Wall and Capsule	Gram-Negative cell wall components	LOS_core_oligosaccharide_biosynthesis	D-glycero-beta-D-manno-heptose 7-phosphate kinase	73	66	33	32
Nucleosides and Nucleotides	NULL	Hydantoin_metabolism	D-hydantoinase (EC 3.5.2.2)	16	13	0	0
Carbohydrates	Fermentation	Fermentations:_Lactate	D-lactate dehydrogenase (EC 1.1.1.28)	5	7	9	12
Clustering-based subsystems	Choline bitartrate degradation, putative	CBSS-344610.3.peg.2335	D-malic enzyme (EC 1.1.1.83)	82	71	19	33
Carbohydrates	NULL	Sugar_utilization_in_Thermotogales	D-mannonate oxidoreductase (EC 1.1.1.57)	31	24	15	14
Carbohydrates	Monosaccharides	Mannose_Metabolism	D-mannose isomerase (EC 5.3.1.7)	7	7	3	2
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	D-serine/D-alanine/glycine transporter	0	0	1	0
Carbohydrates	Monosaccharides	D-Tagatose_and_Galactitol_Utilization	D-tagatose 3-epimerase (EC 5.3.1.-)	9	8	3	1
Clustering-based subsystems	D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	CBSS-342610.3.peg.283	D-tyrosyl-tRNA(Tyr) deacylase	72	76	23	20
Carbohydrates	Monosaccharides	Xylose_utilization	D-xylose 1-dehydrogenase (EC 1.1.1.175)	7	8	0	0
Carbohydrates	Monosaccharides	Xylose_utilization	D-xylose proton-symporter XylE	77	65	15	14
Carbohydrates	Monosaccharides	Xylose_utilization	D-xylose transport ATP-binding protein XylG	58	49	16	16
Carbohydrates	Monosaccharides	Xylose_utilization	D-xylose-specific 1-epimerase (mutarotase)	1	0	3	2
Carbohydrates	Central carbohydrate metabolism	Dihydroxyacetone_kinases	DHA-specific EI component	2	2	1	2
Carbohydrates	Central carbohydrate metabolism	Dihydroxyacetone_kinases	DHA-specific phosphocarrier protein HPr	1	2	0	0
Sulfur Metabolism	Organic sulfur assimilation	DMSP_breakdown	DMSP breakdown hydrolase protein	66	69	23	24
Sulfur Metabolism	Organic sulfur assimilation	DMSP_breakdown	DMSP demethylase EC 2.1.2.10	388	367	77	61
Sulfur Metabolism	Organic sulfur assimilation	DMSP_breakdown	DMSP demthylase transcriptional regulator	17	15	3	3
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage_DNA_synthesis	DNA adenine methyltransferase, phage-associated	2	1	7	6
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Resistance_to_fluoroquinolones	DNA gyrase subunit A (EC 5.99.1.3)	1280	1193	360	327
Clustering-based subsystems	NULL	DNA_gyrase_subunits	DNA gyrase subunit B (EC 5.99.1.3)	987	901	364	307
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage_replication	DNA helicase (EC 3.6.1.-)	205	206	64	60
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage_replication	DNA helicase (EC 3.6.1.-), phage-associated	33	35	1	3
DNA Metabolism	DNA repair	DNA_repair,_bacterial_UvrD_and_related_helicases	DNA helicase IV	6	13	3	2
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage_replication	DNA helicase loader, phage-associated	1	2	1	1
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage_replication	DNA helicase, phage-associated	407	389	107	98
Clustering-based subsystems	NULL	CBSS-393121.3.peg.1913	DNA ligase (EC 6.5.1.2)	610	561	189	175
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage_replication	DNA ligase, phage-associated	64	60	56	51
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage_replication	DNA maturase, phage-associated	439	452	34	28
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage_DNA_synthesis	DNA methyl transferase, phage-associated	0	1	1	0
DNA Metabolism	DNA repair	DNA_repair,_bacterial_MutL-MutS_system	DNA mismatch repair protein MutL	317	278	98	88
DNA Metabolism	DNA repair	DNA_repair,_bacterial_MutL-MutS_system	DNA mismatch repair protein MutS	585	507	171	153
Clustering-based subsystems	Shiga toxin cluster	CBSS-194948.1.peg.143	DNA packaging	25	23	13	11
DNA Metabolism	DNA repair	DNA_Repair_Base_Excision	DNA polymerase I (EC 2.7.7.7)	1213	1115	388	357
Clustering-based subsystems	NULL	EC49-61	DNA polymerase II (EC 2.7.7.7)	46	44	9	10
Clustering-based subsystems	NULL	CBSS-350688.3.peg.1509	DNA polymerase III alpha subunit (EC 2.7.7.7)	1748	1620	627	553
Clustering-based subsystems	NULL	DNA_replication_cluster_1	DNA polymerase III beta subunit (EC 2.7.7.7)	435	400	115	120
DNA Metabolism	DNA replication	DNA-replication	DNA polymerase III chi subunit (EC 2.7.7.7)	5	2	4	3
DNA Metabolism	DNA replication	DNA-replication	DNA polymerase III delta prime subunit (EC 2.7.7.7)	112	100	28	29
DNA Metabolism	DNA replication	DNA-replication	DNA polymerase III delta subunit (EC 2.7.7.7)	60	55	21	22
Clustering-based subsystems	DNA polymerase III epsilon cluster	CBSS-342610.3.peg.1536	DNA polymerase III epsilon subunit (EC 2.7.7.7)	222	227	72	71
DNA Metabolism	DNA replication	DNA-replication	DNA polymerase III subunits gamma and tau (EC 2.7.7.7)	495	466	152	134
