,gene function,organism,oualidia_2_counts,phylum,class,order,family
1875,DPS family protein,Kordia algicida OT-1,1,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
1876,DSBH domain-containing protein,Idiomarina loihiensis L2TR,1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae
1877,DbpA RNA binding domain family,Cellvibrio japonicus Ueda107,1,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae
1878,DeaD/DeaH box helicase,Propionibacterium acnes KPA171202,1,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae
1879,DedA family,alpha proteobacterium HIMB114,6,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae
1880,DedA family protein,Roseobacter sp. SK209-2-6,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1881,DegT/DnrJ/EryC1/StrS aminotransferase,Arcobacter nitrofigilis DSM 7299,2,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae
1882,DegT/DnrJ/EryC1/StrS aminotransferase,Candidatus Desulforudis audaxviator MP104C,2,Firmicutes,Clostridia,Clostridiales,Peptococcaceae
1883,DegT/DnrJ/EryC1/StrS aminotransferase,Chitinophaga pinensis DSM 2588,1,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae
1884,DegT/DnrJ/EryC1/StrS aminotransferase,Natrialba magadii ATCC 43099,8,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae
1885,DegT/DnrJ/EryC1/StrS aminotransferase,Ruegeria sp. TM1040,7,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1886,DegT/DnrJ/EryC1/StrS aminotransferase,Shewanella baltica OS195,1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae
1887,DegT/DnrJ/EryC1/StrS aminotransferase family protein,Bordetella parapertussis 12822,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae
1888,DegT/DnrJ/EryC1/StrS aminotransferase family protein,Cyanothece sp. ATCC 51142,3,Cyanobacteria,,Oscillatoriales,Cyanothecaceae
1889,DegT/DnrJ/EryC1/StrS aminotransferase family protein,Sulfurihydrogenibium yellowstonense SS-5,1,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae
1890,DegV family protein,Clostridium botulinum E1 str. ''BoNT E Beluga'',1,Firmicutes,Clostridia,Clostridiales,Clostridiaceae
1891,Delta 15 desaturase,Oscillatoria sp. PCC 6506,1,Cyanobacteria,,Oscillatoriales,Microcoleaceae
1892,DeoX,Clostridium botulinum E1 str. ''BoNT E Beluga'',1,Firmicutes,Clostridia,Clostridiales,Clostridiaceae
1893,Deoxyribodipyrimidine photo-lyase,Hirschia baltica ATCC 49814,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae
1894,Deoxyribodipyrimidine photolyase-related protein,Salinibacter ruber M8,1,Bacteroidetes,,,Rhodothermaceae
1895,DiHydroOrotate Dehydrogenas family member (dhod-1),Caenorhabditis elegans,1,Nematoda,Chromadorea,Rhabditida,Rhabditidae
1896,Dienelactone hydrolase,Congregibacter litoralis KT71,4,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae
1897,Dihydrodipicolinate synthetase,Robiginitalea biformata HTCC2501,3,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
1898,Dihydrofolate reductase,Denitrovibrio acetiphilus DSM 12809,1,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae
1899,Dihydrofolate reductase,Pedobacter sp. BAL39,3,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae
1900,Dihydrolipoamide dehydrogenase (component of pyruvate and 2-oxoglutarate dehydrogenases complexes) oxidoreductase protein,Ralstonia solanacearum PSI07,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
1901,Dihydrolipoyllysine-residue succinyltransferase,Thioalkalivibrio sp. HL-EbGR7,1,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae
1902,Dihydroorotase,Methylacidiphilum infernorum V4,1,Verrucomicrobia,Methylacidiphilae,Methylacidiphilales,Methylacidiphilaceae
1903,Dihydropteroate synthase,Mycobacterium sp. Spyr1,2,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae
1904,Dihydroxy-acid dehydratase,Pedobacter heparinus DSM 2366,1,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae
1905,Dipeptidyl aminopeptidase/acylaminoacyl-peptidase-like protein,Victivallis vadensis ATCC BAA-548,1,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae
1906,Dna-J like membrane chaperone protein,Alteromonas macleodii ''Deep ecotype'',1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
1907,DnaB domain protein helicase domain protein,Akkermansia muciniphila ATCC BAA-835,1,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae
1908,DnaB helicase,Anabaena variabilis ATCC 29413,4,Cyanobacteria,,Nostocales,Nostocaceae
1909,DnaB replicative helicase,Prochlorococcus marinus str. MIT 9303,2,Cyanobacteria,,Synechococcales,Prochloraceae
1910,DnaB replicative helicase,Prochlorococcus marinus str. NATL1A,1,Cyanobacteria,,Synechococcales,Prochloraceae
1911,DnaJ chaperone,Babesia bovis T2Bo,2,Apicomplexa,Aconoidasida,,Babesiidae
1912,DnaJ domain protein,Capnocytophaga ochracea F0287,1,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
1913,DnaJ protein,marine actinobacterium PHSC20C1,4,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae
1914,DnaJ subfamily A member 2,Xenopus (Silurana) tropicalis,3,Chordata,Amphibia,Anura,Pipidae
1915,DnaJ subfamily C protein,Phytophthora infestans T30-4,1,,Oomycetes,Peronosporales,
1916,DnaJ-class molecular chaperone with C-terminal Zn finger domain,Methylacidiphilum infernorum V4,3,Verrucomicrobia,Methylacidiphilae,Methylacidiphilales,Methylacidiphilaceae
1917,DnaK suppressor protein,Caulobacter crescentus CB15,1,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae
1918,DsrL protein,Allochromatium vinosum DSM 180,3,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae
1919,Dynein heavy chain,Danio rerio,1,Chordata,Actinopteri,Cypriniformes,Cyprinidae
1920,Dynein heavy chain,Giardia lamblia ATCC 50803,2,,,,Hexamitidae
1921,Dynein heavy chain family protein,Tetrahymena thermophila,3,,Oligohymenophorea,Hymenostomatida,Tetrahymenidae
1922,Dyp-type peroxidase family,Micromonospora aurantiaca ATCC 27029,1,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae
1923,E3 ubiquitin ligase Rbx1,Micromonas sp. RCC299,2,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae
1924,EAL domain protein,Alteromonas macleodii ''Deep ecotype'',1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
1925,EAL domain protein,Roseovarius sp. 217,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1926,ECF family RNA polymerase sigma-70 factor,Maribacter sp. HTCC2170,1,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
1927,ECF subfamily RNA polymerase sigma-24 factor,Opitutus terrae PB90-1,1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae
1928,EF hand family protein,Tetrahymena thermophila,1,,Oligohymenophorea,Hymenostomatida,Tetrahymenidae
1929,EF hand-containing protein,Thalassiosira pseudonana CCMP1335,4,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae
1930,EH-domain containing 1,Xenopus (Silurana) tropicalis,2,Chordata,Amphibia,Anura,Pipidae
1931,EIF4A1 (EUKARYOTIC TRANSLATION INITIATION FACTOR 4A1); ATP-dependent helicase/ translation initiation factor,Arabidopsis thaliana,1,Streptophyta,,Brassicales,Brassicaceae
1932,ERL2b AtERECTA-like receptor S/T protein kinase protein,Physcomitrella patens subsp. patens,1,Streptophyta,Bryopsida,Funariales,Funariaceae
1933,Electron transfer flavoprotei,Congregibacter litoralis KT71,4,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae
1934,Electron transfer flavoprotei,marine gamma proteobacterium HTCC2080,4,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae
1935,Elongation FacTor family member (eft-1),Caenorhabditis elegans,1,Nematoda,Chromadorea,Rhabditida,Rhabditidae
1936,Elongation factor G 1,Erwinia billingiae Eb661,1,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae
1937,Elongation factor P (EF-P),Candidatus Pelagibacter ubique HTCC1002,24,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae
1938,Endonuclease/exonuclease/phosphatase,Nitrosomonas sp. AL212,1,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae
1939,Endopeptidase Clp,Coraliomargarita akajimensis DSM 45221,1,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae
1940,Endoribonuclease L-PSP,Flavobacteriales bacterium ALC-1,1,Bacteroidetes,Flavobacteriia,Flavobacteriales,
1941,Enolase,candidate division TM7 single-cell isolate TM7a,1,,,,
1942,Enoyl-CoA hydratase,Dokdonia donghaensis MED134,4,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
1943,Enoyl-CoA hydratase/isomerase,Burkholderia sp. CCGE1002,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
1944,Enoyl-CoA hydratase/isomerase,Methylosinus trichosporium OB3b,2,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae
1945,Enoyl-CoA hydratase/isomerase,Psychroflexus torquis ATCC 700755,2,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
1946,EpiA,Mycobacterium kansasii ATCC 12478,1,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae
1947,Erf,Enterobacteria phage P22,9,,,Caudovirales,Podoviridae
1948,Erf family protein,Escherichia coli MS 21-1,3,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
1949,ErfK/YbiS/YcfS/YnhG,Thiomicrospira crunogena XCL-2,1,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae
1950,ErfK/YbiS/YcfS/YnhG family protein,Beggiatoa sp. PS,1,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae
1951,ErfK/YbiS/YcfS/YnhG family protein,Chthoniobacter flavus Ellin428,1,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae
1952,ErfK/YbiS/YcfS/YnhG family protein,Ruegeria pomeroyi DSS-3,2,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1953,Essentia,Saccharomyces cerevisiae S288c,1,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae
1954,Excinuclease ABC subunit A,Sulfurimonas autotrophica DSM 16294,1,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae
1955,Excinuclease ABC subunit C,Methylacidiphilum infernorum V4,2,Verrucomicrobia,Methylacidiphilae,Methylacidiphilales,Methylacidiphilaceae
1956,Exodeoxyribonuclease III,Congregibacter litoralis KT71,2,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae
1957,Exonuclease RNase T and DNA polymerase III,Acidithiobacillus ferrooxidans ATCC 53993,1,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae
1958,Exonuclease RNase T and DNA polymerase III,Ferrimonas balearica DSM 9799,1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Ferrimonadaceae
1959,Exoribonuclease R,marine gamma proteobacterium HTCC2080,2,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae
1960,Extracellular ligand-binding receptor,Oceanicola granulosus HTCC2516,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1961,F-box and leucine-rich repeat protein 11-like,Saccoglossus kowalevskii,1,Hemichordata,Enteropneusta,,Harrimaniidae
1962,F0F1 ATP synthase subunit A,Parvibaculum lavamentivorans DS-1,1,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae
1963,F0F1 ATP synthase subunit A,Pseudomonas entomophila L48,1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
1964,F0F1 ATP synthase subunit A,Pseudomonas syringae pv. tomato K40,1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
1965,F0F1 ATP synthase subunit C,Parvibaculum lavamentivorans DS-1,10,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae
1966,F0F1 ATP synthase subunit alpha,Bradyrhizobium sp. ORS278,2,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae
1967,F0F1 ATP synthase subunit alpha,Brucella suis 1330,4,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae
1968,F0F1 ATP synthase subunit alpha,Burkholderia ambifaria MC40-6,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
1969,F0F1 ATP synthase subunit alpha,Chromobacterium violaceum ATCC 12472,1,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae
1970,F0F1 ATP synthase subunit alpha,Neisseria meningitidis MC58,1,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae
1971,F0F1 ATP synthase subunit alpha,Nostoc sp. PCC 7120,4,Cyanobacteria,,Nostocales,Nostocaceae
1972,F0F1 ATP synthase subunit alpha,Roseobacter denitrificans OCh 114,3,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1973,F0F1 ATP synthase subunit alpha,Sphingomonas wittichii RW1,3,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae
1974,F0F1 ATP synthase subunit alpha,Streptomyces lividans TK24,1,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae
1975,F0F1 ATP synthase subunit alpha,Vibrio caribbenthicus ATCC BAA-2122,1,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae
1976,F0F1 ATP synthase subunit beta,Bacteroides thetaiotaomicron VPI-5482,1,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae
1977,F0F1 ATP synthase subunit beta,Bordetella pertussis Tohama I,4,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae
1978,F0F1 ATP synthase subunit beta,Enterobacter sp. 638,1,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
1979,F0F1 ATP synthase subunit beta,Eubacterium eligens ATCC 27750,3,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae
1980,F0F1 ATP synthase subunit beta,Lactobacillus reuteri CF48-3A,1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae
1981,F0F1 ATP synthase subunit beta,Micrococcus luteus NCTC 2665,4,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae
1982,F0F1 ATP synthase subunit beta,Polynucleobacter necessarius subsp. necessarius STIR1,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
1983,F0F1 ATP synthase subunit beta,Rhodobacter sphaeroides 2.4.1,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1984,F0F1 ATP synthase subunit beta,Rhodobacterales bacterium HTCC2255,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,
1985,F0F1 ATP synthase subunit beta,Rhodospirillum rubrum ATCC 11170,1,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
1986,F0F1 ATP synthase subunit beta,Trichodesmium erythraeum IMS101,3,Cyanobacteria,,Oscillatoriales,Microcoleaceae
1987,F0F1 ATP synthase subunit beta,Vibrio vulnificus YJ016,1,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae
1988,F0F1 ATP synthase subunit delta,Brucella melitensis bv. 1 str. Rev.1,1,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae
1989,F0F1 ATP synthase subunit epsilon,Thiobacillus denitrificans ATCC 25259,1,Proteobacteria,Betaproteobacteria,Hydrogenophilales,Hydrogenophilaceae
1990,F0F1 ATP synthase subunit gamma,Hahella chejuensis KCTC 2396,1,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae
1991,F0F1 ATP synthase subunit gamma,Pelobacter propionicus DSM 2379,1,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae
1992,FAD dependent oxidoreductas,Roseobacter litoralis Och 149,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1993,FAD dependent oxidoreductase,Agrobacterium tumefaciens str. C58,1,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae
1994,FAD dependent oxidoreductase,Coraliomargarita akajimensis DSM 45221,1,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae
1995,FAD dependent oxidoreductase,Jannaschia sp. CCS1,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1996,FAD dependent oxidoreductase,Rhizobium leguminosarum bv. trifolii WSM2304,2,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae
1997,FAD dependent oxidoreductase,Rhodobacteraceae bacterium KLH11,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1998,FAD dependent oxidoreductase,Rubrobacter xylanophilus DSM 9941,1,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae
1999,FAD dependent oxidoreductase,Thermobispora bispora DSM 43833,1,Actinobacteria,Actinobacteria,,
2000,FAD dependent oxidoreductase,Trichodesmium erythraeum IMS101,1,Cyanobacteria,,Oscillatoriales,Microcoleaceae
2001,FAD linked oxidas,Pseudomonas syringae pv. syringae B728a,2,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
2002,FAD linked oxidase domain protein,Acidobacterium sp. MP5ACTX8,1,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae
2003,FAD linked oxidase domain protein,Chthoniobacter flavus Ellin428,2,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae
2004,FAD linked oxidase domain-containing protein,Burkholderia ambifaria AMMD,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
2005,FAD linked oxidase domain-containing protein,Leptothrix cholodnii SP-6,1,Proteobacteria,Betaproteobacteria,Burkholderiales,
2006,FAD linked oxidase domain-containing protein,Polynucleobacter necessarius subsp. asymbioticus QLW-P1DMWA-1,3,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
2007,FAD linked oxidase domain-containing protein,Pseudomonas mendocina ymp,1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
2008,FAD linked oxidase domain-containing protein,Streptomyces hygroscopicus ATCC 53653,1,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae
2009,FAD-dependent oxidoreductase domain-containing protein 2,Mus musculus,1,Chordata,Mammalia,Rodentia,Muridae
2010,FAD-dependent pyridine nucleotide-disulfide oxidoreductase,Thermobispora bispora DSM 43833,1,Actinobacteria,Actinobacteria,,
2011,FAD-dependent pyridine nucleotide-disulphide oxidoreductase,Acidimicrobium ferrooxidans DSM 10331,1,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae
2012,FAD-dependent pyridine nucleotide-disulphide oxidoreductase,Burkholderia cenocepacia MC0-3,3,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
2013,FAD-dependent pyridine nucleotide-disulphide oxidoreductase,Caldicellulosiruptor saccharolyticus DSM 8903,1,Firmicutes,Clostridia,Thermoanaerobacterales,
2014,FAD-dependent pyridine nucleotide-disulphide oxidoreductase,Candidatus Accumulibacter phosphatis clade IIA str. UW-1,2,Proteobacteria,Betaproteobacteria,,
2015,FAD-dependent pyridine nucleotide-disulphide oxidoreductase,Flavobacterium johnsoniae UW101,2,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
2016,FAD-dependent pyridine nucleotide-disulphide oxidoreductase,Limnobacter sp. MED105,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
2017,FAD-dependent pyridine nucleotide-disulphide oxidoreductase,Methylovorus sp. SIP3-4,2,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae
2018,FAD-dependent thymidylate synthase,Thermus thermophilus HB8,1,,Deinococci,Thermales,Thermaceae
2019,FAT domain-containing protein / phosphatidylinositol 3- and 4-kinase family protein,Arabidopsis thaliana,2,Streptophyta,,Brassicales,Brassicaceae
2020,FBT family transporter: folate/pteridine,Ostreococcus lucimarinus CCE9901,1,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae
2021,FG-GAP repeat protein,Spirosoma linguale DSM 74,7,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae
2022,FG-GAP repeat-containing protein,Flavobacterium johnsoniae UW101,2,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
2023,FHA domain protei,Plasmodium falciparum 3D7,2,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae
2024,FHA domain protei,Roseovarius sp. 217,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
2025,FHA domain-containing protein,Frankia sp. EAN1pec,1,Actinobacteria,Actinobacteria,Frankiales,Frankiaceae
2026,FHA domain-containing protein,Shewanella loihica PV-4,1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae
2027,FHA domain-containing protein,Thermobispora bispora DSM 43833,1,Actinobacteria,Actinobacteria,,
2028,FKBP-type peptidyl-prolyl cis-trans isomerase,Cyanothece sp. CCY0110,1,Cyanobacteria,,Oscillatoriales,Cyanothecaceae
2029,FKBP-type peptidyl-prolyl cis-trans isomerase,Polaribacter sp. MED152,2,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
2030,FMN reductas,Shewanella benthica KT99,1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae
2031,FMN-binding domain protein,Coraliomargarita akajimensis DSM 45221,3,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae
2032,FU (FUSED); protein serine/threonine kinase,Arabidopsis thaliana,4,Streptophyta,,Brassicales,Brassicaceae
2033,FadB,Desulfobacterium autotrophicum HRM2,1,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae
2034,Fanconi anemia group M protein homolog,Mus musculus,1,Chordata,Mammalia,Rodentia,Muridae
2035,Fatty acid synthesis plsX protein,Nitrosococcus oceani ATCC 19707,1,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae
2036,Fdx7,Desulfobacterium autotrophicum HRM2,1,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae
2037,Fe-S cluster assembly protein,Azospirillum sp. B510,2,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
2038,Fe-S metabolism associated family protein,Oceanicola batsensis HTCC2597,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
2039,Fe-S oxidoreductase (ferredoxin),Flavobacteria bacterium BBFL7,2,Bacteroidetes,Flavobacteriia,,
2040,Fe-S protein assembly co-chaperone HscB,beta proteobacterium KB13,2,Proteobacteria,Betaproteobacteria,Methylophilales,
2041,Fe-S type hydro-lyase tartrate/fumarate alpha region:Fe-S type hydro-lyase tartrate/fumarate beta region,gamma proteobacterium NOR51-B,1,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
2042,Fe-S-cluster-containing hydrogenase,Leptospira borgpetersenii serovar Hardjo-bovis L550,1,Spirochaetes,Spirochaetia,,Leptospiraceae
2043,Fe-S-cluster-containing hydrogenase components 1-like protein,Opitutus terrae PB90-1,3,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae
2044,Fe2+ transport system protein B,Flavobacteria bacterium BBFL7,1,Bacteroidetes,Flavobacteriia,,
2045,Fe2+/Zn2+ uptake regulation protein-like protein,Opitutaceae bacterium TAV2,1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae
2046,FeS assembly ATPase SufC,Marinobacter aquaeolei VT8,1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
2047,FeS assembly protein,gamma proteobacterium HdN1,1,Proteobacteria,Gammaproteobacteria,,
2048,FeS assembly protein IscX,Thauera sp. MZ1T,1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae
2049,FeS assembly protein SufB,Akkermansia muciniphila ATCC BAA-835,6,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae
2050,FeS assembly protein SufB,Arthrospira maxima CS-328,1,Cyanobacteria,,Oscillatoriales,Microcoleaceae
2051,FeS assembly protein SufB,Methylobacter tundripaludum SV96,1,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae
2052,FeS assembly protein SufB,Opitutaceae bacterium TAV2,1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae
2053,FeS cluster assembly scaffold IscU,Neptuniibacter caesariensis,1,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae
2054,FeS cluster assembly scaffold IscU,Polynucleobacter necessarius subsp. asymbioticus QLW-P1DMWA-1,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
2055,FecCD-family membrane transport protein,Streptomyces coelicolor A3(2),5,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae
2056,Fic family protein,Prevotella ruminicola 23,1,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae
2057,Fimbrial protein,Vibrio mimicus VM573,1,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae
2058,Fis family transcriptional regulator,Desulfovibrio desulfuricans subsp. desulfuricans str. G20,1,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae
2059,Fis family transcriptional regulator,Saccharophagus degradans 2-40,1,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae
2060,Flagellar biosynthetic protein FlhB,Rhodobacter sphaeroides KD131,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
2061,Flagellar protein FliR,Erythrobacter sp. NAP1,1,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae
2062,FldA protein,alpha proteobacterium HIMB114,3,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae
2063,FlgK flagellar hook-associated protein,Rhodobacteraceae bacterium HTCC2083,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
2064,FliI/YscN family ATPase,Shewanella sediminis HAW-EB3,1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae
2065,Flp pilus assembly protein,Vibrio harveyi 1DA3,1,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae
2066,Fmu (Sun) domain-containing protein,Maricaulis maris MCS10,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae
2067,FolC bifunctional protein,Paracoccus denitrificans PD1222,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
