,gene function,organism,nador_2_counts,phylum,class,order,family
1351,Auxin Efflux Carrier,Rhodobacter sp. SW2,3.37,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1352,B12 dependent methionine synthase,Ostreococcus lucimarinus CCE9901,1.61,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae
1353,B12-dependent methionine synthase,Aliivibrio salmonicida LFI1238,0.0,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae
1354,B12-dependent methionine synthase,Enterobacter sp. 638,3.24,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
1355,B12-dependent methionine synthase,Methylobacillus flagellatus KT,9.78,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae
1356,B12-dependent methionine synthase,Paracoccus denitrificans PD1222,2.46,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1357,B12-dependent methionine synthase,Rhodopirellula baltica SH 1,8.02,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae
1358,B12-dependent methionine synthase,Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91,0.0,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
1359,B12-dependent methionine synthase,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,3.39,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
1360,B12-dependent methionine synthase,Shewanella loihica PV-4,3.96,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae
1361,B12-dependent methionine synthase,Shewanella pealeana ATCC 700345,0.0,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae
1362,B12-dependent methionine synthase,Thiobacillus denitrificans ATCC 25259,1.68,Proteobacteria,Betaproteobacteria,Hydrogenophilales,Hydrogenophilaceae
1363,BCCT family transporter,Pseudomonas putida KT2440,1.68,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
1364,BCCT transporter,Shewanella pealeana ATCC 700345,0.0,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae
1365,BLUF protein,marine gamma proteobacterium HTCC2080,2.37,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae
1366,BNR repeat-containing glycosyl hydrolase,Candidatus Solibacter usitatus Ellin6076,0.0,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae
1367,BNR repeat-containing protein,Oscillochloris trichoides DG-6,0.0,Chloroflexi,Chloroflexia,Chloroflexales,Oscillochloridaceae
1368,BNR/Asp-box repeat domain protein,gamma proteobacterium NOR5-3,8.22,Chordata,Mammalia,Primates,Hominidae
1369,Bacterial Peptidase A24 N-terminal domain family,Methylophaga thiooxidans DMS010,0.0,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae
1370,Bacterial extracellular solute-binding protei,Labrenzia alexandrii DFL-11,1.61,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1371,Bacteriophage head-to-tail connecting protein,Desulfovibrio aespoeensis Aspo-2,7.45,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae
1372,BatB protein,Prevotella copri DSM 18205,0.0,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae
1373,Beta-N-acetylhexosaminidase,Methylobacterium extorquens PA1,1.71,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae
1374,Beta-galactosidase,Mucilaginibacter paludis DSM 18603,0.0,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae
1375,Beta-glucosidase,Nocardioides sp. JS614,0.0,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae
1376,Beta-glucosidase,Rhodopseudomonas palustris BisA53,0.0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae
1377,Beta-ketoacyl synthas,Verrucomicrobiae bacterium DG1235,2.51,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,
1378,Beta-ketothiolase,Burkholderia glumae BGR1,0.0,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
1379,Beta-lactamase,Parvularcula bermudensis HTCC2503,0.0,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae
1380,Beta-lactamase-like,Ralstonia eutropha JMP134,0.0,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
1381,Binding-protein-dependent transport systems inner membrane component,Rhodobacter sphaeroides KD131,4.11,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1382,Binding-protein-dependent transport systems inner membrane component,Rhodobacterales bacterium HTCC2255,1.65,Proteobacteria,Alphaproteobacteria,Rhodobacterales,
1383,Biopolymer transport protein ExbD/TolR,Congregibacter litoralis KT71,8.1,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae
1384,Biotin/lipoate A/B protein ligase family protein,Synechococcus sp. WH 7805,3.22,Cyanobacteria,,Synechococcales,Synechococcaceae
1385,BolA domain UV induced protein Uvi31,Schizosaccharomyces pombe 972h-,0.0,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomycetaceae
1386,BolA family protein,Shewanella woodyi ATCC 51908,0.0,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae
1387,Bvg accessory factor,Candidatus Pelagibacter ubique HTCC1062,29.91,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae
1388,C-5 cytosine-specific DNA methylase,Yersinia pseudotuberculosis PB1/+,0.0,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae
1389,C-5 cytosine-specific family DNA methylase,Prevotella ruminicola 23,0.0,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae
1390,C-phycoerythrin class I alpha chain,Synechococcus sp. WH 8102,3.33,Cyanobacteria,,Synechococcales,Synechococcaceae
1391,C-phycoerythrin class II beta chain,Synechococcus sp. WH 8102,11.54,Cyanobacteria,,Synechococcales,Synechococcaceae
1392,C-phycoerythrin class II gamma chai,Synechococcus sp. WH 8102,6.51,Cyanobacteria,,Synechococcales,Synechococcaceae
1393,C10L,Monkeypox virus Zaire-96-I-16,1.61,,,,Poxviridae
1394,C1p1p GTpase. Pre-mRNA cleavaage complex protein,Cryptosporidium parvum Iowa II,0.0,Apicomplexa,Coccidia,Eucoccidiorida,Cryptosporidiidae
1395,C32 tRNA thiolase,Ruegeria pomeroyi DSS-3,3.12,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1396,C32 tRNA thiolase,Saccharophagus degradans 2-40,4.14,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae
1397,C4-dicarboxylate transport sensor protein dctB,Oceanibulbus indolifex HEL-45,4.18,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1398,C4-dicarboxylate transporter substrate-binding protein,Deferribacter desulfuricans SSM1,2.46,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae
1399,C4-dicarboxylate-binding periplasmic protei,Roseobacter denitrificans OCh 114,10.68,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1400,CAAX prenyl protease,Croceibacter atlanticus HTCC2559,2.52,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
1401,CADF precursor,Helicobacter canadensis MIT 98-5491,1.7,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae
1402,CAIB/BAIF family enzyme,Talaromyces stipitatus ATCC 10500,0.0,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae
1403,CAIB/BAIF family protein,Ruegeria pomeroyi DSS-3,2.43,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1404,CBL-interacting serine/threonine-protein kinas,Phytophthora infestans T30-4,0.0,,Oomycetes,Peronosporales,
1405,CBS domain containing membrane protein,Haliangium ochraceum DSM 14365,3.29,Proteobacteria,Deltaproteobacteria,Myxococcales,Kofleriaceae
1406,CBS domain containing protein,Aminobacterium colombiense DSM 12261,0.0,Synergistetes,Synergistia,Synergistales,Synergistaceae
1407,CBS domain protein,Prevotella buccae D17,0.0,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae
1408,CBS domain protein,Roseobacter sp. SK209-2-6,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1409,CBS domain protein,Silicibacter lacuscaerulensis ITI-1157,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1410,CBS domain-containing protein,Parvibaculum lavamentivorans DS-1,1.62,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae
1411,CCA-adding enzyme,Achromobacter piechaudii ATCC 43553,0.0,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae
1412,CDC48 like AAA ATPase ortholog,Cryptosporidium parvum Iowa II,3.38,Apicomplexa,Coccidia,Eucoccidiorida,Cryptosporidiidae
1413,CDP-6-deoxy-delta-,Thiobacillus denitrificans ATCC 25259,0.0,Proteobacteria,Betaproteobacteria,Hydrogenophilales,Hydrogenophilaceae
1414,CDP-alcohol phosphatidyltransferase,Hyphomicrobium denitrificans ATCC 51888,0.0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae
1415,CDP-diacylglycerol--glycerol-3-phosphate 3- phosphatidyltransferase,Listeria welshimeri serovar 6b str. SLCC5334,0.0,Firmicutes,Bacilli,Bacillales,Listeriaceae
1416,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,Fusobacterium periodonticum ATCC 33693,0.0,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae
1417,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,Ruegeria sp. R11,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1418,CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase,Xanthomonas campestris pv. campestris str. 8004,2.46,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae
1419,CDP-diacylglycerol/glycerol-3-phosphate 3-phosphatidyltransferase,Candidatus Liberibacter asiaticus str. psy62,0.0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae
1420,CDP-glucose,Chlorobaculum parvum NCIB 8327,0.0,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae
1421,CG11859,Drosophila melanogaster,0.0,Arthropoda,Insecta,Diptera,Drosophilidae
1422,CG151,Drosophila melanogaster,1.65,Arthropoda,Insecta,Diptera,Drosophilidae
1423,CG1847-P,Ostreococcus tauri,0.0,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae
1424,CG6178-like,Saccoglossus kowalevskii,0.0,Hemichordata,Enteropneusta,,Harrimaniidae
1425,CHC2 zinc finger:Toprim domain,Synechococcus sp. RS9917,1.7,Cyanobacteria,,Synechococcales,Synechococcaceae
1426,CHR group protein,Dictyostelium discoideum AX4,0.0,,,Dictyosteliida,
1427,CMP-N-acetlyneuraminic acid synthetase,Maribacter sp. HTCC2170,2.52,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
1428,CMP-N-acetylneuraminic acid synthetase,Pelobacter carbinolicus DSM 2380,0.0,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae
1429,CMP/dCMP deaminas,Thermosipho melanesiensis BI429,0.0,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae
1430,CO-dehydrogenase small chain,Oligotropha carboxidovorans OM5,2.39,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae
1431,COG0090: Ribosomal protein L2,Actinobacillus pleuropneumoniae serovar 1 str. 4074,0.0,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
1432,COG0480: Translation elongation factors (GTPases),Magnetospirillum magnetotacticum MS-1,1.63,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
1433,COG0483: Archaeal fructose-,Magnetospirillum magnetotacticum MS-1,0.0,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
1434,COG0536: Predicted GTPase,Magnetospirillum magnetotacticum MS-1,0.0,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
1435,COG0606: Predicted ATPase with chaperone activity,Magnetospirillum magnetotacticum MS-1,0.0,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
1436,COG0741: Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM/invasin domains),Magnetospirillum magnetotacticum MS-1,0.0,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
1437,COG0750: Predicted membrane-associated Zn-dependent proteases 1,Actinobacillus pleuropneumoniae serovar 1 str. 4074,0.0,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
1438,COG0794: Predicted sugar phosphate isomerase involved in capsule formation,Magnetospirillum magnetotacticum MS-1,0.0,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
1439,COG0863: DNA modification methylase,Magnetospirillum magnetotacticum MS-1,0.0,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
1440,COG1197: Transcription-repair coupling factor (superfamily II helicase),Magnetospirillum magnetotacticum MS-1,1.54,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
1441,COG1329: Transcriptional regulator,Magnetospirillum magnetotacticum MS-1,1.51,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
1442,COG1529: Aerobic-type carbon monoxide dehydrogenas,Magnetospirillum magnetotacticum MS-1,0.0,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
1443,COG2062: Phosphohistidine phosphatase SixA,Magnetospirillum magnetotacticum MS-1,0.0,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
1444,COG2124: Cytochrome P450,Magnetospirillum magnetotacticum MS-1,0.0,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
1445,COG2908: Uncharacterized protein conserved in bacteria,Magnetospirillum magnetotacticum MS-1,3.32,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
1446,COG3158: K+ transporter,Magnetospirillum magnetotacticum MS-1,0.0,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
1447,COG3845: ABC-type uncharacterized transport system,Magnetospirillum magnetotacticum MS-1,1.62,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
1448,COG4775: Outer membrane protein/protective antigen OMA87,Magnetospirillum magnetotacticum MS-1,2.44,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
1449,CP12,Prochlorococcus phage P-SSM4,47.22,,,Caudovirales,Myoviridae
1450,CP84,Pantoea ananatis LMG 20103,0.0,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae
1451,CRE-CYN-2 protein,Caenorhabditis remanei,0.0,Nematoda,Chromadorea,Rhabditida,Rhabditidae
1452,CRP family transcriptional regulator,Gramella forsetii KT0803,3.31,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
1453,CSY3 (citrate synthase 3); citrate (SI)-synthase,Arabidopsis thaliana,0.0,Streptophyta,,Brassicales,Brassicaceae
1454,CTP synthase,Aeromicrobium marinum DSM 15272,0.0,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae
1455,CTP synthase,Caldicellulosiruptor obsidiansis OB47,0.0,Firmicutes,Clostridia,Thermoanaerobacterales,
1456,CTP synthase,Populus trichocarpa,0.0,Streptophyta,,Malpighiales,Salicaceae
1457,CTP synthase,Silicibacter sp. TrichCH4B,7.37,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1458,CTP synthase,Thermosinus carboxydivorans Nor1,0.0,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae
1459,CTP synthase,Verticillium albo-atrum VaMs.102,0.0,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae
1460,CTP synthetase,Bacillus subtilis subsp. subtilis str. NCIB 3610,3.37,Firmicutes,Bacilli,Bacillales,Bacillaceae
1461,CTP synthetase,Bordetella pertussis Tohama I,1.56,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae
1462,CTP synthetase,Coxiella burnetii RSA 493,0.0,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae
1463,CTP synthetase,Cupriavidus metallidurans CH34,0.0,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
1464,CTP synthetase,Dictyoglomus turgidum DSM 6724,0.0,Dictyoglomi,Dictyoglomia,Dictyoglomales,Dictyoglomaceae
1465,CTP synthetase,Jannaschia sp. CCS1,3.97,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1466,CTP synthetase,Leeuwenhoekiella blandensis MED217,7.43,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
1467,CTP synthetase,Phaeobacter gallaeciensis BS107,2.63,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1468,CTP synthetase,Pseudomonas fluorescens Pf0-1,4.09,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
1469,CTP synthetase,Psychroflexus torquis ATCC 700755,9.09,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
1470,CTP synthetase,Rhizobium etli CIAT 652,0.0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae
1471,CTP synthetase,Shewanella piezotolerans WP3,1.58,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae
1472,CTP synthetase,Staphylococcus haemolyticus JCSC1435,0.0,Firmicutes,Bacilli,Bacillales,Staphylococcaceae
1473,CTP synthetase,Sulfolobus acidocaldarius DSM 639,0.0,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae
1474,CTP synthetase,Synechococcus sp. JA-3-3Ab,0.0,Cyanobacteria,,Synechococcales,Synechococcaceae
1475,CYP97A3 (CYTOCHROME P450-TYPE MONOOXYGENASE 97A3); carotene beta-ring hydroxylase/ oxygen binding,Arabidopsis thaliana,0.0,Streptophyta,,Brassicales,Brassicaceae
1476,CYclophyliN family member (cyn-7),Caenorhabditis elegans,0.0,Nematoda,Chromadorea,Rhabditida,Rhabditidae
1477,CaiB/BaiF family protein,Ruegeria pomeroyi DSS-3,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1478,Capsular polysaccharide biosynthesis protein I,gamma proteobacterium HdN1,0.0,Proteobacteria,Gammaproteobacteria,,
1479,CarB2,Desulfobacterium autotrophicum HRM2,0.0,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae
1480,Carbamoyl-phosphate synthase L chain ATP-binding,Methylocella silvestris BL2,2.51,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae
1481,Carbamoyltransferase,Desulfarculus baarsii DSM 2075,1.69,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae
1482,Carbohydrate binding family 6,Methanosphaerula palustris E1-9c,0.0,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae
1483,Carbohydrate kinas,Rhodobacter sphaeroides KD131,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1484,Carbonic anhydrase,Croceibacter atlanticus HTCC2559,1.51,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
1485,Carboxymethylenebutenolidase,Rhizobium leguminosarum bv. trifolii WSM2304,3.25,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae
1486,Carboxymuconolactone decarboxylase,Mesorhizobium opportunistum WSM2075,3.33,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae
1487,Cation efflux protein,Congregibacter litoralis KT71,0.0,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae
1488,Cation efflux system protein czcA,Congregibacter litoralis KT71,20.58,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae
1489,Cation transport ATPase,Pelagibaca bermudensis HTCC2601,14.83,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1490,Cbb3-type cytochrome oxidase component,Ruegeria sp. TM1040,1.6,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1491,CbbX,Odontella sinensis,12.28,Bacillariophyta,Mediophyceae,Eupodiscales,Eupodiscaceae
1492,Cell cycle protei,Neptuniibacter caesariensis,0.0,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae
1493,Cell division inhibitor,Psychroflexus torquis ATCC 700755,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
1494,Cell division protein ftsK,Flavobacteriaceae bacterium 3519-10,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
1495,CemA family protein,Cyanobium sp. PCC 7001,4.11,Cyanobacteria,,Synechococcales,Synechococcaceae
1496,Chain,Candidatus Cloacamonas acidaminovorans,0.0,,,,
1497,Chaperone DnaK,Rhodobacteraceae bacterium HTCC2150,5.04,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1498,Chaperonin Containing TCP-1 family member (cct-4),Caenorhabditis elegans,1.65,Nematoda,Chromadorea,Rhabditida,Rhabditidae
1499,CheA signal transduction histidine kinases,Ruegeria sp. TM1040,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1500,CheY-like receiver protein,Hahella chejuensis KCTC 2396,0.0,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae
1501,Chloride channel protein EriC,Polaribacter sp. MED152,4.01,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
1502,Chorismate binding-like protein,Pirellula staleyi DSM 6068,0.0,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae
1503,Chromate transporter,Labrenzia aggregata IAM 12614,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1504,CitB domain-containing protein,Rhodopseudomonas palustris BisA53,0.0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae
1505,Citrate (pro-3S)-lyase,Hirschia baltica ATCC 49814,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae
1506,Citrate transporter,Flavobacteria bacterium MS024-2A,12.28,Bacteroidetes,Flavobacteriia,,
1507,Citrate transporter,Geodermatophilus obscurus DSM 43160,0.0,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae
1508,Citryl-CoA lyase,alpha proteobacterium BAL199,0.0,Proteobacteria,Alphaproteobacteria,,
1509,Clp protease,Prevotella veroralis F0319,1.76,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae
1510,ClpA,Desulfobacterium autotrophicum HRM2,0.0,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae
1511,ClpC ATPase,Thermomicrobium roseum DSM 5159,5.02,Chloroflexi,Thermomicrobia,Thermomicrobiales,Thermomicrobiaceae
1512,Cmk,Pantoea ananatis LMG 20103,0.0,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae
1513,Co-chaperonin GroES (HSP10),Marinobacter sp. ELB17,0.0,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
1514,CoA-binding domain protein,Silicibacter sp. TrichCH4B,1.6,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1515,CoA-binding protein,Rhodobacteraceae bacterium KLH11,2.5,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1516,CoB--CoM heterodisulfide reductase,Thioalkalivibrio sp. HL-EbGR7,0.0,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae
1517,CobQ/CobB/MinD/ParA nucleotide binding domai,Labrenzia alexandrii DFL-11,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1518,CobW/P47K family protein,Ruegeria pomeroyi DSS-3,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1519,Coenzyme F420-dependent N5 N10-methylene tetrahydromethanopterin reductase-like protein,Thermobaculum terrenum ATCC BAA-798,1.63,,,,
1520,Cold shock protein,marine gamma proteobacterium HTCC2080,1.59,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae
1521,ComEC/Rec2-related protein,Synechococcus sp. WH 5701,1.7,Cyanobacteria,,Synechococcales,Synechococcaceae
1522,Conserved hypothetical protei,Salinibacter ruber M8,0.0,Bacteroidetes,,,Rhodothermaceae
1523,CopG protein,Campylobacter fetus subsp. fetus 82-40,0.0,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae
1524,Coproporphyrinogen III oxidase,Yersinia ruckeri ATCC 29473,0.0,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae
1525,CpeS-like protein,Prochlorococcus marinus str. NATL2A,0.0,Cyanobacteria,,Synechococcales,Prochloraceae
1526,CpeY protein,Synechococcus sp. CC9311,1.61,Cyanobacteria,,Synechococcales,Synechococcaceae
1527,Crp family regulatory proteins,Prochlorococcus marinus str. MIT 9313,3.22,Cyanobacteria,,Synechococcales,Prochloraceae
1528,Crp family transcriptional regulator,Robiginitalea biformata HTCC2501,3.43,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
1529,CsaA protein,Psychroflexus torquis ATCC 700755,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
1530,CvpA family protein,beta proteobacterium KB13,1.64,Proteobacteria,Betaproteobacteria,Methylophilales,
1531,Cys/Met metabolism PLP-dependent enzyme family,Microscilla marina ATCC 23134,0.0,Bacteroidetes,Cytophagia,Cytophagales,Microscillaceae
1532,Cys/Met metabolism lyase (PLP-dependent),Croceibacter atlanticus HTCC2559,1.73,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
1533,Cystathionine gamma-synthase (CGS) (O-succinylhomoserine (thiol)-lyase),Escherichia coli IAI39,0.0,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
1534,Cysteinyl-tRNA synthetase,gamma proteobacterium HdN1,3.29,Proteobacteria,Gammaproteobacteria,,
1535,Cytidine/deoxycytidylate deaminas,delta proteobacterium MLMS-1,1.64,Proteobacteria,Deltaproteobacteria,,
1536,Cytochrome b/b6 domain protein,Arthrobacter chlorophenolicus A6,2.47,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae
1537,Cytochrome c assembly protein,unidentified eubacterium SCB49,2.43,,,,
1538,Cytochrome c maturation protei,Roseovarius sp. 217,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1539,Cytochrome c oxidas,Croceibacter atlanticus HTCC2559,8.04,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
1540,Cytochrome c oxidas,Sagittula stellata E-37,3.36,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
1541,Cytochrome c oxidase assembly protein CtaG/Cox11,Congregibacter litoralis KT71,9.97,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae
