gene function,organism,counts,nador_1_counts
NADH-quinone oxidoreductase subunit h,Silicibacter sp. TrichCH4B,9,7.48
NADH-ubiquinone oxidoreductase,Methylophilales bacterium HTCC2181,2,1.72
NADH-ubiquinone oxidoreductase,Psychroflexus torquis ATCC 700755,2,1.52
NADH-ubiquinone oxidoreductase D subunit,Oxalobacter formigenes HOxBLS,1,0.0
NADH-ubiquinone oxidoreductase chain L,Flavobacteriaceae bacterium 3519-10,3,2.37
NADH-ubiquinone/plastoquinone oxidoreductas,Candidatus Poribacteria sp. WGA-A3,1,0.0
NADH-ubiquinone/plastoquinone oxidoreductase chain 3,Chthoniobacter flavus Ellin428,1,0.0
NADH:flavin oxidoreductase/NADH oxidase,Hirschia baltica ATCC 49814,1,0.0
NADH:flavin oxidoreductase/NADH oxidase,Lutiella nitroferrum 2002,1,0.0
NADH:flavin oxidoreductase/NADH oxidase,Magnetococcus sp. MC-1,1,0.0
NADH:flavin oxidoreductase/NADH oxidase,Metallosphaera sedula DSM 5348,1,0.0
NADH:ubiquinone oxidoreductas,Bacteroides sp. 1_1_14,1,0.0
NADH:ubiquinone oxidoreductas,Capnocytophaga gingivalis ATCC 33624,2,1.71
NADH:ubiquinone oxidoreductas,Marivirga tractuosa DSM 4126,1,0.0
NADP-dependent fatty aldehyde dehydrogenase,alpha proteobacterium HIMB114,2,1.61
NADP-dependent glyceraldehyde-3-phosphate dehydrogenase,Zunongwangia profunda SM-A87,18,14.72
NADPH--sulfite reductase flavoprotein alpha-component,Ketogulonicigenium vulgare Y25,1,0.0
NADPH-dependent FMN reductase,Synechococcus sp. JA-3-3Ab,1,0.0
NADPH-dependent glutamate synthase beta chain and related oxidoreductases,Ralstonia solanacearum UW551,1,0.0
NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase,Vibrio sp. Ex25,2,1.62
NADPH-glutathione reductase,Ruegeria sp. TM1040,13,10.83
NADPH:quinone reductase and related Zn-dependent oxidoreductase,Limnobacter sp. MED105,2,1.59
NADPH:quinone reductase and related Zn-dependent oxidoreductase,Roseovarius sp. TM1035,2,1.56
NADPH:quinone reductase related Zn-dependent oxidoreductase,Lactobacillus rhamnosus HN001,1,0.0
NDP-hexose 23-dehydratase,Desulfovibrio salexigens DSM 2638,2,1.59
NDUFA12 family NADH ubiquinone oxidoreductase subunit,Rhodobacter capsulatus SB 1003,3,2.5
NH(3)-dependent NAD(+) synthetase,Thermosediminibacter oceani DSM 16646,1,0.0
NHL repeat-containing protein,Candidatus Solibacter usitatus Ellin6076,2,1.65
NLP/P60 protein,Enterobacter cloacae SCF1,3,2.39
NUDIX hydrolase,Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica),7,5.6
NUDIX hydrolase,Ruegeria sp. TM1040,4,3.14
NUDIX hydrolase,marine gamma proteobacterium HTCC2143,2,1.66
Na(+)-translocating NADH-quinone reductase subunit A,Chromohalobacter salexigens DSM 3043,2,1.7
Na(+)-translocating NADH-quinone reductase subunit A,Halomonas elongata DSM 2581,1,0.0
Na(+)-translocating NADH-quinone reductase subunit A,Moritella sp. PE36,1,0.0
Na(+)-translocating NADH-quinone reductase subunit B,Pelagibaca bermudensis HTCC2601,3,2.47
Na(+)-translocating NADH-quinone reductase subunit B,Pseudomonas aeruginosa PAb1,4,3.44
Na(+)-translocating NADH-quinone reductase subunit C,Flavobacteriales bacterium ALC-1,2,1.65
Na(+)-translocating NADH-quinone reductase subunit E,Marinobacter aquaeolei VT8,3,2.42
Na(+)-translocating NADH-quinone reductase subunit E,Reinekea blandensis MED297,1,0.0
Na(+)-translocating NADH-quinone reductase subunit E,Roseobacter sp. SK209-2-6,1,0.0
Na(+)-translocating NADH-quinone reductase subunit F,Azotobacter vinelandii DJ,1,0.0
Na(+)-translocating NADH-quinone reductase subunit F,Congregibacter litoralis KT71,5,4.01
Na(+)-translocating NADH-quinone reductase subunit F,Flavobacteria bacterium BAL38,3,2.28
Na(+)-translocating NADH-quinone reductase subunit F,Psychrobacter arcticus 273-4,6,4.93
Na(+)-translocating NADH-ubiquinone reductase subunit B,Neisseria lactamica 020-06,1,0.0
Na+-dependent phosphate transporter,Bacteroides sp. 4_3_47FAA,2,1.62
Na+-linked D-alanine glycine permease,Bacteroides sp. 2_1_33B,1,0.0
Na+/H+ antiporte,Vibrio sp. Ex25,1,0.0
Na+/H+ antiporter,Shewanella oneidensis MR-1,1,0.0
Na+/H+ antiporter,Sorangium cellulosum ''So ce 56'',1,0.0
Na+/H+ antiporter NhaA,gamma proteobacterium HdN1,1,0.0
Na+/H+ antiporter NhaC,Congregibacter litoralis KT71,23,18.73
Na+/H+ antiporter NhaC,Ruegeria sp. TM1040,1,0.0
Na+/H+ antiporter NhaC,Shewanella piezotolerans WP3,1,0.0
Na+/H+ antiporter family protein,Geobacter sulfurreducens PCA,1,0.0
Na+/H+ antiporter protein,Bordetella avium 197N,3,2.38
Na+/Pi-cotransporte,Roseobacter denitrificans OCh 114,1,0.0
Na+/Pi-cotransporter,Magnetococcus sp. MC-1,1,0.0
Na+/alanine symporter,Synechococcus sp. WH 7805,1,0.0
Na+/solute symporter,Chlorobium phaeobacteroides BS1,7,5.56
Na+/solute symporter,Methylobacillus flagellatus KT,27,22.11
Na/Pi-cotransporter family protein,Labrenzia aggregata IAM 12614,1,0.0
Negative regulator of genetic competence,Bacillus thuringiensis serovar huazhongensis BGSC 4BD1,1,0.0
Nicotinate phosphoribosyltransferase,Loktanella vestfoldensis SKA53,1,0.0
NifS protein,Synechocystis sp. PCC 6803,1,0.0
NifU domain-containing protein,Desulfococcus oleovorans Hxd3,1,0.0
NifU protein,Brucella melitensis bv. 1 str. Rev.1,1,0.0
NikQ protein,Mycobacterium smegmatis str. MC2 155,1,0.0
NinF,Escherichia coli O127:H6 str. E2348/69,1,0.0
Nitrilase/cyanide hydratase and apolipoprotein N-acyltransferase,Pseudomonas fluorescens Pf0-1,1,0.0
Nitrile hydratase,Roseomonas cervicalis ATCC 49957,1,0.0
Nitrogen regulation protein NtrY,Rhodospirillum centenum SW,1,0.0
Nitroreductase,marine gamma proteobacterium HTCC2143,2,1.69
Nod factor export ATP-binding protein I (Nodulation ATP-binding protein I),Bacillus pumilus ATCC 7061,1,0.0
NorM-like multidrug efflux protein,Flavobacteriaceae bacterium 3519-10,1,0.0
NorM-like multidrug efflux protein,Gramella forsetii KT0803,10,8.32
Nucleoside diphosphate kinase,gamma proteobacterium HdN1,1,0.0
Nucleoside-diphosphate kinase,Chitinophaga pinensis DSM 2588,1,0.0
Nucleotide-binding protein implicated in inhibition of septum formation,Candidatus Puniceispirillum marinum IMCC1322,3,2.52
NupC family protein,Psychroflexus torquis ATCC 700755,3,2.53
NusA antitermination factor,Clostridium phytofermentans ISDg,1,0.0
NusA antitermination factor,Conexibacter woesei DSM 14684,1,0.0
O-acetylhomoserine (thiol)-lyase,Citreicella sp. SE45,4,3.38
O-acetylhomoserine (thiol)-lyase,Psychroflexus torquis ATCC 700755,16,13.32
O-acetylhomoserine (thiol)-lyase,Silicibacter sp. TrichCH4B,9,7.29
O-acetylhomoserine aminocarboxypropyltransferase,Geobacillus thermoglucosidasius C56-YS93,3,2.38
O-acetylhomoserine aminocarboxypropyltransferase,Mesorhizobium loti MAFF303099,1,0.0
O-acetylhomoserine aminocarboxypropyltransferase,Pseudomonas stutzeri A1501,1,0.0
O-acetylhomoserine aminocarboxypropyltransferase,Rhodopseudomonas palustris BisB5,11,9.06
O-acetylhomoserine aminocarboxypropyltransferase,Roseovarius sp. 217,3,2.39
O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase family protein,Hyphomonas neptunium ATCC 15444,1,0.0
O-acetylhomoserine sulfhydrylase,Croceibacter atlanticus HTCC2559,9,7.4
O-acetylhomoserine sulfhydrylase,Proteus mirabilis ATCC 29906,2,1.74
O-acetylhomoserine/O-acetylserine sulfhydrylase,Acidiphilium cryptum JF-5,27,22.1
O-acetylhomoserine/O-acetylserine sulfhydrylase,Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446,1,0.0
O-acetylhomoserine/O-acetylserine sulfhydrylase,Chlorobium chlorochromatii CaD3,1,0.0
O-acetylhomoserine/O-acetylserine sulfhydrylase,Desulfuromonas acetoxidans DSM 684,2,1.64
O-acetylhomoserine/O-acetylserine sulfhydrylase,Rhodopseudomonas palustris BisB18,10,8.22
O-acetylhomoserine/O-acetylserine sulfhydrylase,Rhodopseudomonas palustris BisB5,7,5.7
O-acetylhomoserine/O-acetylserine sulfhydrylase,Spirochaeta thermophila DSM 6192,8,6.74
O-acetylserine synthase,Ralstonia solanacearum GMI1000,1,0.0
O-methyltransferase family protein,Croceibacter atlanticus HTCC2559,5,4.09
O-sialoglycoprotein endopeptidas,Roseobacter sp. MED193,1,0.0
O-sialoglycoprotein endopeptidase,Azospirillum sp. B510,1,0.0
O-succinylbenzoate synthase,Gramella forsetii KT0803,6,5.0
O-succinylbenzoate-CoA synthase,Cyanobium sp. PCC 7001,2,1.64
O-succinylbenzoic acid--CoA ligase (OSB-CoA synthetase),Synechococcus sp. WH 8102,3,2.45
O-succinylhomoserine sulfhydrylase,Beijerinckia indica subsp. indica ATCC 9039,1,0.0
O-succinylhomoserine sulfhydrylase,Marinobacter aquaeolei VT8,3,2.48
O-succinylhomoserine sulfhydrylase,Pseudomonas syringae pv. syringae B728a,2,1.59
O2-independent coproporphyrinogen III oxidase,Kordia algicida OT-1,1,0.0
ORF007 dUTPase,Bovine papular stomatitis virus,1,0.0
Octaprenyl-diphosphate synthase (Octaprenyl pyrophosphate synthetase)(OPP synthetase),Pseudoalteromonas tunicata D2,1,0.0
Oligopeptidase A,Tolumonas auensis DSM 9187,1,0.0
OmpA domain protein,Roseobacter sp. GAI101,6,4.96
OmpA family protein,Roseobacter sp. GAI101,2,1.66
OmpA/MotB,Ruegeria sp. TM1040,4,3.23
OmpA/MotB domain protein,Hirschia baltica ATCC 49814,1,0.0
OmpA/MotB domain-containing protein,Rhodobacter capsulatus SB 1003,1,0.0
OmpA/MotB domain-containing protein,Rhodobacter sphaeroides ATCC 17025,1,0.0
Orotate phosphoribosyl transferase,Synechococcus sp. BL107,2,1.63
Orotidine 5''-phosphate decarboxylase,Methylotenera mobilis JLW8,1,0.0
Os10g0463800; hypothetical protein,Chitinophaga pinensis DSM 2588,1,0.0
OsmC family protein,Teredinibacter turnerae T7901,1,0.0
Outer membrane efflux protein,Loktanella vestfoldensis SKA53,10,8.25
Outer membrane efflux protein,Prochlorococcus marinus str. MIT 9313,4,3.34
Outer membrane lipoprotein carrier protein,Psychroflexus torquis ATCC 700755,3,2.58
Outer membrane protein,marine gamma proteobacterium HTCC2080,23,19.07
Oxidoreductase,Candidatus Pelagibacter ubique HTCC1002,3,2.44
Oxidoreductase,Kordia algicida OT-1,5,4.14
Oxidoreductase FAD-binding domain protein,Hyphomicrobium denitrificans ATCC 51888,1,0.0
Oxidoreductase domain protein,Thermoanaerobacter mathranii subsp. mathranii str. A3,1,0.0
Oxidoreductase famil,Erwinia billingiae Eb661,1,0.0
Oxidoreductase famil,Labrenzia alexandrii DFL-11,3,2.57
Oxidoreductase-like protein,Verrucomicrobium spinosum DSM 4136,2,1.63
Oxygen-dependent coproporphyrinogen III oxidase,gamma proteobacterium HdN1,1,0.0
P-aminobenzoyl-glutamate transporter famil,Vibrio parahaemolyticus AQ4037,3,2.6
P-methylase,Synechocystis sp. PCC 6803,1,0.0
P-type ATPase,Dictyostelium discoideum AX4,1,0.0
P5CR (PYRROLINE-5- CARBOXYLATE (P5C) REDUCTASE); pyrroline-5-carboxylate reductase,Arabidopsis thaliana,1,0.0
PARCEL domain protein,Mycoplasma leachii PG50,3,2.57
PAS,Dechloromonas aromatica RCB,2,1.7
PAS,Methylophilales bacterium HTCC2181,4,3.26
PAS modulated sigma54 specific transcriptional regulator,Desulfococcus oleovorans Hxd3,3,2.52
PAS/PAC sensor hybrid histidine kinase,Desulfatibacillum alkenivorans AK-01,1,0.0
PAS/PAC sensor signal transduction histidine kinase,Allochromatium vinosum DSM 180,1,0.0
PAS/PAC sensor signal transduction histidine kinase,Chthoniobacter flavus Ellin428,1,0.0
PAS/PAC sensor signal transduction histidine kinase,Desulfomicrobium baculatum DSM 4028,2,1.59
PBS HEAT-like repeat-containing protein,Synechococcus sp. RCC307,12,9.71
PDZ/DHR/GLGF domain-containing protein,Gordonia bronchialis DSM 43247,1,0.0
PGLP1 (2-PHOSPHOGLYCOLATE PHOSPHATASE 1); phosphoglycolate phosphatase,Arabidopsis thaliana,2,1.67
PII uridylyl-transferase,Chromohalobacter salexigens DSM 3043,4,3.23
PII uridylyl-transferase,Methylobacillus flagellatus KT,1,0.0
PKD domain-containing protein,Flavobacterium johnsoniae UW101,4,3.22
POP2,Silicibacter sp. TrichCH4B,3,2.54
PPIC-type PPIASE domain,Roseovarius sp. TM1035,5,4.17
PQQ-dependent dehydrogenas,marine gamma proteobacterium HTCC2148,1,0.0
PQQ-dependent enzyme-like protein,Burkholderia sp. CCGE1002,1,0.0
PRS6_ASPNG 26S PROTEASE REGULATORY SUBUNIT 6B HOMOLOG,Gibberella zeae PH-1,1,0.0
PSAD-2 (photosystem I subunit D-2),Arabidopsis thaliana,1,0.0
PSP1 domain protein,Capnocytophaga ochracea DSM 7271,5,4.08
PTS IIA-like nitrogen-regulatory protein PtsN,Ochrobactrum intermedium LMG 3301,1,0.0
PTS syste,Alkaliphilus metalliredigens QYMF,2,1.7
PTS syste,Mycobacterium gilvum PYR-GCK,1,0.0
PTS syste,Pectobacterium carotovorum subsp. carotovorum PC1,2,1.62
PTS system IIA componen,Oceanicola batsensis HTCC2597,1,0.0
PUCC protein,Methylobacterium radiotolerans JCM 2831,1,0.0
Pantothenate kinase type II,Acidithiobacillus caldus ATCC 51756,1,0.0
ParA family protein,Hahella chejuensis KCTC 2396,2,1.67
ParA family protein,Pseudomonas syringae pv. aesculi str. NCPPB3681,1,0.0
Penicillin amidase,Rhodobacter sp. SW2,2,1.62
Penicillin amidase superfamily,Rhodobacterales bacterium Y4I,3,2.53
Pentose-5-phosphate-3-epimerase,Roseovarius sp. 217,3,2.45
Peptidase M23,Capnocytophaga ochracea DSM 7271,3,2.43
Peptidase M23,Kangiella koreensis DSM 16069,1,0.0
Peptidase M23B,Methylophilales bacterium HTCC2181,1,0.0
Peptidase M4,Rhodobacter sphaeroides KD131,1,0.0
Peptidase S41A,Synechococcus sp. BL107,9,7.24
Peptidase family M1 containing protein,Tetrahymena thermophila,1,0.0
Peptide chain release factor 2,Leeuwenhoekiella blandensis MED217,7,5.71
Peptide methionine sulfoxide reductase,Robiginitalea biformata HTCC2501,1,0.0
Peptide synthetase,Yersinia ruckeri ATCC 29473,1,0.0
Peptide/opine/nickel ABC transporter famil,Actinobacillus pleuropneumoniae serovar 9 str. CVJ13261,1,0.0
Peptidoglycan glycosyltransferase,Akkermansia muciniphila ATCC BAA-835,2,1.58
Peptidoglycan glycosyltransferase,Pedobacter heparinus DSM 2366,2,1.67
Peptidyl-dipeptidase A,Stenotrophomonas maltophilia R551-3,1,0.0
Peptidyl-dipeptidase Dcp,Anaeromyxobacter sp. K,1,0.0
Peptidylprolyl isomerase,Maritimibacter alkaliphilus HTCC2654,4,3.37
Peptidylprolyl isomerase,Pirellula staleyi DSM 6068,1,0.0
Periplasmic urea/short-chain amide-binding protein,Yersinia intermedia ATCC 29909,1,0.0
PfkB domain protein,Rhodobacter sphaeroides KD131,1,0.0
Phage conserved protein,Enterobacteria phage Felix 01,4,3.17
Phage integrase family protein,Synechococcus sp. RCC307,5,4.0
Phage shock protein A,Synechococcus sp. RCC307,8,6.57
PheA/TfdB family FAD-binding monooxygenase,Myxococcus xanthus DK 1622,1,0.0
PhnA protein,Thiomicrospira crunogena XCL-2,1,0.0
PhnP protein,Sphingobium chlorophenolicum L-1,1,0.0
PhoH family protein,Anaeromyxobacter sp. K,1,0.0
PhoH family protein,Coraliomargarita akajimensis DSM 45221,2,1.51
PhoH family protein,Jonesia denitrificans DSM 20603,1,0.0
PhoH family protein,Kribbella flavida DSM 17836,1,0.0
PhoH family protein,Synechococcus sp. JA-2-3B''a(2-13),2,1.63
PhoH family protein,marine gamma proteobacterium HTCC2148,13,10.48
PhoH-like hosphate starvation-inducible protein,Synechococcus sp. WH 7803,8,6.49
PhoH-like protein,Candidatus Poribacteria sp. WGA-A3,1,0.0
PhoH-like protein,Clostridium thermocellum ATCC 27405,1,0.0
Phosphate transporter,Crocosphaera watsonii WH 8501,3,2.47
Phosphatidate cytidylyltransferase,Roseovarius sp. 217,2,1.67
Phosphoenolpyruvate carboxykinase (ATP),Salinibacter ruber M8,2,1.62
Phosphoenolpyruvate carboxykinase (ATP),marine gamma proteobacterium HTCC2080,1,0.0
Phosphogluconate dehydratase,Congregibacter litoralis KT71,8,6.53
Phosphoglucosamine mutase,Limnobacter sp. MED105,1,0.0
Phosphoglycerate mutase,bacterium Ellin514,1,0.0
Phosphomannomutase,Sphaerobacter thermophilus DSM 20745,1,0.0
Phosphonate C-P lyase syste,Oceanibulbus indolifex HEL-45,2,1.63
Phosphopyruvate hydratase,alpha proteobacterium BAL199,2,1.64
Phosphoribosylamine--glycine ligase,Bacillus mycoides Rock1-4,1,0.0
Phosphoribosylaminoimidazole-succinocarboxamide synthase,Pseudomonas savastanoi pv. savastanoi NCPPB 3335,1,0.0
Phosphoribosylaminoimidazolecarboxamide formyltransferase,Desulfatibacillum alkenivorans AK-01,1,0.0
Phosphoribosylanthranilate isomerase,Flavobacteria bacterium MS024-2A,9,7.49
Phosphoribosylformylglycinamidine cyclo-ligase,Bacillus mycoides DSM 2048,1,0.0
Phosphoribosylglycinamide formyltransferase 2,Neptuniibacter caesariensis,2,1.67
Phosphoserine aminotransferas,marine gamma proteobacterium HTCC2080,22,18.05
Photosystem II reaction centre protein PsbA/D1,Synechococcus sp. BL107,273,223.67
Phytanoyl-CoA dioxygenase,Dyadobacter fermentans DSM 18053,1,0.0
Phytase,Janibacter sp. HTCC2649,1,0.0
PilB-related protein,Pseudomonas stutzeri A1501,1,0.0
Pilus retraction protein PilT,Nitrococcus mobilis Nb-231,2,1.71
Plasmodium exported protein (PHISTb),Plasmodium falciparum 3D7,3,2.44
Pnt,Erythrobacter sp. NAP1,3,2.47
Poly-beta-hydroxybutyrate polymerase domain protein,Tsukamurella paurometabola DSM 20162,1,0.0
Polynucleotide adenylyltransferase region,Gluconacetobacter diazotrophicus PAl 5,1,0.0
Polyphosphate kinase,Flavobacteria bacterium MS024-3C,7,5.72
Polyribonucleotide nucleotidyltransferase,Eggerthella lenta DSM 2243,1,0.0
Polyribonucleotide nucleotidyltransferase,Nitrococcus mobilis Nb-231,2,1.6
Polyribonucleotide nucleotidyltransferase,gamma proteobacterium HdN1,9,7.21
Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase),Marinobacter algicola DG893,1,0.0
Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase),Methylacidiphilum infernorum V4,1,0.0
Positive regulator of sigma(E,beta proteobacterium KB13,1,0.0
Possible polysaccharide deacetylase,Sulfitobacter sp. NAS-14.1,3,2.45
PoxA,Pantoea ananatis LMG 20103,1,0.0
PpiC-type peptidyl-prolyl cis-trans isomerase,Anaerococcus prevotii DSM 20548,1,0.0
PpiC-type peptidyl-prolyl cis-trans isomerase,Desulfococcus oleovorans Hxd3,1,0.0
PpiC-type peptidyl-prolyl cis-trans isomerase,Flavobacteria bacterium BBFL7,1,0.0
Ppx/GppA phosphatase,Methylibium petroleiphilum PM1,1,0.0
Ppx/GppA phosphatase,beta proteobacterium KB13,10,8.19
Predicted CDP-4-keto-6-deoxy-D-glucose-3-dehydrase,Gemmata obscuriglobus UQM 2246,5,3.97
Predicted glutamine amidotransferase,Roseovarius nubinhibens ISM,1,0.0
Predicted virulence facto,Erwinia tasmaniensis Et1/99,1,0.0
Prephenate dehydrogenase,Maribacter sp. HTCC2170,13,10.8
Prephenate dehydrogenase,Polaribacter irgensii 23-P,2,1.58
Preprotein translocase subunit SecF,Candidatus Puniceispirillum marinum IMCC1322,15,12.27
Primosomal protein N'',Yersinia frederiksenii ATCC 33641,1,0.0
Probable cell cycle protein,Oceanicola granulosus HTCC2516,7,5.59
Probable sulfate permeas,Marinobacter algicola DG893,3,2.48
Probable tRNA delta(2)-isopentenylpyrophosphate transferase,Maritimibacter alkaliphilus HTCC2654,3,2.51
Prokaryotic protein of unknown function (DUF849) superfamily,Burkholderia pseudomallei 305,3,2.4
Proline dehydrogenase,Dyadobacter fermentans DSM 18053,3,2.54
Proline dehydrogenase family protein,Pseudovibrio sp. JE062,2,1.69
Prolyl oligopeptidase,Cellulomonas flavigena DSM 20109,1,0.0
Propanoyl-CoA C-acyltransferase,Burkholderia sp. H160,5,4.19
Propanoyl-CoA C-acyltransferase,Frankia sp. EuI1c,1,0.0
Protease-associated PA,Psychroflexus torquis ATCC 700755,3,2.41
Protein of unknown function DUF1588,Chthoniobacter flavus Ellin428,3,2.46
Protein of unknown function DUF1592,Pirellula staleyi DSM 6068,1,0.0
Protein of unknown function DUF1800,Spirosoma linguale DSM 74,2,1.62
Protein of unknown function DUF1998,Cellulomonas flavigena DSM 20109,1,0.0
Protein of unknown function DUF2235,Thioalkalivibrio sp. K90mix,2,1.7
Protein trpH,Pseudomonas savastanoi pv. savastanoi NCPPB 3335,1,0.0
Protein-tyrosine phosphatas,Catenulispora acidiphila DSM 44928,2,1.7
Proton-translocating NADH-quinone oxidoreductas,delta proteobacterium MLMS-1,1,0.0
Pse synthetase,Campylobacter jejuni subsp. jejuni NCTC 11168,1,0.0
Psp operon transcriptional activator,Yersinia frederiksenii ATCC 33641,1,0.0
PunA,Clostridium kluyveri DSM 555,1,0.0
PurF,Ralstonia solanacearum UW551,1,0.0
Putative ABC transporte,Roseobacter sp. CCS2,1,0.0
Putative SAM-dependent methyltransferase,Mariprofundus ferrooxydans PV-1,2,1.59
Putative carbohydrate kinas,Synechococcus sp. WH 7805,6,4.91
Putative cyclopropane-fatty-acyl-phospholipid synthase,Leptospira biflexa serovar Patoc strain ''Patoc 1 (Paris)'',2,1.69
Putative deoxyribose-phosphate aldolase (DeoC),Synechococcus sp. RS9916,1,0.0
Putative tail length tape measure protei,Neisseria gonorrhoeae NCCP11945,1,0.0
Putative transporte,Oceanicola batsensis HTCC2597,7,5.53
Putative type II alternative RNA polymerase sigma factor,Synechococcus sp. WH 5701,2,1.61
Putrescine-binding periplasmic protein,Erwinia billingiae Eb661,2,1.62
Pyridoxal phosphate biosynthesis protein,Candidatus Puniceispirillum marinum IMCC1322,3,2.31
Pyridoxal-5''-phosphate-dependent enzym,Cylindrospermopsis raciborskii CS-505,2,1.6
Pyridoxal-5''-phosphate-dependent enzym,Roseobacter sp. CCS2,1,0.0
Pyridoxal-5''-phosphate-dependent protein beta subunit,Starkeya novella DSM 506,1,0.0
Pyrrolo-quinoline quinone,Chthoniobacter flavus Ellin428,1,0.0
Pyrrolo-quinoline quinone,Jannaschia sp. CCS1,1,0.0
Quinolinate synthetase,Flavobacteriaceae bacterium 3519-10,1,0.0
Quinolinate synthetase A,gamma proteobacterium HdN1,2,1.51
RIP metalloprotease RseP,Haemophilus influenzae NT127,2,1.57
RNA chaperone Hfq,Shigella dysenteriae 1617,1,0.0
RNA helicase (ISS),Ostreococcus tauri,1,0.0
RNA helicase-1,Plasmodium chabaudi chabaudi,1,0.0
RNA methyltransferas,Blastopirellula marina DSM 3645,1,0.0
RNA methyltransferas,Capnocytophaga ochracea DSM 7271,6,4.95
RNA methyltransferas,Dermacoccus sp. Ellin185,1,0.0
RNA methyltransferas,Flavobacteriaceae bacterium 3519-10,2,1.61
RNA methyltransferas,Riemerella anatipestifer DSM 15868,2,1.58
RNA methyltransferas,Ruegeria sp. R11,3,2.56
RNA methyltransferase,Burkholderia ambifaria AMMD,2,1.6
RNA methyltransferase,Burkholderia thailandensis E264,1,0.0
RNA methyltransferase,Pseudomonas putida GB-1,1,0.0
RNA methyltransferase Trm,Synechococcus sp. CC9902,2,1.62
RNA polymeras,Baumannia cicadellinicola str. Hc (Homalodisca coagulata),11,9.01
RNA polymeras,Flavobacteriales bacterium ALC-1,16,12.83
RNA polymeras,Kangiella koreensis DSM 16069,4,3.18
RNA polymeras,Saccharomonospora viridis DSM 43017,1,0.0
RNA polymerase (beta'' subunit),Streptococcus gallolyticus UCN34,1,0.0
RNA polymerase ECF-subfamily sigma factor,Saccharopolyspora erythraea NRRL 2338,1,0.0
RNA polymerase ECF-type sigma factor,Flavobacterium psychrophilum JIP02/86,1,0.0
RNA polymerase ECF-type sigma factor,Gramella forsetii KT0803,8,6.66
RNA polymerase II core subunit,Dictyostelium discoideum AX4,11,9.31
RNA polymerase Rpb,Tetrahymena thermophila,2,1.65
RNA polymerase alpha subunit,Rhodomonas salina,2,1.69
RNA polymerase beta'''' subunit,Vaucheria litorea,2,1.61
RNA polymerase factor sigma-32,Dinoroseobacter shibae DFL 12,12,9.84
RNA polymerase factor sigma-32,Hyphomonas neptunium ATCC 15444,1,0.0
RNA polymerase factor sigma-32,Rhodobacter sphaeroides KD131,2,1.68
RNA polymerase factor sigma-32,Ruegeria pomeroyi DSS-3,12,9.95
RNA polymerase factor sigma-32,Zymomonas mobilis subsp. mobilis NCIMB 11163,7,5.84
RNA polymerase factor sigma-54,Pseudomonas syringae pv. tomato Max13,4,3.23
RNA polymerase factor sigma-54,Rhizobium etli CFN 42,1,0.0
RNA polymerase factor sigma-54,Vibrio vulnificus CMCP6,3,2.46
RNA polymerase factor sigma-54,Xanthomonas campestris pv. campestris str. 8004,1,0.0
RNA polymerase ii largest subunit,Leishmania infantum JPCM5,2,1.7
RNA polymerase sigma facto,Synechococcus sp. RCC307,10,8.37
RNA polymerase sigma factor,Candidatus Amoebophilus asiaticus 5a2,3,2.51
RNA polymerase sigma factor,Corynebacterium efficiens YS-314,1,0.0
RNA polymerase sigma factor RpoD,Bradyrhizobium sp. ORS278,2,1.51
RNA polymerase sigma factor RpoD,Nitrobacter winogradskyi Nb-255,1,0.0
RNA polymerase sigma factor RpoD,Novosphingobium aromaticivorans DSM 12444,1,0.0
RNA polymerase sigma factor RpoD,Ruegeria pomeroyi DSS-3,25,20.29
RNA polymerase sigma factor RpoD,Synechococcus sp. WH 7803,1,0.0
RNA polymerase sigma factor RpoS,Pseudomonas syringae pv. syringae B728a,1,0.0
RNA polymerase sigma factor RpoS,Yersinia pseudotuberculosis PB1/+,1,0.0
RNA polymerase sigma factor WhiG,Leptospira interrogans serovar Lai str. 56601,2,1.61
RNA polymerase sigma factor rpoS,Blastopirellula marina DSM 3645,3,2.37
RNA polymerase sigma-24 factor,Flavobacteriales bacterium ALC-1,3,2.51
RNA polymerase sigma-32 factor,Rhodobacteraceae bacterium KLH11,9,7.36
RNA polymerase sigma-32 factor,Roseovarius sp. TM1035,2,1.61
RNA polymerase sigma-32 factor,alpha proteobacterium BAL199,4,3.27
RNA polymerase sigma-54,Bacteroides thetaiotaomicron VPI-5482,2,1.59
RNA polymerase sigma-70 factor,Polaribacter sp. MED152,1,0.0
RNA polymerase sigma-70 factor,Porphyromonas gingivalis W83,1,0.0
RNA polymerase sigma-70 factor,Roseovarius sp. 217,17,14.09
RNA polymerase sigma-70 factor,marine gamma proteobacterium HTCC2143,1,0.0
RNA polymerase sigma-70 factor RpoD,Roseobacter sp. MED193,9,7.51
RNA polymerase-associated protein HepA,Vibrio cholerae V52,1,0.0
RNA polymerase-associated protein rapA,Actinobacillus pleuropneumoniae serovar 9 str. CVJ13261,1,0.0
RNA polymerase-associated protein rapA,Vibrio harveyi 1DA3,1,0.0
RNA pseudouridine synthas,Flavobacteria bacterium BBFL7,4,3.48
