gene function,organism,counts,oualidia_1_counts
ATP-dependent metalloprotease FtsH,Cupriavidus metallidurans CH34,1,1
ATP-dependent metalloprotease FtsH,Ehrlichia chaffeensis str. Arkansas,1,1
ATP-dependent metalloprotease FtsH,Frankia sp. EuI1c,1,1
ATP-dependent metalloprotease FtsH,Halorhodospira halophila SL1,3,3
ATP-dependent metalloprotease FtsH,Prevotella marshii DSM 16973,1,1
ATP-dependent protease,Azoarcus sp. BH72,2,2
ATP-dependent protease,Lawsonia intracellularis PHE/MN1-00,1,1
ATP-dependent protease ATP-binding subunit,Bermanella marisrubri,1,1
ATP-dependent protease ATP-binding subunit,Croceibacter atlanticus HTCC2559,1,1
ATP-dependent protease ATP-binding subunit,Halomonas elongata DSM 2581,1,1
ATP-dependent protease ATP-binding subunit,Leeuwenhoekiella blandensis MED217,2,2
ATP-dependent protease ATP-binding subunit,Sulfitobacter sp. NAS-14.1,1,1
ATP-dependent protease ATP-binding subunit ClpX,Brucella ovis ATCC 25840,5,5
ATP-dependent protease ATP-binding subunit ClpX,Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica),1,1
ATP-dependent protease ATP-binding subunit ClpX,Flavobacterium psychrophilum JIP02/86,1,1
ATP-dependent protease ATP-binding subunit ClpX,Jannaschia sp. CCS1,6,6
ATP-dependent protease ATP-binding subunit ClpX,Methylobacillus flagellatus KT,3,3
ATP-dependent protease ATP-binding subunit ClpX,Rhodobacter sphaeroides 2.4.1,2,2
ATP-dependent protease ATP-binding subunit ClpX,Rhodobacter sphaeroides ATCC 17029,1,1
ATP-dependent protease ATP-binding subunit ClpX,Sinorhizobium fredii NGR234,14,14
ATP-dependent protease ATP-binding subunit ClpX,Synechococcus sp. JA-2-3B''a(2-13),1,1
ATP-dependent protease ATP-binding subunit ClpX,Teredinibacter turnerae T7901,2,2
ATP-dependent protease ATP-binding subunit HslU,Aliivibrio salmonicida LFI1238,1,1
ATP-dependent protease ATP-binding subunit HslU,Bartonella henselae str. Houston-1,3,3
ATP-dependent protease ATP-binding subunit HslU,Nitrobacter hamburgensis X14,7,7
ATP-dependent protease ATP-binding subunit HslU,Parvibaculum lavamentivorans DS-1,10,10
ATP-dependent protease ATP-binding subunit HslU,Xanthomonas oryzae pv. oryzae KACC10331,1,1
ATP-dependent protease LA,Caulobacter crescentus CB15,11,11
ATP-dependent protease La,Azorhizobium caulinodans ORS 571,10,10
ATP-dependent protease La,Bordetella bronchiseptica RB50,2,2
ATP-dependent protease La,Candidatus Puniceispirillum marinum IMCC1322,1,1
ATP-dependent protease La,Desulfovibrio vulgaris str. Hildenborough,1,1
ATP-dependent protease La,Flavobacteria bacterium MS024-2A,5,5
ATP-dependent protease La,Flavobacterium johnsoniae UW101,6,6
ATP-dependent protease La,Marinomonas sp. MWYL1,8,8
ATP-dependent protease La,Reinekea blandensis MED297,1,1
ATP-dependent protease La,Rhodopseudomonas palustris TIE-1,1,1
ATP-dependent protease La,Sorangium cellulosum ''So ce 56'',1,1
ATP-dependent protease La,Sphaerobacter thermophilus DSM 20745,1,1
ATP-dependent protease Lon,Thermococcus gammatolerans EJ3,1,1
ATP-dependent protease peptidase subunit,Coxiella burnetii RSA 493,1,1
ATP-dependent protease peptidase subunit,Jannaschia sp. CCS1,1,1
ATP-dependent protease peptidase subunit,Shewanella pealeana ATCC 700345,1,1
ATP-dependent proteinase,Bacillus halodurans C-125,1,1
ATP-dependent rna helicase protein,Xanthomonas albilineans,1,1
ATP-dependent zinc protease/ cell division protein,Pelobacter carbinolicus DSM 2380,1,1
ATP-nad/acox kinase,Asticcacaulis excentricus CB 48,4,4
ATP-specific succinyl-CoA synthetase beta subunit,Dictyostelium discoideum AX4,2,2
ATP-sulfurylase subunit 1,Pseudoalteromonas haloplanktis TAC125,1,1
ATP/GTP-binding site-containing protein A,Brucella melitensis bv. 1 str. 16M,1,1
ATP/cobalamin adenosyltransferase,Flavobacteria bacterium MS024-2A,2,2
ATPas,Bacillus tusciae DSM 2912,1,1
ATPas,Bacteroides sp. 3_1_19,3,3
ATPas,Clostridium saccharolyticum WM1,1,1
ATPas,Flavobacterium johnsoniae UW101,1,1
ATPas,Methanospirillum hungatei JF-1,1,1
ATPas,Mycobacterium smegmatis str. MC2 155,1,1
ATPas,Sulfitobacter sp. EE-36,1,1
ATPas,gamma proteobacterium HTCC5015,1,1
ATPase,Alkaliphilus oremlandii OhILAs,3,3
ATPase,Arthrobacter sp. FB24,5,5
ATPase,Beggiatoa sp. PS,1,1
ATPase,Brucella melitensis bv. 1 str. 16M,1,1
ATPase,Candidatus Solibacter usitatus Ellin6076,1,1
ATPase,Chloroherpeton thalassium ATCC 35110,2,2
ATPase,Desulfococcus oleovorans Hxd3,1,1
ATPase,Dokdonia donghaensis MED134,2,2
ATPase,Flavobacterium johnsoniae UW101,1,1
ATPase,Jannaschia sp. CCS1,1,1
ATPase,Methanobrevibacter ruminantium M1,1,1
ATPase,Nodularia spumigena CCY9414,1,1
ATPase,Octadecabacter antarcticus 238,1,1
ATPase,Paracoccus denitrificans PD1222,2,2
ATPase,Rhodobacter sphaeroides ATCC 17025,1,1
ATPase,Roseiflexus castenholzii DSM 13941,1,1
ATPase,Selenomonas noxia ATCC 43541,1,1
ATPase,Synechococcus sp. CC9902,10,10
ATPase,Syntrophobacter fumaroxidans MPOB,1,1
ATPase,Thermobifida fusca YX,6,6
ATPase,Vibrio vulnificus CMCP6,2,2
ATPase,gamma proteobacterium NOR5-3,3,3
ATPase AAA-2,Arthrospira platensis str. Paraca,1,1
ATPase AAA-2,Deinococcus geothermalis DSM 11300,1,1
ATPase AAA-2,Rhodobacteraceae bacterium HTCC2150,1,1
ATPase AAA-2 domain protein,Akkermansia muciniphila ATCC BAA-835,3,3
ATPase AAA-2 domain protein,Clostridium saccharolyticum WM1,1,1
ATPase AAA-2 domain protein,Clostridium thermocellum DSM 2360,1,1
ATPase AAA-2 domain protein,Halothermothrix orenii H 168,2,2
ATPase AAA-2 domain protein,Hydrogenobaculum sp. Y04AAS1,2,2
ATPase AAA-2 domain-containing protein,Chloroflexus sp. Y-400-fl,1,1
ATPase AAA-2 domain-containing protein,Desulfurispirillum indicum S5,1,1
ATPase associated with various cellular activitie,Anaeromyxobacter dehalogenans 2CP-C,1,1
ATPase associated with various cellular activities AAA_3,Chthoniobacter flavus Ellin428,1,1
ATPase associated with various cellular activities AAA_3,Meiothermus silvanus DSM 9946,1,1
ATPase associated with various cellular activities AAA_3,Pedobacter heparinus DSM 2366,1,1
ATPase associated with various cellular activities AAA_3,Thermaerobacter marianensis DSM 12885,1,1
ATPase associated with various cellular activities AAA_5,Frankia symbiont of Datisca glomerata,1,1
ATPase central domain-containing protein,Brevibacterium linens BL2,7,7
ATPase component of ABC transporter with duplicated ATPase domains,Rothia mucilaginosa DY-18,1,1
ATPase component of ABC-type multidrug transport system,Amycolatopsis mediterranei U32,2,2
ATPase famil,Rattus norvegicus,2,2
ATPase of the PP superfamily,Sulfitobacter sp. NAS-14.1,1,1
ATPase subunit 9,Micromonas sp. RCC299,8,8
ATPase with chaperone activit,Rothia mucilaginosa DY-18,2,2
ATPase with chaperone activit,Thermoanaerobacter tengcongensis MB4,7,7
ATPase with chaperone activit,alpha proteobacterium BAL199,1,1
ATPase-lik,Starkeya novella DSM 506,1,1
ATPases of the AAA+ class,Streptococcus mitis B6,2,2
Abc protein,Candidatus Puniceispirillum marinum IMCC1322,1,1
Acetyl-CoA C-acetyltransferase,Deinococcus geothermalis DSM 11300,1,1
Acetyl-CoA C-acetyltransferase,Plesiocystis pacifica SIR-1,1,1
Acetyl-CoA C-acetyltransferase,Polaromonas sp. JS666,1,1
Acetyl-CoA C-acetyltransferase,Rhodopseudomonas palustris BisB18,1,1
Acetyl-CoA acetyltransferase,Bacillus thuringiensis serovar andalousiensis BGSC 4AW1,1,1
Acetyl-CoA carboxylase alpha subunit,Thermoanaerobacter tengcongensis MB4,1,1
Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,Candidatus Pelagibacter ubique HTCC1062,23,23
Acetyl/propionyl-CoA carboxylase alpha subunit,Anaeromyxobacter dehalogenans 2CP-C,1,1
AcrB/AcrD/AcrF family protei,Roseobacter denitrificans OCh 114,4,4
AcrB/AcrD/AcrF family protein,Bradyrhizobium japonicum USDA 110,3,3
AcrB/AcrD/AcrF family protein,Colwellia psychrerythraea 34H,3,3
AcrB/AcrD/AcrF family protein,Congregibacter litoralis KT71,6,6
Acyl CoA DeHydrogenase family member (acdh-3),Caenorhabditis elegans,2,2
Acyl dehydratase,Alteromonas macleodii ATCC 27126,1,1
Acyl-CoA dehydrogenas,Alcanivorax sp. DG881,1,1
Acyl-CoA dehydrogenas,Octadecabacter antarcticus 307,1,1
Acyl-CoA dehydrogenas,Pseudomonas syringae pv. syringae B728a,1,1
Acyl-CoA dehydrogenas,gamma proteobacterium HTCC2207,1,1
Acyl-CoA dehydrogenas,marine gamma proteobacterium HTCC2148,1,1
Acyl-CoA dehydrogenase,Fulvimarina pelagi HTCC2506,1,1
Acyl-CoA dehydrogenase,Idiomarina baltica OS145,1,1
Acyl-CoA dehydrogenase,Rhodobacter sphaeroides 2.4.1,2,2
Acyl-CoA dehydrogenase-like,Geobacter metallireducens GS-15,2,2
Acyl-CoA dehydrogenase-like,Rhodopseudomonas palustris HaA2,1,1
Acyl-CoA dehydrogenase-like protein,Polaribacter irgensii 23-P,1,1
Acyl-CoA oxidase family protein,Brugia malayi,1,1
Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II,marine gamma proteobacterium HTCC2080,1,1
Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase,Magnetospirillum magneticum AMB-1,1,1
Acylneuraminate cytidylyltransferase:Aminotransferase class-III,Alteromonadales bacterium TW-7,2,2
Adenylosuccinate synthase,Halothermothrix orenii H 168,1,1
Agmatine deiminase,Arthrobacter chlorophenolicus A6,5,5
AhpC/TSA family protein,Erythrobacter litoralis HTCC2594,1,1
AhpC/TSA family protein,Zunongwangia profunda SM-A87,1,1
Alanine aminotransferas,Perkinsus marinus ATCC 50983,1,1
Alanine dehydrogenase,Polaribacter sp. MED152,1,1
Aldehyde Dehydrogenase,Intrasporangium calvum DSM 43043,1,1
Aldehyde Dehydrogenase,Meiothermus ruber DSM 1279,3,3
Aldehyde dehydrogenase,Sagittula stellata E-37,1,1
Aldehyde ferredoxin oxidoreductase,Thauera sp. MZ1T,6,6
Aldehyde oxidase and xanthine dehydrogenas,Labrenzia alexandrii DFL-11,1,1
Alkaline protease secretion ATP-binding protein aprD,Yersinia ruckeri ATCC 29473,1,1
Alkyl hydroperoxide reductase subunit F,Bacillus cereus ATCC 14579,2,2
Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen,Dechloromonas aromatica RCB,1,1
Alpha-glucosidase,Pseudoalteromonas atlantica T6c,2,2
Alpha-glucuronidase,Rhodothermus marinus DSM 4252,1,1
Alpha-mannosidase,Thermoanaerobacter brockii subsp. finnii Ako-1,1,1
Alpha-methylacyl-CoA racemase,Burkholderia xenovorans LB400,1,1
Alternative oxidase superfamily,Methylophaga thiooxidans DMS010,1,1
Aluminium resistance,Crocosphaera watsonii WH 8501,1,1
Amidase,Congregibacter litoralis KT71,1,1
Amidohydrolase 3,Flavobacteriales bacterium ALC-1,1,1
Amidohydrolase 3,Thermosinus carboxydivorans Nor1,1,1
Amidohydrolase family protein,gamma proteobacterium NOR51-B,1,1
Amidophosphoribosyl transferase,delta proteobacterium MLMS-1,1,1
Amino acid ABC transporte,Cyanothece sp. CCY0110,1,1
Amino acid adenylation,Cyanothece sp. CCY0110,1,1
Aminoglycoside N(3'')-acetyltransferase,Streptomyces sp. ACT-1,1,1
Aminotransferas,Congregibacter litoralis KT71,1,1
Ammonia permease,Bermanella marisrubri,1,1
Ammonia permease,Reinekea blandensis MED297,1,1
Ammonium Transporter Family subfamily protein,marine gamma proteobacterium HTCC2148,1,1
AmphiGli protein,Branchiostoma floridae,1,1
Ankyrin,Coraliomargarita akajimensis DSM 45221,1,1
ApbE family lipoprotein,Coraliomargarita akajimensis DSM 45221,1,1
AraC-family transcriptional regulator,Congregibacter litoralis KT71,1,1
Arabinose 5-phosphate isomerase and CBS domains,Methylacidiphilum infernorum V4,3,3
Arp2/3 complex-interacting protein VIP1/Asp,Ostreococcus tauri,1,1
ArsR family transcriptional regulator,Ruegeria pomeroyi DSS-3,2,2
Arylsulfatase B (Precursor),Psychroflexus torquis ATCC 700755,1,1
AsnC family transcriptional regulator,Opitutus terrae PB90-1,1,1
AsnC family transcriptional regulator,Roseobacter denitrificans OCh 114,1,1
Asp-tRNA Asn/Glu-tRNA Gln amidotransferase subunit A,Roseovarius sp. 217,1,1
Asparaginase,Desulfovibrio vulgaris str. ''Miyazaki F'',1,1
Atlasti,Pediculus humanus corporis,2,2
Auxin Efflux Carrier,Acidovorax delafieldii 2AN,1,1
B12 binding domain/ArgK/methylmalonyl-CoA mutase family protein,Flavobacteria bacterium BAL38,2,2
B12 dependent methionine synthase,Ostreococcus lucimarinus CCE9901,7,7
B12-dependent homocysteine-N5-methyltetrahydrofolate transmethylase (C terminal),Pseudoalteromonas haloplanktis TAC125,1,1
B12-dependent methionine synthase,Alteromonas macleodii ''Deep ecotype'',1,1
B12-dependent methionine synthase,Enterobacter sp. 638,1,1
B12-dependent methionine synthase,Methylobacillus flagellatus KT,12,12
B12-dependent methionine synthase,Methylovorus sp. SIP3-4,2,2
B12-dependent methionine synthase,Paracoccus denitrificans PD1222,3,3
B12-dependent methionine synthase,Rhodopirellula baltica SH 1,2,2
B12-dependent methionine synthase,Shewanella loihica PV-4,5,5
B12-dependent methionine synthase,Thiobacillus denitrificans ATCC 25259,3,3
BAM3 (BARELY ANY MERISTEM 3); ATP binding / protein binding / protein kinase/ protein serine/threonine kinase,Arabidopsis thaliana,3,3
BCCT transporter,Pseudomonas fluorescens Pf0-1,1,1
BCCT transporter,Shewanella pealeana ATCC 700345,1,1
BIP2; ATP binding,Arabidopsis thaliana,5,5
BMS1-like ribosome biogenesis protein,Dictyostelium discoideum AX4,1,1
BNR repeat-containing glycosyl hydrolase,Candidatus Solibacter usitatus Ellin6076,2,2
Bacterial Peptidase A24 N-terminal domain family,Methylophaga thiooxidans DMS010,1,1
Bacterial extracellular solute-binding protei,Octadecabacter antarcticus 307,1,1
BarA sensory histidine kinase,Vibrio orientalis CIP 102891,1,1
Beta-Ig-H3/Fasciclin,Roseovarius sp. 217,1,1
Beta-N-acetylhexosaminidase,Flavobacteria bacterium MS024-3C,5,5
Beta-N-acetylhexosaminidase,Pedobacter heparinus DSM 2366,1,1
Beta-galactosidase,Paenibacillus sp. JDR-2,1,1
Beta-glucosidase,Kineococcus radiotolerans SRS30216,1,1
Beta-ketoacyl synthase,Spirosoma linguale DSM 74,1,1
Beta-lactamase,Bacillus thuringiensis serovar berliner ATCC 10792,1,1
Beta-transducin family (WD-40 repeat) protein (ISS),Ostreococcus tauri,1,1
Binding-protein-dependent transport systems inner membrane component,Marinomonas sp. MED121,1,1
Binding-protein-dependent transport systems inner membrane component,Rhodobacter sphaeroides KD131,1,1
Biotin/lipoyl attachment protein,marine gamma proteobacterium HTCC2080,3,3
BipA,Streptococcus pyogenes MGAS10394,1,1
BipA protein,Alteromonas macleodii ''Deep ecotype'',2,2
BipA protein,Rhodobacterales bacterium HTCC2255,2,2
BirA bifunctional protein,Myxococcus xanthus DK 1622,1,1
BolA-like protein,Phytophthora infestans T30-4,1,1
Branched-chain amino acid ABC-type transport syste,Reinekea blandensis MED297,3,3
Bvg accessory factor,Candidatus Pelagibacter ubique HTCC1062,2,2
C10L,Monkeypox virus Zaire-96-I-16,5,5
C160,Saccharomyces cerevisiae S288c,3,3
C32 tRNA thiolase,Francisella tularensis subsp. tularensis SCHU S4,2,2
C32 tRNA thiolase,Saccharophagus degradans 2-40,1,1
C4 dicarboxylate transporter permease,Photobacterium profundum SS9,3,3
C4-dicarboxylate transport transcriptional regulatory protein DctD,Ruegeria pomeroyi DSS-3,1,1
C4-dicarboxylate transporter substrate-binding protein,Deferribacter desulfuricans SSM1,1,1
C4-dicarboxylate-binding periplasmic protei,Roseobacter denitrificans OCh 114,15,15
C4-dicarboxylate-binding periplasmic protein,Campylobacter concisus 13826,1,1
CAIB/BAIF family protein,Hyphomonas neptunium ATCC 15444,2,2
CAP-GLY domain containing linker protein famil,Rattus norvegicus,1,1
CBP protein,Ciona intestinalis,1,1
CBS domain containing membrane protein,Haliangium ochraceum DSM 14365,3,3
CBS domain protein,Prevotella buccae D17,2,2
CBS domain protein,Rhodobacterales bacterium HTCC2255,1,1
CBS domain-containing protein,Mycobacterium tuberculosis CDC1551,1,1
CBS domain-containing protein,Parvibaculum lavamentivorans DS-1,9,9
CBS/transporter associated domain-containing protein,Hyphomonas neptunium ATCC 15444,4,4
CCA-adding enzyme,Brucella pinnipedialis M292/94/1,1,1
CCA-adding enzyme,beta proteobacterium KB13,2,2
CCR4-NOT transcription comple,Cryptosporidium parvum Iowa II,1,1
CDC20.2; signal transducer,Arabidopsis thaliana,1,1
CDC48 family AAA ATPase,Dictyostelium discoideum AX4,2,2
CDC48 like AAA ATPase ortholog,Cryptosporidium parvum Iowa II,3,3
CDF family metal efflux transport protein,Clavibacter michiganensis subsp. michiganensis NCPPB 382,1,1
CDP-6-deoxy-delta-,Burkholderia cenocepacia MC0-3,2,2
CDP-alcohol phosphatidyltransferase,Enterobacter sp. 638,1,1
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,Halorhodospira halophila SL1,1,1
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,Lactococcus lactis subsp. lactis Il1403,1,1
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,Ruegeria sp. R11,1,1
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,Staphylococcus epidermidis SK135,2,2
CDP-diacylglycerol/serine O-phosphatidyltransferase,Coraliomargarita akajimensis DSM 45221,2,2
CDP-diglyceride synthase,Escherichia coli NC101,1,1
CDPK9 (CALMODULIN-LIKE DOMAIN PROTEIN KINASE 9); ATP binding / calcium ion binding / calmodulin-dependent protein kinase/ kinase/ protein kinase/ protein serine/threonine kinase,Arabidopsis thaliana,3,3
CG11583,Drosophila melanogaster,1,1
CG4860,Drosophila melanogaster,1,1
CG589,Drosophila melanogaster,1,1
CG7979,Drosophila melanogaster,1,1
CHR group protein,Dictyostelium discoideum AX4,1,1
CLV1 (CLAVATA 1); ATP binding / kinase/ protein serine/threonine kinase/ receptor signaling protein serine/threonine kinase,Arabidopsis thaliana,1,1
CMP/dCMP deaminas,Dictyostelium discoideum AX4,2,2
CMP/dCMP deaminas,Salinispora tropica CNB-440,2,2
COG0167: Dihydroorotate dehydrogenase,Magnetospirillum magnetotacticum MS-1,1,1
COG0210: Superfamily I DNA and RNA helicases,Magnetospirillum magnetotacticum MS-1,1,1
COG0217: Uncharacterized conserved protein,Magnetospirillum magnetotacticum MS-1,1,1
COG0329: Dihydrodipicolinate synthase/N-acetylneuraminate lyase,Magnetospirillum magnetotacticum MS-1,1,1
COG0366: Glycosidases,Magnetospirillum magnetotacticum MS-1,1,1
COG0480: Translation elongation factors (GTPases),Magnetospirillum magnetotacticum MS-1,3,3
COG0505: Carbamoylphosphate synthase small subunit,Bifidobacterium longum DJO10A,4,4
COG0538: Isocitrate dehydrogenases (ISS),Ostreococcus tauri,1,1
COG0654: 2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases,Magnetospirillum magnetotacticum MS-1,1,1
COG0696: Phosphoglyceromutase,Magnetospirillum magnetotacticum MS-1,1,1
COG0741: Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM/invasin domains),Magnetospirillum magnetotacticum MS-1,1,1
COG0794: Predicted sugar phosphate isomerase involved in capsule formation,Magnetospirillum magnetotacticum MS-1,1,1
COG0798: Arsenite efflux pump ACR3 and related permeases,Magnetospirillum magnetotacticum MS-1,1,1
COG2103: Predicted sugar phosphate isomerase,Magnetospirillum magnetotacticum MS-1,2,2
COG2193: Bacterioferritin (cytochrome b1),Magnetospirillum magnetotacticum MS-1,1,1
COG3845: ABC-type uncharacterized transport system,Magnetospirillum magnetotacticum MS-1,3,3
COG5405: ATP-dependent protease HslVU (ClpYQ,Magnetospirillum magnetotacticum MS-1,1,1
COLlagen family member (col-135),Caenorhabditis elegans,1,1
CPXV051A protein,Cowpox virus,1,1
CRE-ABT-4 protein,Caenorhabditis remanei,1,1
CRE-BRP-1 protein,Caenorhabditis remanei,2,2
CRE-HUM-1 protein,Caenorhabditis remanei,1,1
CRE-HUM-5 protein,Caenorhabditis remanei,1,1
CRE-PRP-8 protein,Caenorhabditis remanei,1,1
CRP family transcriptional regulator,Gramella forsetii KT0803,1,1
CTP synthase,Aeromicrobium marinum DSM 15272,4,4
CTP synthase,Congregibacter litoralis KT71,1,1
CTP synthase,Populus trichocarpa,1,1
CTP synthase,Silicibacter sp. TrichCH4B,1,1
CTP synthase,Thermoanaerobacterium thermosaccharolyticum DSM 571,1,1
CTP synthetase,Acidothermus cellulolyticus 11B,1,1
CTP synthetase,Anaeromyxobacter dehalogenans 2CP-C,1,1
CTP synthetase,Bacillus subtilis subsp. subtilis str. NCIB 3610,4,4
CTP synthetase,Jannaschia sp. CCS1,1,1
CTP synthetase,Leeuwenhoekiella blandensis MED217,1,1
CTP synthetase,Nostoc punctiforme PCC 73102,1,1
CTP synthetase,Pelagibaca bermudensis HTCC2601,1,1
CTP synthetase,Pseudoalteromonas atlantica T6c,2,2
CTP synthetase,Pseudoalteromonas haloplanktis TAC125,1,1
CTP synthetase,Pseudomonas fluorescens Pf0-1,1,1
CTP synthetase,Renibacterium salmoninarum ATCC 33209,2,2
CTP synthetase,Synechococcus sp. JA-3-3Ab,2,2
CYP97A3 (CYTOCHROME P450-TYPE MONOOXYGENASE 97A3); carotene beta-ring hydroxylase/ oxygen binding,Arabidopsis thaliana,2,2
CYclophyliN family member (cyn-6),Caenorhabditis elegans,1,1
Ca2+/Na+ antiporter,Bermanella marisrubri,1,1
Ca2+/Na+ antiporter,Hahella chejuensis KCTC 2396,1,1
Carbamoyl-phosphate synthase L chain ATP-binding,Rhizobium leguminosarum bv. trifolii WSM2304,1,1
Carbamoyltransferase,Cupriavidus taiwanensis,1,1
Carbamoyltransferase,Desulfarculus baarsii DSM 2075,1,1
Carbamoyltransferase,Desulfovibrio sp. FW1012B,1,1
Carbonic anhydrase,Croceibacter atlanticus HTCC2559,1,1
Carbonic anhydrase,Roseobacter sp. CCS2,1,1
Carboxylesterase superfamily,Brevundimonas sp. BAL3,1,1
Carboxymuconolactone decarboxylase,Mesorhizobium opportunistum WSM2075,1,1
Catalase,Desulfarculus baarsii DSM 2075,1,1
Catalase,Idiomarina baltica OS145,1,1
Cbb3-type cytochrome oxidase component,Ruegeria sp. TM1040,1,1
CbbX,Odontella sinensis,17,17
CcmF/CcyK/CcsA family cytochrome c biogenesis protein,Campylobacter hominis ATCC BAA-381,1,1
Cell Wall Hydrolase family,Labrenzia alexandrii DFL-11,3,3
Cell cycle protei,Neptuniibacter caesariensis,2,2
Cell differentiation protein rcd,Perkinsus marinus ATCC 50983,1,1
Cell division protein FtsA,Nitrococcus mobilis Nb-231,1,1
Cell division protein FtsJ,gamma proteobacterium HdN1,1,1
Cell division protein FtsX,gamma proteobacterium HdN1,1,1
Cell wall hydrolase/autolysin,Kordia algicida OT-1,1,1
Chain,Candidatus Cloacamonas acidaminovorans,2,2
Chaperone DnaK,Rhodobacteraceae bacterium HTCC2150,2,2
Chaperone clpB,Congregibacter litoralis KT71,1,1
Chaperone protein htpG,Pseudomonas fluorescens WH6,1,1
Chaperonin Containing TCP-1 family member (cct-1),Caenorhabditis elegans,1,1
Chaperonin Containing TCP-1 family member (cct-4),Caenorhabditis elegans,1,1
CheA signal transduction histidine kinase,Opitutus terrae PB90-1,1,1
Chloride Channel (ClC) Family,Phytophthora infestans T30-4,3,3
Chloride channel protein EriC,Polaribacter sp. MED152,1,1
Chloride channel protein EriC,marine gamma proteobacterium HTCC2143,1,1
Chlorite dismutase,Chthoniobacter flavus Ellin428,4,4
Chorismate synthase,Cylindrospermopsis raciborskii CS-505,2,2
Chromosome segregation ATPase-like protein,Coraliomargarita akajimensis DSM 45221,1,1
CinA domain protein,Planctomyces brasiliensis DSM 5305,1,1
CinA-like competence-damaged protein,Zunongwangia profunda SM-A87,2,2
Citrate transporter,Flavobacteria bacterium MS024-2A,1,1
Citryl-CoA lyase,Jannaschia sp. CCS1,2,2
Class II Aldolase and Adducin N-terminal domai,Alcanivorax sp. DG881,1,1
Class II aldolase/adduci,Congregibacter litoralis KT71,1,1
Clp ATPase,Yersinia enterocolitica subsp. enterocolitica 8081,1,1
Clp ATPase,Yersinia pseudotuberculosis IP 32953,2,2
Clp protease ATP binding subunit,Porphyra purpurea,6,6
ClpA-like protein,Spirochaeta thermophila DSM 6192,1,1
Cna protein B-type domain,Microcoleus chthonoplastes PCC 7420,1,1
Co-chaperonin GroES (HSP10),Marinobacter sp. ELB17,1,1
CoA-binding protein,Rhodobacteraceae bacterium KLH11,1,1
CoA-disulfide reductase,Rhodococcus equi ATCC 33707,9,9
CobQ/CobB/MinD/ParA nucleotide binding domain protei,Francisella novicida FTG,1,1
CobW,Ruegeria pomeroyi DSS-3,1,1
Cobyrinic acid ac-diamide synthase,Desulfotomaculum acetoxidans DSM 771,1,1
Cobyrinic acid ac-diamide synthase,Thioalkalivibrio sp. K90mix,1,1
Cobyrinic acid ac-diamide synthase,Xylanimonas cellulosilytica DSM 15894,1,1
Coenzyme A biosynthesis protein,alpha proteobacterium BAL199,1,1
Collagen triple helix repeat,Burkholderia graminis C4D1M,1,1
Collagen-like triple helix repeat protein,Bacillus cereus BDRD-Cer4,1,1
Component of the hexameric MCM comple,Saccharomyces cerevisiae S288c,2,2
CopA family copper resistance protein,Shewanella putrefaciens CN-32,1,1
CopY family transcriptional regulator,Shewanella amazonensis SB2B,1,1
CpaF,Oligotropha carboxidovorans OM5,1,1
CrcB protein,Fibrobacter succinogenes subsp. succinogenes S85,1,1
CrcB-like protein,Roseobacter sp. CCS2,2,2
Csa,Leeuwenhoekiella blandensis MED217,1,1
CsbD family protein,Dyadobacter fermentans DSM 18053,1,1
Cullin family protein,Brugia malayi,1,1
Cupin 2 conserved barrel domain-containing protein,Prosthecochloris aestuarii DSM 271,1,1
Cyclopropane-fatty-acyl-phospholipid synthase,Methylocella silvestris BL2,1,1
Cyclopropane-fatty-acyl-phospholipid synthase,Methylovorus sp. SIP3-4,5,5
Cyp4p3,Drosophila melanogaster,1,1
Cys/Met metabolism PLP-dependent enzyme family,Microscilla marina ATCC 23134,1,1
Cystathionine beta-lyase/cystathionine gamma-synthase,Roseobacter sp. SK209-2-6,1,1
Cysteine desulfurase,Chitinophaga pinensis DSM 2588,1,1
Cysteine desulfurase (NifS protein homolog),Erwinia tasmaniensis Et1/99,1,1
Cysteine desulfurase activator ATPase,Alteromonas macleodii ATCC 27126,1,1
Cysteinyl-tRNA synthetase,gamma proteobacterium HdN1,3,3
Cytochrome C biogenesis protein,Azotobacter vinelandii DJ,3,3
Cytochrome C'' superfamily protein,marine gamma proteobacterium HTCC2148,1,1
Cytochrome b/b6 domain protein,Arthrobacter chlorophenolicus A6,4,4
Cytochrome b/b6 domain protein,Starkeya novella DSM 506,1,1
Cytochrome c family protein,Methylacidiphilum infernorum V4,1,1
Cytochrome c maturation protei,Rhodobacterales bacterium HTCC2255,2,2
Cytochrome c oxidase assembly protein CtaG / Cox11,Labrenzia alexandrii DFL-11,2,2
